
Filename:
	H:\FIEN\10_1_AUG_P_RT.pk

File Created:
	April 16, 2019 - 04:41 PM

Specimen Id:
	10.1 AUG SUPPORT P FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.8400        31.0834           0.0000          0.0000            72.50         2.59          0.1400            0.0000           5.8000       PFind                   None            0.00    0.00    None            
  3.1000        28.4769           0.0000          0.0000            60.00         2.14          0.1600            0.0000           6.0000       PFind                   None            0.00    0.00    None            
  3.5000        25.2233           0.0000          0.0000            68.33         2.44          0.0600            0.0000           4.1000       PFind                   None            0.00    0.00    None            
  3.6400        24.2534           0.0000          0.0000            52.50         1.87          0.0600            0.0000           4.2000       PFind                   None            0.00    0.00    None            
  3.8400        22.9907           0.0000          0.0000            54.17         1.93          0.0600            0.0000           3.2500       PFind                   None            0.00    0.00    None            
  4.4800        19.7076           0.0000          0.0000            41.67         1.49          0.0800            0.0000           4.1667       PFind                   None            0.00    0.00    None            
  4.6600        18.9468           0.0000          0.0000            54.17         1.93          0.0800            0.0000           1.0833       PFind                   None            0.00    0.00    None            
  6.1800        14.2897           0.0000          0.0000           259.17         9.25          0.1000            0.0000          41.4667       PFind                   None            0.00    0.00    None            
  8.9400         9.8834           0.0000          0.0000           690.00        24.63          0.0200            0.0000          55.2000       PFind                   None            0.00    0.00    None            
  9.1400         9.6675           0.0000          0.0000            45.00         1.61          0.0200            0.0000           2.7000       PFind                   None            0.00    0.00    None            
  9.2800         9.5220           0.0000          0.0000            40.00         1.43          0.0800            0.0000           4.8000       PFind                   None            0.00    0.00    None            
  9.5200         9.2825           0.0000          0.0000            63.33         2.26          0.1200            0.0000           5.0667       PFind                   None            0.00    0.00    None            
 10.5800         8.3547           0.0000          0.0000            75.83         2.71          0.0800            0.0000           6.0667       PFind                   None            0.00    0.00    None            
 12.2400         7.2251           0.0000          0.0000           719.17        25.67          0.1000            0.0000          71.9167       PFind                   None            0.00    0.00    None            
 12.4400         7.1094           0.0000          0.0000           280.83        10.02          0.0600            0.0000          44.9333       PFind                   None            0.00    0.00    None            
 12.5400         7.0530           0.0000          0.0000           313.33        11.18          0.1600            0.0000          43.8667       PFind                   None            0.00    0.00    None            
 13.8800         6.3749           0.0000          0.0000           576.67        20.58          0.1600            0.0000          34.6000       PFind                   None            0.00    0.00    None            
 17.8800         4.9568           0.0000          0.0000           309.17        11.04          0.1400            0.0000          30.9167       PFind                   None            0.00    0.00    None            
 18.6400         4.7563           0.0000          0.0000           142.50         5.09          0.1200            0.0000          22.8000       PFind                   None            0.00    0.00    None            
 18.8600         4.7014           0.0000          0.0000           125.83         4.49          0.1000            0.0000          15.1000       PFind                   None            0.00    0.00    None            
 19.7400         4.4937           0.0000          0.0000            44.17         1.58          0.0800            0.0000           0.8833       PFind                   None            0.00    0.00    None            
 19.9000         4.4579           0.0000          0.0000            41.67         1.49          0.0600            0.0000           3.3333       PFind                   None            0.00    0.00    None            
 20.9000         4.2468           0.0000          0.0000           741.67        26.47          0.0600            0.0000          74.1667       PFind                   None            0.00    0.00    None            
 22.1000         4.0189           0.0000          0.0000           120.83         4.31          0.1200            0.0000          14.5000       PFind                   None            0.00    0.00    None            
 23.1200         3.8438           0.0000          0.0000            53.33         1.90          0.0600            0.0000           4.2667       PFind                   None            0.00    0.00    None            
 23.6000         3.7667           0.0000          0.0000           120.83         4.31          0.0800            0.0000           9.6667       PFind                   None            0.00    0.00    None            
 24.3400         3.6539           0.0000          0.0000            56.67         2.02          0.0600            0.0000           6.8000       PFind                   None            0.00    0.00    None            
 24.6800         3.6043           0.0000          0.0000           385.00        13.74          0.1200            0.0000          61.6000       PFind                   None            0.00    0.00    None            
 24.9000         3.5729           0.0000          0.0000           160.00         5.71          0.1000            0.0000          25.6000       PFind                   None            0.00    0.00    None            
 25.2200         3.5283           0.0000          0.0000           218.33         7.79          0.0800            0.0000          21.8333       PFind                   None            0.00    0.00    None            
 25.4000         3.5037           0.0000          0.0000           122.50         4.37          0.1600            0.0000          12.2500       PFind                   None            0.00    0.00    None            
 25.5600         3.4822           0.0000          0.0000           120.00         4.28          0.1400            0.0000          19.2000       PFind                   None            0.00    0.00    None            
 25.7000         3.4635           0.0000          0.0000           130.00         4.64          0.1600            0.0000          10.4000       PFind                   None            0.00    0.00    None            
 26.7000         3.3360           0.0000          0.0000          2801.67       100.00          0.0800            0.0000         336.2000       PFind                   None            0.00    0.00    None            
 26.9600         3.3044           0.0000          0.0000           965.00        34.44          0.0600            0.0000         135.1000       PFind                   None            0.00    0.00    None            
 27.5800         3.2315           0.0000          0.0000           340.83        12.17          0.1000            0.0000          40.9000       PFind                   None            0.00    0.00    None            
 27.9600         3.1885           0.0000          0.0000          1243.33        44.38          0.1000            0.0000         124.3333       PFind                   None            0.00    0.00    None            
 28.2600         3.1553           0.0000          0.0000            80.83         2.89          0.0200            0.0000          12.9333       PFind                   None            0.00    0.00    None            
 28.7000         3.1079           0.0000          0.0000           105.83         3.78          0.0400            0.0000          10.5833       PFind                   None            0.00    0.00    None            
 29.2600         3.0497           0.0000          0.0000            73.33         2.62          0.1000            0.0000           2.9333       PFind                   None            0.00    0.00    None            
 29.9000         2.9859           0.0000          0.0000           118.33         4.22          0.1200            0.0000          14.2000       PFind                   None            0.00    0.00    None            
 30.2000         2.9569           0.0000          0.0000            79.17         2.83          0.0800            0.0000          12.6667       PFind                   None            0.00    0.00    None            
 30.5200         2.9266           0.0000          0.0000           115.00         4.10          0.1000            0.0000          11.5000       PFind                   None            0.00    0.00    None            
 31.0000         2.8824           0.0000          0.0000           125.00         4.46          0.1000            0.0000           5.0000       PFind                   None            0.00    0.00    None            
 31.2800         2.8572           0.0000          0.0000            72.50         2.59          0.1600            0.0000          10.1500       PFind                   None            0.00    0.00    None            
 31.6400         2.8255           0.0000          0.0000            80.00         2.86          0.0400            0.0000           1.6000       PFind                   None            0.00    0.00    None            
 31.9600         2.7980           0.0000          0.0000           127.50         4.55          0.1600            0.0000           5.1000       PFind                   None            0.00    0.00    None            
 32.2600         2.7726           0.0000          0.0000            77.50         2.77          0.0600            0.0000           6.2000       PFind                   None            0.00    0.00    None            
 34.0200         2.6331           0.0000          0.0000            56.67         2.02          0.0600            0.0000           5.6667       PFind                   None            0.00    0.00    None            
 34.6800         2.5845           0.0000          0.0000            55.00         1.96          0.1600            0.0000           3.3000       PFind                   None            0.00    0.00    None            
 35.0000         2.5616           0.0000          0.0000            43.33         1.55          0.0600            0.0000           3.4667       PFind                   None            0.00    0.00    None            
 35.0600         2.5573           0.0000          0.0000            49.17         1.75          0.0000            0.0000           4.9167       PFind                   None            0.00    0.00    None            
 35.6000         2.5198           0.0000          0.0000           105.00         3.75          0.1200            0.0000          16.8000       PFind                   None            0.00    0.00    None            
 36.2200         2.4780           0.0000          0.0000            62.50         2.23          0.1600            0.0000           8.7500       PFind                   None            0.00    0.00    None            
 36.6000         2.4532           0.0000          0.0000           244.17         8.72          0.1600            0.0000          14.6500       PFind                   None            0.00    0.00    None            
 37.4800         2.3976           0.0000          0.0000            45.83         1.64          0.0800            0.0000           5.5000       PFind                   None            0.00    0.00    None            
 37.6400         2.3878           0.0000          0.0000            45.00         1.61          0.0800            0.0000           7.2000       PFind                   None            0.00    0.00    None            
 37.7600         2.3804           0.0000          0.0000            55.00         1.96          0.1600            0.0000           8.8000       PFind                   None            0.00    0.00    None            
 39.5200         2.2784           0.0000          0.0000           140.00         5.00          0.0800            0.0000           8.4000       PFind                   None            0.00    0.00    None            
 40.3400         2.2339           0.0000          0.0000           107.50         3.84          0.1000            0.0000           6.4500       PFind                   None            0.00    0.00    None            
 41.7600         2.1612           0.0000          0.0000           130.83         4.67          0.1200            0.0000          13.0833       PFind                   None            0.00    0.00    None            
 42.5000         2.1253           0.0000          0.0000           229.17         8.18          0.0200            0.0000          18.3333       PFind                   None            0.00    0.00    None            
 43.5800         2.0751           0.0000          0.0000            55.00         1.96          0.1600            0.0000           8.8000       PFind                   None            0.00    0.00    None            
 45.6800         1.9844           0.0000          0.0000           378.33        13.50          0.0800            0.0000          60.5333       PFind                   None            0.00    0.00    None            
 47.2600         1.9217           0.0000          0.0000            55.00         1.96          0.0800            0.0000           8.8000       PFind                   None            0.00    0.00    None            
 50.1800         1.8165           0.0000          0.0000           353.33        12.61          0.0800            0.0000          28.2667       PFind                   None            0.00    0.00    None            
 50.5800         1.8031           0.0000          0.0000           774.17        27.63          0.0800            0.0000          46.4500       PFind                   None            0.00    0.00    None            
 50.7200         1.7984           0.0000          0.0000           465.00        16.60          0.0800            0.0000          18.6000       PFind                   None            0.00    0.00    None            
 51.4600         1.7743           0.0000          0.0000            80.83         2.89          0.1400            0.0000           4.8500       PFind                   None            0.00    0.00    None            
 51.6000         1.7698           0.0000          0.0000            45.83         1.64          0.0800            0.0000           1.8333       PFind                   None            0.00    0.00    None            
 52.2200         1.7503           0.0000          0.0000            77.50         2.77          0.1000            0.0000           4.6500       PFind                   None            0.00    0.00    None            
 52.3800         1.7453           0.0000          0.0000            53.33         1.90          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 54.9000         1.6710           0.0000          0.0000           138.33         4.94          0.0800            0.0000          11.0667       PFind                   None            0.00    0.00    None            
 55.0600         1.6665           0.0000          0.0000           103.33         3.69          0.1600            0.0000           8.2667       PFind                   None            0.00    0.00    None            
 55.9200         1.6429           0.0000          0.0000            41.67         1.49          0.0200            0.0000           3.3333       PFind                   None            0.00    0.00    None            
 56.7000         1.6221           0.0000          0.0000            55.83         1.99          0.1000            0.0000           1.1167       PFind                   None            0.00    0.00    None            
 59.6000         1.5499           0.0000          0.0000            40.83         1.46          0.0600            0.0000           3.2667       PFind                   None            0.00    0.00    None            
 60.0200         1.5401           0.0000          0.0000           436.67        15.59          0.0600            0.0000          26.2000       PFind                   None            0.00    0.00    None            
 60.1800         1.5364           0.0000          0.0000           236.67         8.45          0.1200            0.0000          14.2000       PFind                   None            0.00    0.00    None            
 62.6800         1.4810           0.0000          0.0000            84.17         3.00          0.1000            0.0000           1.6833       PFind                   None            0.00    0.00    None            
 62.8600         1.4772           0.0000          0.0000            42.50         1.52          0.0600            0.0000           2.5500       PFind                   None            0.00    0.00    None            
 63.9200         1.4552           0.0000          0.0000            82.50         2.94          0.0400            0.0000           6.6000       PFind                   None            0.00    0.00    None            
 64.1000         1.4516           0.0000          0.0000           110.00         3.93          0.1600            0.0000           6.6000       PFind                   None            0.00    0.00    None            
 64.2600         1.4483           0.0000          0.0000            52.50         1.87          0.0400            0.0000           4.2000       PFind                   None            0.00    0.00    None            
