
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\10_1_SEPT_FT.pk

File Created:
	April 15, 2019 - 03:12 PM

Specimen Id:
	10_1_SEPT FILTER

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.8200        31.3038           0.0000          0.0000            50.00         1.54          0.0200            0.0000           2.0000       PFind                   None            0.00    0.00    None            
  2.8800        30.6517           0.0000          0.0000            43.33         1.33          0.1600            0.0000           0.8667       PFind                   None            0.00    0.00    None            
  3.1800        27.7607           0.0000          0.0000            65.00         2.00          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  3.5600        24.7983           0.0000          0.0000            40.83         1.26          0.1600            0.0000           3.2667       PFind                   None            0.00    0.00    None            
  3.8400        22.9907           0.0000          0.0000            47.50         1.46          0.0000            0.0000           3.8000       PFind                   None            0.00    0.00    None            
  4.0000        22.0714           0.0000          0.0000            37.50         1.15          0.0200            0.0000           2.2500       PFind                   None            0.00    0.00    None            
  4.6400        19.0284           0.0000          0.0000            37.50         1.15          0.1000            0.0000           0.7500       PFind                   None            0.00    0.00    None            
  5.0200        17.5888           0.0000          0.0000            49.17         1.51          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  6.4000        13.7990           0.0000          0.0000           415.83        12.79          0.1600            0.0000          66.5333       PFind                   None            0.00    0.00    None            
  6.8000        12.9882           0.0000          0.0000            59.17         1.82          0.1200            0.0000           4.7333       PFind                   None            0.00    0.00    None            
  6.9400        12.7265           0.0000          0.0000            50.83         1.56          0.0600            0.0000           2.0333       PFind                   None            0.00    0.00    None            
  7.1600        12.3359           0.0000          0.0000            41.67         1.28          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  9.1200         9.6887           0.0000          0.0000          1173.33        36.07          0.0800            0.0000         164.2667       PFind                   None            0.00    0.00    None            
  9.4200         9.3808           0.0000          0.0000           144.17         4.43          0.1200            0.0000          14.4167       PFind                   None            0.00    0.00    None            
  9.7200         9.0919           0.0000          0.0000            66.67         2.05          0.1200            0.0000           4.0000       PFind                   None            0.00    0.00    None            
 10.7000         8.2613           0.0000          0.0000           216.67         6.66          0.0800            0.0000          17.3333       PFind                   None            0.00    0.00    None            
 12.4400         7.1094           0.0000          0.0000           397.50        12.22          0.0800            0.0000          63.6000       PFind                   None            0.00    0.00    None            
 12.7400         6.9427           0.0000          0.0000           611.67        18.81          0.0600            0.0000          73.4000       PFind                   None            0.00    0.00    None            
 13.9800         6.3295           0.0000          0.0000            60.00         1.84          0.1400            0.0000           2.4000       PFind                   None            0.00    0.00    None            
