
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\10_2_AUG_0_BG_RT.pk

File Created:
	April 15, 2019 - 03:14 PM

Specimen Id:
	10.2 AUG 0 BG

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.6400        33.4377           0.0000          0.0000            68.33         3.11          0.1400            0.0000           5.4667       PFind                   None            0.00    0.00    None            
  2.8600        30.8660           0.0000          0.0000            46.67         2.12          0.1200            0.0000           3.7333       PFind                   None            0.00    0.00    None            
  3.0600        28.8491           0.0000          0.0000            48.33         2.20          0.1000            0.0000           3.8667       PFind                   None            0.00    0.00    None            
  3.1800        27.7607           0.0000          0.0000            50.83         2.31          0.1200            0.0000           2.0333       PFind                   None            0.00    0.00    None            
  3.3800        26.1185           0.0000          0.0000            53.33         2.43          0.1000            0.0000           5.3333       PFind                   None            0.00    0.00    None            
  3.6200        24.3874           0.0000          0.0000            50.00         2.28          0.1000            0.0000           4.0000       PFind                   None            0.00    0.00    None            
  3.7600        23.4797           0.0000          0.0000            46.67         2.12          0.1600            0.0000           6.5333       PFind                   None            0.00    0.00    None            
  3.9000        22.6371           0.0000          0.0000            55.00         2.50          0.1400            0.0000           1.1000       PFind                   None            0.00    0.00    None            
  4.0400        21.8530           0.0000          0.0000            57.50         2.62          0.1400            0.0000           6.9000       PFind                   None            0.00    0.00    None            
  4.1400        21.3253           0.0000          0.0000            39.17         1.78          0.0200            0.0000           3.1333       PFind                   None            0.00    0.00    None            
  4.3200        20.4372           0.0000          0.0000            40.00         1.82          0.0200            0.0000           4.0000       PFind                   None            0.00    0.00    None            
  4.4600        19.7960           0.0000          0.0000            40.00         1.82          0.0800            0.0000           6.4000       PFind                   None            0.00    0.00    None            
  4.5800        19.2776           0.0000          0.0000            59.17         2.69          0.1200            0.0000           3.5500       PFind                   None            0.00    0.00    None            
  5.6000        15.7684           0.0000          0.0000            45.83         2.09          0.0200            0.0000           0.9167       PFind                   None            0.00    0.00    None            
  6.1000        14.4770           0.0000          0.0000            64.17         2.92          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  6.3000        14.0178           0.0000          0.0000           102.50         4.66          0.1600            0.0000          12.3000       PFind                   None            0.00    0.00    None            
  6.5800        13.4219           0.0000          0.0000            41.67         1.90          0.0400            0.0000           3.3333       PFind                   None            0.00    0.00    None            
  7.1600        12.3359           0.0000          0.0000            43.33         1.97          0.0400            0.0000           1.7333       PFind                   None            0.00    0.00    None            
  8.3200        10.6184           0.0000          0.0000            43.33         1.97          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  9.0200         9.7959           0.0000          0.0000           262.50        11.95          0.0800            0.0000          31.5000       PFind                   None            0.00    0.00    None            
  9.3400         9.4610           0.0000          0.0000            41.67         1.90          0.1000            0.0000           3.3333       PFind                   None            0.00    0.00    None            
 10.7000         8.2613           0.0000          0.0000            99.17         4.51          0.0800            0.0000           5.9500       PFind                   None            0.00    0.00    None            
 12.3400         7.1668           0.0000          0.0000           255.00        11.60          0.1000            0.0000          30.6000       PFind                   None            0.00    0.00    None            
 12.5800         7.0306           0.0000          0.0000           155.00         7.05          0.1200            0.0000          24.8000       PFind                   None            0.00    0.00    None            
 14.0200         6.3116           0.0000          0.0000            50.00         2.28          0.1400            0.0000           3.0000       PFind                   None            0.00    0.00    None            
 15.1400         5.8471           0.0000          0.0000            46.67         2.12          0.1400            0.0000           0.9333       PFind                   None            0.00    0.00    None            
 15.9800         5.5416           0.0000          0.0000            41.67         1.90          0.0200            0.0000           2.5000       PFind                   None            0.00    0.00    None            
 17.6200         5.0293           0.0000          0.0000            50.83         2.31          0.1200            0.0000           3.0500       PFind                   None            0.00    0.00    None            
 17.9600         4.9349           0.0000          0.0000           184.17         8.38          0.0800            0.0000          18.4167       PFind                   None            0.00    0.00    None            
