
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\11_AUG_P_RT.pk

File Created:
	April 15, 2019 - 03:17 PM

Specimen Id:
	11 AUG P FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.6600        33.1863           0.0000          0.0000            62.50         2.56          0.1400            0.0000          10.0000       PFind                   None            0.00    0.00    None            
  2.8400        31.0834           0.0000          0.0000            64.17         2.63          0.0400            0.0000           3.8500       PFind                   None            0.00    0.00    None            
  2.9000        30.4404           0.0000          0.0000            61.67         2.53          0.1400            0.0000           4.9333       PFind                   None            0.00    0.00    None            
  3.0600        28.8491           0.0000          0.0000            63.33         2.60          0.0800            0.0000           2.5333       PFind                   None            0.00    0.00    None            
  3.1200        28.2944           0.0000          0.0000            70.00         2.87          0.1600            0.0000           1.4000       PFind                   None            0.00    0.00    None            
  3.2800        26.9146           0.0000          0.0000            48.33         1.98          0.0400            0.0000           1.9333       PFind                   None            0.00    0.00    None            
  3.4600        25.5148           0.0000          0.0000            68.33         2.80          0.1600            0.0000           4.1000       PFind                   None            0.00    0.00    None            
  3.5600        24.7983           0.0000          0.0000            51.67         2.12          0.0600            0.0000           4.1333       PFind                   None            0.00    0.00    None            
  3.8000        23.2326           0.0000          0.0000            60.83         2.50          0.0600            0.0000           4.8667       PFind                   None            0.00    0.00    None            
  4.0600        21.7454           0.0000          0.0000            64.17         2.63          0.1200            0.0000           5.1333       PFind                   None            0.00    0.00    None            
  4.2200        20.9212           0.0000          0.0000            56.67         2.32          0.0600            0.0000           3.4000       PFind                   None            0.00    0.00    None            
  4.6200        19.1107           0.0000          0.0000            40.83         1.68          0.0400            0.0000           3.2667       PFind                   None            0.00    0.00    None            
  4.7200        18.7061           0.0000          0.0000            40.83         1.68          0.0800            0.0000           5.7167       PFind                   None            0.00    0.00    None            
  5.1200        17.2455           0.0000          0.0000            45.00         1.85          0.0400            0.0000           4.5000       PFind                   None            0.00    0.00    None            
  5.3800        16.4127           0.0000          0.0000            44.17         1.81          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.6000        15.7684           0.0000          0.0000            41.67         1.71          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.9200        14.9167           0.0000          0.0000            52.50         2.15          0.1000            0.0000           1.0500       PFind                   None            0.00    0.00    None            
  6.2000        14.2437           0.0000          0.0000           289.17        11.86          0.1000            0.0000          40.4833       PFind                   None            0.00    0.00    None            
  6.5800        13.4219           0.0000          0.0000            45.83         1.88          0.0800            0.0000           2.7500       PFind                   None            0.00    0.00    None            
  8.8800         9.9500           0.0000          0.0000           834.17        34.22          0.0200            0.0000          83.4167       PFind                   None            0.00    0.00    None            
  9.2000         9.6046           0.0000          0.0000            84.17         3.45          0.0800            0.0000           5.0500       PFind                   None            0.00    0.00    None            
  9.4400         9.3610           0.0000          0.0000            64.17         2.63          0.1000            0.0000           5.1333       PFind                   None            0.00    0.00    None            
 10.5000         8.4182           0.0000          0.0000           210.00         8.62          0.0600            0.0000          12.6000       PFind                   None            0.00    0.00    None            
 12.1800         7.2606           0.0000          0.0000           347.50        14.26          0.0800            0.0000          20.8500       PFind                   None            0.00    0.00    None            
 12.5000         7.0754           0.0000          0.0000           293.33        12.03          0.1400            0.0000          23.4667       PFind                   None            0.00    0.00    None            
 13.5800         6.5151           0.0000          0.0000            47.50         1.95          0.1000            0.0000           4.7500       PFind                   None            0.00    0.00    None            
 13.8400         6.3933           0.0000          0.0000           111.67         4.58          0.0800            0.0000           8.9333       PFind                   None            0.00    0.00    None            
 14.0200         6.3116           0.0000          0.0000            63.33         2.60          0.0600            0.0000           3.8000       PFind                   None            0.00    0.00    None            
 17.8000         4.9789           0.0000          0.0000           335.83        13.78          0.0600            0.0000          33.5833       PFind                   None            0.00    0.00    None            
 18.4200         4.8126           0.0000          0.0000            70.00         2.87          0.1400            0.0000           5.6000       PFind                   None            0.00    0.00    None            
 18.7600         4.7262           0.0000          0.0000           118.33         4.85          0.1000            0.0000          11.8333       PFind                   None            0.00    0.00    None            
 19.8200         4.4757           0.0000          0.0000            55.00         2.26          0.1000            0.0000           6.6000       PFind                   None            0.00    0.00    None            
 20.8400         4.2589           0.0000          0.0000           632.50        25.95          0.0600            0.0000          50.6000       PFind                   None            0.00    0.00    None            
 22.0600         4.0261           0.0000          0.0000           135.83         5.57          0.0600            0.0000          13.5833       PFind                   None            0.00    0.00    None            
 23.0000         3.8636           0.0000          0.0000           142.50         5.85          0.0800            0.0000           8.5500       PFind                   None            0.00    0.00    None            
 23.5000         3.7825           0.0000          0.0000           186.67         7.66          0.0600            0.0000          14.9333       PFind                   None            0.00    0.00    None            
 24.2800         3.6628           0.0000          0.0000           121.67         4.99          0.0800            0.0000           7.3000       PFind                   None            0.00    0.00    None            
 24.6200         3.6129           0.0000          0.0000           132.50         5.44          0.1000            0.0000          21.2000       PFind                   None            0.00    0.00    None            
 24.8600         3.5786           0.0000          0.0000            58.33         2.39          0.0600            0.0000           9.3333       PFind                   None            0.00    0.00    None            
 25.1400         3.5394           0.0000          0.0000           210.00         8.62          0.1400            0.0000          25.2000       PFind                   None            0.00    0.00    None            
 25.5200         3.4875           0.0000          0.0000            77.50         3.18          0.1200            0.0000          10.8500       PFind                   None            0.00    0.00    None            
