
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\FIEN\11_A_FT.pk

File Created:
	February 25, 2021 - 10:40 AM

Specimen Id:
	11A FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
 32.1000         2.7861           0.0000          0.0000            25.83         0.53          0.1000            0.0000           1.5500       PFind                   None            0.00    0.00    None            
 13.2200         6.6917           0.0000          0.0000            25.83         0.53          0.1000            0.0000           0.5167       PFind                   None            0.00    0.00    None            
 28.9200         3.0848           0.0000          0.0000            26.67         0.54          0.1600            0.0000           1.6000       PFind                   None            0.00    0.00    None            
 58.7800         1.5696           0.0000          0.0000            26.67         0.54          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 61.8400         1.4991           0.0000          0.0000            26.67         0.54          0.0800            0.0000           0.5333       PFind                   None            0.00    0.00    None            
 61.9200         1.4973           0.0000          0.0000            26.67         0.54          0.1200            0.0000           3.2000       PFind                   None            0.00    0.00    None            
 50.8000         1.7958           0.0000          0.0000            27.50         0.56          0.0800            0.0000           1.1000       PFind                   None            0.00    0.00    None            
 34.8800         2.5701           0.0000          0.0000            27.50         0.56          0.0200            0.0000           2.7500       PFind                   None            0.00    0.00    None            
 62.1400         1.4925           0.0000          0.0000            27.50         0.56          0.1600            0.0000           2.2000       PFind                   None            0.00    0.00    None            
 34.7000         2.5830           0.0000          0.0000            28.33         0.58          0.0600            0.0000           1.1333       PFind                   None            0.00    0.00    None            
 52.8200         1.7318           0.0000          0.0000            28.33         0.58          0.1200            0.0000           1.7000       PFind                   None            0.00    0.00    None            
 13.5400         6.5342           0.0000          0.0000            29.17         0.59          0.1000            0.0000           0.5833       PFind                   None            0.00    0.00    None            
 46.9600         1.9333           0.0000          0.0000            29.17         0.59          0.1600            0.0000           1.1667       PFind                   None            0.00    0.00    None            
