
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\12_1_AUG_FILTER.pk

File Created:
	March 05, 2019 - 04:57 AM

Specimen Id:
	12.1 AUG FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.7400        32.2176           0.0000          0.0000            67.50         1.59          0.0000            0.0000          10.8000       PFind                   None            0.00    0.00    None            
  2.8800        30.6517           0.0000          0.0000            79.17         1.87          0.1400            0.0000           6.3333       PFind                   None            0.00    0.00    None            
  3.0000        29.4259           0.0000          0.0000            69.17         1.63          0.0800            0.0000           5.5333       PFind                   None            0.00    0.00    None            
  3.2800        26.9146           0.0000          0.0000            53.33         1.26          0.0200            0.0000           8.5333       PFind                   None            0.00    0.00    None            
  3.4200        25.8131           0.0000          0.0000            56.67         1.34          0.1000            0.0000           4.5333       PFind                   None            0.00    0.00    None            
  3.6800        23.9899           0.0000          0.0000            70.83         1.67          0.0800            0.0000           1.4167       PFind                   None            0.00    0.00    None            
  3.9000        22.6371           0.0000          0.0000            43.33         1.02          0.0000            0.0000           5.2000       PFind                   None            0.00    0.00    None            
  4.0000        22.0714           0.0000          0.0000            40.00         0.94          0.0000            0.0000           4.0000       PFind                   None            0.00    0.00    None            
  4.1600        21.2229           0.0000          0.0000            39.17         0.92          0.0800            0.0000           1.5667       PFind                   None            0.00    0.00    None            
  4.2200        20.9212           0.0000          0.0000            41.67         0.98          0.0000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.3600        20.2498           0.0000          0.0000            41.67         0.98          0.0800            0.0000           6.6667       PFind                   None            0.00    0.00    None            
  4.5600        19.3621           0.0000          0.0000            46.67         1.10          0.1600            0.0000           2.8000       PFind                   None            0.00    0.00    None            
  4.7600        18.5490           0.0000          0.0000            33.33         0.79          0.1000            0.0000           2.0000       PFind                   None            0.00    0.00    None            
  4.8400        18.2426           0.0000          0.0000            40.00         0.94          0.0200            0.0000           3.2000       PFind                   None            0.00    0.00    None            
  5.0800        17.3812           0.0000          0.0000            36.67         0.86          0.0600            0.0000           2.2000       PFind                   None            0.00    0.00    None            
  5.1200        17.2455           0.0000          0.0000            37.50         0.88          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.3800        16.4127           0.0000          0.0000            30.00         0.71          0.0600            0.0000           1.8000       PFind                   None            0.00    0.00    None            
  5.6000        15.7684           0.0000          0.0000            34.17         0.81          0.0800            0.0000           0.6833       PFind                   None            0.00    0.00    None            
  5.8800        15.0181           0.0000          0.0000            34.17         0.81          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  6.2200        14.1979           0.0000          0.0000           150.83         3.56          0.0600            0.0000          21.1167       PFind                   None            0.00    0.00    None            
  6.6400        13.3008           0.0000          0.0000            41.67         0.98          0.1600            0.0000           1.6667       PFind                   None            0.00    0.00    None            
  6.8200        12.9501           0.0000          0.0000            21.67         0.51          0.0800            0.0000           0.8667       PFind                   None            0.00    0.00    None            
  7.0200        12.5816           0.0000          0.0000            32.50         0.77          0.0200            0.0000           2.6000       PFind                   None            0.00    0.00    None            
  7.1200        12.4051           0.0000          0.0000            28.33         0.67          0.0400            0.0000           2.2667       PFind                   None            0.00    0.00    None            
  7.2600        12.1662           0.0000          0.0000            30.00         0.71          0.0000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  7.4000        11.9364           0.0000          0.0000            25.83         0.61          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  7.4600        11.8405           0.0000          0.0000            23.33         0.55          0.1000            0.0000           2.3333       PFind                   None            0.00    0.00    None            
  7.7400        11.4128           0.0000          0.0000            35.83         0.84          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  7.9800        11.0701           0.0000          0.0000            39.17         0.92          0.0200            0.0000           0.7833       PFind                   None            0.00    0.00    None            
  8.2000        10.7735           0.0000          0.0000            49.17         1.16          0.1600            0.0000           2.9500       PFind                   None            0.00    0.00    None            
  8.3600        10.5677           0.0000          0.0000            48.33         1.14          0.1200            0.0000           7.7333       PFind                   None            0.00    0.00    None            
  8.9200         9.9055           0.0000          0.0000           540.83        12.75          0.0800            0.0000          64.9000       PFind                   None            0.00    0.00    None            
  9.1800         9.6255           0.0000          0.0000            80.00         1.89          0.0000            0.0000           9.6000       PFind                   None            0.00    0.00    None            
  9.3200         9.4812           0.0000          0.0000            77.50         1.83          0.0400            0.0000           6.2000       PFind                   None            0.00    0.00    None            
  9.5000         9.3020           0.0000          0.0000            71.67         1.69          0.0400            0.0000           7.1667       PFind                   None            0.00    0.00    None            
  9.7400         9.0733           0.0000          0.0000            20.83         0.49          0.1600            0.0000           3.3333       PFind                   None            0.00    0.00    None            
  9.8600         8.9632           0.0000          0.0000            20.00         0.47          0.0600            0.0000           1.2000       PFind                   None            0.00    0.00    None            
 10.2200         8.6482           0.0000          0.0000            37.50         0.88          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 10.4200         8.4827           0.0000          0.0000            47.50         1.12          0.1000            0.0000           7.6000       PFind                   None            0.00    0.00    None            
 10.5600         8.3705           0.0000          0.0000           131.67         3.10          0.0600            0.0000          10.5333       PFind                   None            0.00    0.00    None            
 10.8000         8.1850           0.0000          0.0000            29.17         0.69          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 11.0600         7.9932           0.0000          0.0000            22.50         0.53          0.1000            0.0000           0.4500       PFind                   None            0.00    0.00    None            
 11.1600         7.9218           0.0000          0.0000            24.17         0.57          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 11.2400         7.8656           0.0000          0.0000            25.83         0.61          0.0200            0.0000           0.5167       PFind                   None            0.00    0.00    None            
 11.4600         7.7151           0.0000          0.0000            19.17         0.45          0.0200            0.0000           1.5333       PFind                   None            0.00    0.00    None            
 11.5200         7.6750           0.0000          0.0000            25.83         0.61          0.1400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 11.7000         7.5574           0.0000          0.0000            27.50         0.65          0.0000            0.0000           2.2000       PFind                   None            0.00    0.00    None            
 12.1600         7.2725           0.0000          0.0000           718.33        16.94          0.0800            0.0000          71.8333       PFind                   None            0.00    0.00    None            
 12.4800         7.0867           0.0000          0.0000           309.17         7.29          0.1200            0.0000          49.4667       PFind                   None            0.00    0.00    None            
 12.8600         6.8782           0.0000          0.0000            23.33         0.55          0.0000            0.0000           1.4000       PFind                   None            0.00    0.00    None            
 13.1600         6.7220           0.0000          0.0000            19.17         0.45          0.0800            0.0000           3.0667       PFind                   None            0.00    0.00    None            
 13.2200         6.6917           0.0000          0.0000            24.17         0.57          0.0800            0.0000           0.9667       PFind                   None            0.00    0.00    None            
 13.3200         6.6417           0.0000          0.0000            28.33         0.67          0.0400            0.0000           0.5667       PFind                   None            0.00    0.00    None            
 13.5400         6.5342           0.0000          0.0000            20.00         0.47          0.0800            0.0000           1.6000       PFind                   None            0.00    0.00    None            
 13.8600         6.3841           0.0000          0.0000            32.50         0.77          0.0800            0.0000           3.2500       PFind                   None            0.00    0.00    None            
 13.9800         6.3295           0.0000          0.0000            25.00         0.59          0.0600            0.0000           2.0000       PFind                   None            0.00    0.00    None            
 14.2800         6.1972           0.0000          0.0000            21.67         0.51          0.1400            0.0000           1.7333       PFind                   None            0.00    0.00    None            
 14.6400         6.0456           0.0000          0.0000            18.33         0.43          0.1600            0.0000           0.3667       PFind                   None            0.00    0.00    None            
 14.8000         5.9806           0.0000          0.0000            16.67         0.39          0.0400            0.0000           1.0000       PFind                   None            0.00    0.00    None            
 15.0200         5.8935           0.0000          0.0000            22.50         0.53          0.1200            0.0000           1.3500       PFind                   None            0.00    0.00    None            
 15.1600         5.8394           0.0000          0.0000            20.00         0.47          0.0600            0.0000           1.6000       PFind                   None            0.00    0.00    None            
 15.6400         5.6613           0.0000          0.0000            20.00         0.47          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 15.8200         5.5973           0.0000          0.0000            14.17         0.33          0.1600            0.0000           0.8500       PFind                   None            0.00    0.00    None            
 16.2000         5.4668           0.0000          0.0000            18.33         0.43          0.0200            0.0000           0.3667       PFind                   None            0.00    0.00    None            
 16.3400         5.4203           0.0000          0.0000            16.67         0.39          0.0600            0.0000           0.6667       PFind                   None            0.00    0.00    None            
 16.5200         5.3616           0.0000          0.0000            15.00         0.35          0.0600            0.0000           0.6000       PFind                   None            0.00    0.00    None            
 16.6600         5.3169           0.0000          0.0000            14.17         0.33          0.0000            0.0000           0.5667       PFind                   None            0.00    0.00    None            
 16.7800         5.2791           0.0000          0.0000            17.50         0.41          0.0800            0.0000           1.7500       PFind                   None            0.00    0.00    None            
 16.9600         5.2235           0.0000          0.0000            16.67         0.39          0.0000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 17.8200         4.9733           0.0000          0.0000           157.50         3.71          0.1600            0.0000          25.2000       PFind                   None            0.00    0.00    None            
 18.8000         4.7162           0.0000          0.0000           108.33         2.55          0.0000            0.0000          15.1667       PFind                   None            0.00    0.00    None            
 19.1800         4.6236           0.0000          0.0000            19.17         0.45          0.1000            0.0000           0.3833       PFind                   None            0.00    0.00    None            
 19.5200         4.5439           0.0000          0.0000            15.83         0.37          0.0400            0.0000           0.6333       PFind                   None            0.00    0.00    None            
 19.6400         4.5164           0.0000          0.0000            15.00         0.35          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 19.8000         4.4802           0.0000          0.0000            18.33         0.43          0.0200            0.0000           0.3667       PFind                   None            0.00    0.00    None            
 20.3200         4.3667           0.0000          0.0000            16.67         0.39          0.0000            0.0000           1.0000       PFind                   None            0.00    0.00    None            
 20.6400         4.2997           0.0000          0.0000            44.17         1.04          0.0600            0.0000           2.6500       PFind                   None            0.00    0.00    None            
 20.8800         4.2509           0.0000          0.0000            52.50         1.24          0.0600            0.0000           4.2000       PFind                   None            0.00    0.00    None            
 21.2600         4.1757           0.0000          0.0000            17.50         0.41          0.0000            0.0000           0.3500       PFind                   None            0.00    0.00    None            
 21.9800         4.0405           0.0000          0.0000            18.33         0.43          0.0000            0.0000           1.1000       PFind                   None            0.00    0.00    None            
 22.0800         4.0225           0.0000          0.0000            20.00         0.47          0.1000            0.0000           1.6000       PFind                   None            0.00    0.00    None            
 23.1200         3.8438           0.0000          0.0000            15.00         0.35          0.0000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 23.6000         3.7667           0.0000          0.0000            16.67         0.39          0.0000            0.0000           1.6667       PFind                   None            0.00    0.00    None            
 24.6400         3.6100           0.0000          0.0000           205.00         4.83          0.0400            0.0000          32.8000       PFind                   None            0.00    0.00    None            
 25.1600         3.5366           0.0000          0.0000           175.83         4.15          0.0000            0.0000          21.1000       PFind                   None            0.00    0.00    None            
 25.5400         3.4848           0.0000          0.0000            18.33         0.43          0.1400            0.0000           1.8333       PFind                   None            0.00    0.00    None            
 25.6400         3.4715           0.0000          0.0000            14.17         0.33          0.0400            0.0000           1.9833       PFind                   None            0.00    0.00    None            
 26.0600         3.4165           0.0000          0.0000            15.00         0.35          0.0400            0.0000           1.2000       PFind                   None            0.00    0.00    None            
 26.7000         3.3360           0.0000          0.0000           298.33         7.03          0.1000            0.0000          35.8000       PFind                   None            0.00    0.00    None            
 26.9400         3.3068           0.0000          0.0000           375.83         8.86          0.0200            0.0000          45.1000       PFind                   None            0.00    0.00    None            
 27.5600         3.2338           0.0000          0.0000            38.33         0.90          0.0800            0.0000           2.3000       PFind                   None            0.00    0.00    None            
 27.8400         3.2019           0.0000          0.0000            81.67         1.93          0.0200            0.0000          13.0667       PFind                   None            0.00    0.00    None            
 27.9600         3.1885           0.0000          0.0000            92.50         2.18          0.0600            0.0000          12.9500       PFind                   None            0.00    0.00    None            
 28.2400         3.1575           0.0000          0.0000            18.33         0.43          0.0400            0.0000           0.3667       PFind                   None            0.00    0.00    None            
 28.6600         3.1122           0.0000          0.0000            60.00         1.41          0.0000            0.0000           6.0000       PFind                   None            0.00    0.00    None            
 29.2800         3.0477           0.0000          0.0000            15.83         0.37          0.1400            0.0000           0.6333       PFind                   None            0.00    0.00    None            
 29.8400         2.9917           0.0000          0.0000           110.00         2.59          0.0600            0.0000           6.6000       PFind                   None            0.00    0.00    None            
 30.2600         2.9512           0.0000          0.0000            15.00         0.35          0.0000            0.0000           1.2000       PFind                   None            0.00    0.00    None            
 31.2200         2.8626           0.0000          0.0000            15.83         0.37          0.0000            0.0000           0.9500       PFind                   None            0.00    0.00    None            
 31.3200         2.8537           0.0000          0.0000            18.33         0.43          0.0200            0.0000           1.4667       PFind                   None            0.00    0.00    None            
 31.6200         2.8273           0.0000          0.0000            31.67         0.75          0.0600            0.0000           4.4333       PFind                   None            0.00    0.00    None            
 32.0200         2.7928           0.0000          0.0000            15.83         0.37          0.1600            0.0000           1.5833       PFind                   None            0.00    0.00    None            
 32.1400         2.7827           0.0000          0.0000            18.33         0.43          0.0200            0.0000           1.8333       PFind                   None            0.00    0.00    None            
 32.3000         2.7693           0.0000          0.0000            26.67         0.63          0.1600            0.0000           2.1333       PFind                   None            0.00    0.00    None            
 32.5800         2.7461           0.0000          0.0000            35.83         0.84          0.1600            0.0000           0.7167       PFind                   None            0.00    0.00    None            
 33.5600         2.6681           0.0000          0.0000            14.17         0.33          0.1400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 34.3400         2.6093           0.0000          0.0000            48.33         1.14          0.1200            0.0000           2.9000       PFind                   None            0.00    0.00    None            
 34.6400         2.5874           0.0000          0.0000            15.83         0.37          0.0000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 35.6400         2.5170           0.0000          0.0000            20.83         0.49          0.0600            0.0000           0.4167       PFind                   None            0.00    0.00    None            
 35.7200         2.5116           0.0000          0.0000            22.50         0.53          0.1600            0.0000           0.4500       PFind                   None            0.00    0.00    None            
 36.1600         2.4820           0.0000          0.0000            31.67         0.75          0.0600            0.0000           1.2667       PFind                   None            0.00    0.00    None            
