
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\12_2_AUG_RT.pk

File Created:
	March 05, 2019 - 10:35 PM

Specimen Id:
	12.2 AUG RT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.6800        32.9387           0.0000          0.0000            75.83         2.80          0.0400            0.0000           7.5833       PFind                   None            0.00    0.00    None            
  2.8800        30.6517           0.0000          0.0000            60.83         2.25          0.0200            0.0000           3.6500       PFind                   None            0.00    0.00    None            
  3.0200        29.2311           0.0000          0.0000            79.17         2.92          0.0800            0.0000           3.1667       PFind                   None            0.00    0.00    None            
  3.1800        27.7607           0.0000          0.0000            60.83         2.25          0.0000            0.0000           6.0833       PFind                   None            0.00    0.00    None            
  3.4400        25.6631           0.0000          0.0000            59.17         2.19          0.1200            0.0000           4.7333       PFind                   None            0.00    0.00    None            
  3.7000        23.8603           0.0000          0.0000            56.67         2.09          0.0200            0.0000           1.1333       PFind                   None            0.00    0.00    None            
  3.9200        22.5217           0.0000          0.0000            38.33         1.42          0.1000            0.0000           3.0667       PFind                   None            0.00    0.00    None            
  4.1000        21.5333           0.0000          0.0000            58.33         2.16          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.2400        20.8226           0.0000          0.0000            53.33         1.97          0.0200            0.0000           4.2667       PFind                   None            0.00    0.00    None            
  4.3600        20.2498           0.0000          0.0000            44.17         1.63          0.0400            0.0000           0.8833       PFind                   None            0.00    0.00    None            
  4.5600        19.3621           0.0000          0.0000            44.17         1.63          0.0800            0.0000           5.3000       PFind                   None            0.00    0.00    None            
  4.6600        18.9468           0.0000          0.0000            46.67         1.72          0.0800            0.0000           1.8667       PFind                   None            0.00    0.00    None            
  4.8800        18.0931           0.0000          0.0000            42.50         1.57          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
