
Filename:
	H:\12_2_SEPT_FILTER.pk

File Created:
	April 16, 2019 - 04:33 PM

Specimen Id:
	12.1 SEPT FILTER

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 2 deg.
Stop Angle: 65 deg.
Num Points: 3151
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  3.8800        22.7538           0.0000          0.0000            55.83         3.98          0.0600            0.0000           3.3500       PFind                   None            0.00    0.00    None            
  4.0200        21.9616           0.0000          0.0000            49.17         3.51          0.1600            0.0000           2.9500       PFind                   None            0.00    0.00    None            
  4.3200        20.4372           0.0000          0.0000            50.83         3.63          0.1600            0.0000           1.0167       PFind                   None            0.00    0.00    None            
  4.6200        19.1107           0.0000          0.0000            36.67         2.62          0.1200            0.0000           1.4667       PFind                   None            0.00    0.00    None            
  4.6800        18.8659           0.0000          0.0000            34.17         2.44          0.0400            0.0000           0.6833       PFind                   None            0.00    0.00    None            
  4.8400        18.2426           0.0000          0.0000            39.17         2.79          0.1200            0.0000           0.7833       PFind                   None            0.00    0.00    None            
  5.5200        15.9967           0.0000          0.0000            37.50         2.68          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  6.2400        14.1525           0.0000          0.0000           120.83         8.62          0.1200            0.0000          16.9167       PFind                   None            0.00    0.00    None            
  6.7400        13.1037           0.0000          0.0000            35.83         2.56          0.0800            0.0000           0.7167       PFind                   None            0.00    0.00    None            
  7.5200        11.7462           0.0000          0.0000            35.00         2.50          0.1000            0.0000           1.4000       PFind                   None            0.00    0.00    None            
  8.1000        10.9063           0.0000          0.0000            40.00         2.85          0.0400            0.0000           1.6000       PFind                   None            0.00    0.00    None            
  8.8800         9.9500           0.0000          0.0000           514.17        36.68          0.0400            0.0000          51.4167       PFind                   None            0.00    0.00    None            
  9.1600         9.6465           0.0000          0.0000            51.67         3.69          0.1200            0.0000           8.2667       PFind                   None            0.00    0.00    None            
