
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\13_2_AUG_P_RT.pk

File Created:
	April 15, 2019 - 03:21 PM

Specimen Id:
	13.2 AUG  SUPPORT P FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.7400        32.2176           0.0000          0.0000            78.33         1.96          0.1200            0.0000           9.4000       PFind                   None            0.00    0.00    None            
  2.9400        30.0263           0.0000          0.0000            70.00         1.76          0.1000            0.0000           1.4000       PFind                   None            0.00    0.00    None            
  3.0600        28.8491           0.0000          0.0000            54.17         1.36          0.0600            0.0000           2.1667       PFind                   None            0.00    0.00    None            
  3.3200        26.5904           0.0000          0.0000            62.50         1.57          0.1200            0.0000           5.0000       PFind                   None            0.00    0.00    None            
  3.5400        24.9383           0.0000          0.0000            78.33         1.96          0.1200            0.0000           1.5667       PFind                   None            0.00    0.00    None            
  3.8400        22.9907           0.0000          0.0000            55.00         1.38          0.1000            0.0000           3.3000       PFind                   None            0.00    0.00    None            
  4.0200        21.9616           0.0000          0.0000            53.33         1.34          0.0800            0.0000           3.2000       PFind                   None            0.00    0.00    None            
  4.3200        20.4372           0.0000          0.0000            43.33         1.09          0.1600            0.0000           1.7333       PFind                   None            0.00    0.00    None            
  4.7000        18.7856           0.0000          0.0000            54.17         1.36          0.0600            0.0000           6.5000       PFind                   None            0.00    0.00    None            
  5.1000        17.3131           0.0000          0.0000            44.17         1.11          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.2800        16.7233           0.0000          0.0000            55.00         1.38          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.5600        15.8817           0.0000          0.0000            41.67         1.04          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.8000        15.2251           0.0000          0.0000            37.50         0.94          0.1600            0.0000           3.7500       PFind                   None            0.00    0.00    None            
  6.1800        14.2897           0.0000          0.0000           200.00         5.01          0.1200            0.0000          32.0000       PFind                   None            0.00    0.00    None            
  6.7200        13.1426           0.0000          0.0000            40.83         1.02          0.0800            0.0000           1.6333       PFind                   None            0.00    0.00    None            
  6.8600        12.8747           0.0000          0.0000            37.50         0.94          0.0600            0.0000           4.5000       PFind                   None            0.00    0.00    None            
  7.2200        12.2335           0.0000          0.0000            40.83         1.02          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  8.8800         9.9500           0.0000          0.0000           530.00        13.29          0.0600            0.0000          63.6000       PFind                   None            0.00    0.00    None            
  9.1800         9.6255           0.0000          0.0000            47.50         1.19          0.0400            0.0000           4.7500       PFind                   None            0.00    0.00    None            
  9.3400         9.4610           0.0000          0.0000            37.50         0.94          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  9.4800         9.3216           0.0000          0.0000            51.67         1.30          0.0600            0.0000           5.1667       PFind                   None            0.00    0.00    None            
 10.5400         8.3864           0.0000          0.0000           156.67         3.93          0.1200            0.0000          18.8000       PFind                   None            0.00    0.00    None            
 12.2000         7.2487           0.0000          0.0000           296.67         7.44          0.0000            0.0000          29.6667       PFind                   None            0.00    0.00    None            
 12.5000         7.0754           0.0000          0.0000           231.67         5.81          0.0000            0.0000          27.8000       PFind                   None            0.00    0.00    None            
 13.6200         6.4960           0.0000          0.0000            50.83         1.27          0.1600            0.0000           1.0167       PFind                   None            0.00    0.00    None            
 13.8800         6.3749           0.0000          0.0000            51.67         1.30          0.0600            0.0000           6.2000       PFind                   None            0.00    0.00    None            
 14.9800         5.9092           0.0000          0.0000            36.67         0.92          0.1000            0.0000           2.9333       PFind                   None            0.00    0.00    None            
 17.8200         4.9733           0.0000          0.0000           180.83         4.53          0.0000            0.0000          18.0833       PFind                   None            0.00    0.00    None            
 18.5600         4.7767           0.0000          0.0000            59.17         1.48          0.1600            0.0000           5.9167       PFind                   None            0.00    0.00    None            
 18.8200         4.7113           0.0000          0.0000            85.83         2.15          0.1000            0.0000           8.5833       PFind                   None            0.00    0.00    None            
 19.7000         4.5027           0.0000          0.0000            36.67         0.92          0.0800            0.0000           3.6667       PFind                   None            0.00    0.00    None            
 19.8000         4.4802           0.0000          0.0000            45.00         1.13          0.1400            0.0000           4.5000       PFind                   None            0.00    0.00    None            
 20.8600         4.2549           0.0000          0.0000           700.83        17.57          0.0800            0.0000          56.0667       PFind                   None            0.00    0.00    None            
 22.0800         4.0225           0.0000          0.0000           128.33         3.22          0.1000            0.0000          10.2667       PFind                   None            0.00    0.00    None            
 22.4800         3.9518           0.0000          0.0000            42.50         1.07          0.0000            0.0000           2.5500       PFind                   None            0.00    0.00    None            
 23.5400         3.7762           0.0000          0.0000           168.33         4.22          0.1200            0.0000          16.8333       PFind                   None            0.00    0.00    None            
 24.2600         3.6657           0.0000          0.0000           176.67         4.43          0.1200            0.0000          14.1333       PFind                   None            0.00    0.00    None            
 24.6600         3.6072           0.0000          0.0000           220.83         5.54          0.1600            0.0000          26.5000       PFind                   None            0.00    0.00    None            
 25.1600         3.5366           0.0000          0.0000           165.83         4.16          0.0200            0.0000          19.9000       PFind                   None            0.00    0.00    None            
 25.5200         3.4875           0.0000          0.0000            90.00         2.26          0.0800            0.0000          14.4000       PFind                   None            0.00    0.00    None            
 25.6400         3.4715           0.0000          0.0000           135.83         3.41          0.1000            0.0000           5.4333       PFind                   None            0.00    0.00    None            
 26.6600         3.3409           0.0000          0.0000          3988.33       100.00          0.1200            0.0000         319.0667       PFind                   None            0.00    0.00    None            
 26.8800         3.3141           0.0000          0.0000           589.17        14.77          0.0200            0.0000          82.4833       PFind                   None            0.00    0.00    None            
 27.5400         3.2361           0.0000          0.0000           245.00         6.14          0.0000            0.0000          24.5000       PFind                   None            0.00    0.00    None            
 27.9600         3.1885           0.0000          0.0000           809.17        20.29          0.0200            0.0000          80.9167       PFind                   None            0.00    0.00    None            
 28.3200         3.1488           0.0000          0.0000            89.17         2.24          0.0600            0.0000          14.2667       PFind                   None            0.00    0.00    None            
 28.6600         3.1122           0.0000          0.0000            70.00         1.76          0.1000            0.0000           9.8000       PFind                   None            0.00    0.00    None            
 29.2400         3.0517           0.0000          0.0000            66.67         1.67          0.0200            0.0000           1.3333       PFind                   None            0.00    0.00    None            
 29.8200         2.9937           0.0000          0.0000           171.67         4.30          0.1200            0.0000          17.1667       PFind                   None            0.00    0.00    None            
 30.2200         2.9550           0.0000          0.0000            76.67         1.92          0.1600            0.0000           9.2000       PFind                   None            0.00    0.00    None            
 30.4600         2.9322           0.0000          0.0000           171.67         4.30          0.1000            0.0000          17.1667       PFind                   None            0.00    0.00    None            
 30.8600         2.8951           0.0000          0.0000            74.17         1.86          0.0400            0.0000           8.9000       PFind                   None            0.00    0.00    None            
 31.2600         2.8590           0.0000          0.0000            73.33         1.84          0.0800            0.0000          10.2667       PFind                   None            0.00    0.00    None            
 31.4200         2.8448           0.0000          0.0000            48.33         1.21          0.1200            0.0000           3.8667       PFind                   None            0.00    0.00    None            
 31.5600         2.8325           0.0000          0.0000            45.00         1.13          0.1000            0.0000           7.2000       PFind                   None            0.00    0.00    None            
 31.9600         2.7980           0.0000          0.0000            40.00         1.00          0.0600            0.0000           4.8000       PFind                   None            0.00    0.00    None            
 32.1200         2.7844           0.0000          0.0000            38.33         0.96          0.0800            0.0000           3.8333       PFind                   None            0.00    0.00    None            
 32.2600         2.7726           0.0000          0.0000            72.50         1.82          0.1400            0.0000           4.3500       PFind                   None            0.00    0.00    None            
 33.1400         2.7010           0.0000          0.0000            92.50         2.32          0.0800            0.0000           5.5500       PFind                   None            0.00    0.00    None            
 34.5600         2.5932           0.0000          0.0000            45.00         1.13          0.1200            0.0000           3.6000       PFind                   None            0.00    0.00    None            
 34.7000         2.5830           0.0000          0.0000            44.17         1.11          0.1600            0.0000           2.6500       PFind                   None            0.00    0.00    None            
 35.0400         2.5587           0.0000          0.0000            59.17         1.48          0.0800            0.0000           9.4667       PFind                   None            0.00    0.00    None            
 35.6200         2.5184           0.0000          0.0000           125.83         3.16          0.1000            0.0000          20.1333       PFind                   None            0.00    0.00    None            
 36.1200         2.4847           0.0000          0.0000            36.67         0.92          0.0600            0.0000           2.2000       PFind                   None            0.00    0.00    None            
 36.5600         2.4558           0.0000          0.0000           362.50         9.09          0.0400            0.0000          21.7500       PFind                   None            0.00    0.00    None            
 37.5000         2.3963           0.0000          0.0000            41.67         1.04          0.1600            0.0000           6.6667       PFind                   None            0.00    0.00    None            
 39.4800         2.2806           0.0000          0.0000           230.00         5.77          0.1000            0.0000          27.6000       PFind                   None            0.00    0.00    None            
 40.3000         2.2361           0.0000          0.0000           175.83         4.41          0.1000            0.0000           7.0333       PFind                   None            0.00    0.00    None            
 41.7400         2.1622           0.0000          0.0000            38.33         0.96          0.0800            0.0000           6.1333       PFind                   None            0.00    0.00    None            
 42.4800         2.1262           0.0000          0.0000           200.83         5.04          0.0400            0.0000          24.1000       PFind                   None            0.00    0.00    None            
 43.7200         2.0688           0.0000          0.0000            42.50         1.07          0.1000            0.0000           5.1000       PFind                   None            0.00    0.00    None            
 44.3400         2.0413           0.0000          0.0000            67.50         1.69          0.1600            0.0000           6.7500       PFind                   None            0.00    0.00    None            
 44.4600         2.0360           0.0000          0.0000            83.33         2.09          0.0800            0.0000          11.6667       PFind                   None            0.00    0.00    None            
 45.1000         2.0086           0.0000          0.0000            66.67         1.67          0.1400            0.0000          10.6667       PFind                   None            0.00    0.00    None            
 45.2000         2.0044           0.0000          0.0000            60.00         1.50          0.1200            0.0000           9.6000       PFind                   None            0.00    0.00    None            
 45.6200         1.9869           0.0000          0.0000           170.83         4.28          0.1000            0.0000          27.3333       PFind                   None            0.00    0.00    None            
 45.8200         1.9787           0.0000          0.0000           175.00         4.39          0.0000            0.0000          17.5000       PFind                   None            0.00    0.00    None            
 47.2000         1.9240           0.0000          0.0000            46.67         1.17          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 48.1800         1.8872           0.0000          0.0000            51.67         1.30          0.1600            0.0000           4.1333       PFind                   None            0.00    0.00    None            
 49.8200         1.8288           0.0000          0.0000            45.83         1.15          0.1200            0.0000           7.3333       PFind                   None            0.00    0.00    None            
 50.1600         1.8172           0.0000          0.0000           736.67        18.47          0.0400            0.0000          58.9333       PFind                   None            0.00    0.00    None            
 50.6000         1.8024           0.0000          0.0000           127.50         3.20          0.1000            0.0000          12.7500       PFind                   None            0.00    0.00    None            
 51.1800         1.7834           0.0000          0.0000            60.83         1.53          0.1000            0.0000           4.8667       PFind                   None            0.00    0.00    None            
 53.1200         1.7227           0.0000          0.0000            62.50         1.57          0.1000            0.0000           3.7500       PFind                   None            0.00    0.00    None            
 54.9000         1.6710           0.0000          0.0000           145.00         3.64          0.0800            0.0000          11.6000       PFind                   None            0.00    0.00    None            
 55.0400         1.6671           0.0000          0.0000           102.50         2.57          0.1000            0.0000           8.2000       PFind                   None            0.00    0.00    None            
 55.3200         1.6593           0.0000          0.0000            59.17         1.48          0.1400            0.0000           4.7333       PFind                   None            0.00    0.00    None            
 55.4600         1.6554           0.0000          0.0000            36.67         0.92          0.0600            0.0000           2.9333       PFind                   None            0.00    0.00    None            
 55.8400         1.6451           0.0000          0.0000            52.50         1.32          0.1600            0.0000           3.1500       PFind                   None            0.00    0.00    None            
 56.3200         1.6322           0.0000          0.0000            38.33         0.96          0.0800            0.0000           6.1333       PFind                   None            0.00    0.00    None            
 59.9800         1.5410           0.0000          0.0000           510.83        12.81          0.0600            0.0000          30.6500       PFind                   None            0.00    0.00    None            
 60.1400         1.5373           0.0000          0.0000           309.17         7.75          0.1200            0.0000          18.5500       PFind                   None            0.00    0.00    None            
 61.9800         1.4960           0.0000          0.0000            41.67         1.04          0.0800            0.0000           3.3333       PFind                   None            0.00    0.00    None            
 64.0400         1.4528           0.0000          0.0000            52.50         1.32          0.0600            0.0000           5.2500       PFind                   None            0.00    0.00    None            
