
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\14_1_AUG_P_RT.pk

File Created:
	April 15, 2019 - 03:22 PM

Specimen Id:
	14.1 AUG FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.7200        32.4544           0.0000          0.0000            70.00         1.87          0.0400            0.0000           5.6000       PFind                   None            0.00    0.00    None            
  2.9200        30.2319           0.0000          0.0000            51.67         1.38          0.0800            0.0000           6.2000       PFind                   None            0.00    0.00    None            
  3.0600        28.8491           0.0000          0.0000            50.00         1.33          0.1000            0.0000           1.0000       PFind                   None            0.00    0.00    None            
  3.2600        27.0796           0.0000          0.0000            54.17         1.44          0.0800            0.0000           5.4167       PFind                   None            0.00    0.00    None            
  3.4200        25.8131           0.0000          0.0000            59.17         1.58          0.1000            0.0000           4.7333       PFind                   None            0.00    0.00    None            
  3.6000        24.5228           0.0000          0.0000            46.67         1.24          0.0800            0.0000           3.7333       PFind                   None            0.00    0.00    None            
  3.6800        23.9899           0.0000          0.0000            45.83         1.22          0.1600            0.0000           3.6667       PFind                   None            0.00    0.00    None            
  3.9000        22.6371           0.0000          0.0000            50.00         1.33          0.0800            0.0000           1.0000       PFind                   None            0.00    0.00    None            
  4.0200        21.9616           0.0000          0.0000            40.83         1.09          0.0800            0.0000           3.2667       PFind                   None            0.00    0.00    None            
  4.2200        20.9212           0.0000          0.0000            39.17         1.04          0.1000            0.0000           1.5667       PFind                   None            0.00    0.00    None            
  4.6800        18.8659           0.0000          0.0000            34.17         0.91          0.1400            0.0000           2.0500       PFind                   None            0.00    0.00    None            
  5.0800        17.3812           0.0000          0.0000            36.67         0.98          0.0600            0.0000           0.7333       PFind                   None            0.00    0.00    None            
  5.3200        16.5976           0.0000          0.0000            41.67         1.11          0.0800            0.0000           1.6667       PFind                   None            0.00    0.00    None            
  5.6400        15.6566           0.0000          0.0000            39.17         1.04          0.1200            0.0000           2.3500       PFind                   None            0.00    0.00    None            
  5.8600        15.0693           0.0000          0.0000            37.50         1.00          0.1600            0.0000           0.7500       PFind                   None            0.00    0.00    None            
  6.2800        14.0624           0.0000          0.0000           212.50         5.67          0.0400            0.0000          34.0000       PFind                   None            0.00    0.00    None            
  6.5800        13.4219           0.0000          0.0000            38.33         1.02          0.0400            0.0000           1.5333       PFind                   None            0.00    0.00    None            
  6.7400        13.1037           0.0000          0.0000            61.67         1.64          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
