
Filename:
	H:\15_1_AUG_FILTER.pk

File Created:
	April 16, 2019 - 04:34 PM

Specimen Id:
	15.1 AUG FILTER

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 2 deg.
Stop Angle: 65 deg.
Num Points: 3151
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  3.7400        23.6052           0.0000          0.0000            30.83         0.62          0.0600            0.0000           1.8500       PFind                   None            0.00    0.00    None            
  3.8600        22.8716           0.0000          0.0000            45.83         0.92          0.0800            0.0000           0.9167       PFind                   None            0.00    0.00    None            
  3.9200        22.5217           0.0000          0.0000            41.67         0.84          0.1200            0.0000           4.1667       PFind                   None            0.00    0.00    None            
  4.1200        21.4288           0.0000          0.0000            33.33         0.67          0.0000            0.0000           0.6667       PFind                   None            0.00    0.00    None            
  4.4200        19.9750           0.0000          0.0000            43.33         0.87          0.1000            0.0000           3.4667       PFind                   None            0.00    0.00    None            
  4.6800        18.8659           0.0000          0.0000            35.83         0.72          0.1200            0.0000           4.3000       PFind                   None            0.00    0.00    None            
  4.7600        18.5490           0.0000          0.0000            30.00         0.60          0.0600            0.0000           1.2000       PFind                   None            0.00    0.00    None            
  5.1600        17.1119           0.0000          0.0000            30.00         0.60          0.0600            0.0000           2.4000       PFind                   None            0.00    0.00    None            
  5.3000        16.6602           0.0000          0.0000            39.17         0.79          0.1000            0.0000           0.7833       PFind                   None            0.00    0.00    None            
  5.4400        16.2318           0.0000          0.0000            31.67         0.64          0.1000            0.0000           2.5333       PFind                   None            0.00    0.00    None            
  5.6800        15.5465           0.0000          0.0000            56.67         1.14          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.9200        14.9167           0.0000          0.0000            31.67         0.64          0.1400            0.0000           0.6333       PFind                   None            0.00    0.00    None            
  6.2400        14.1525           0.0000          0.0000            38.33         0.77          0.1000            0.0000           3.8333       PFind                   None            0.00    0.00    None            
  6.5200        13.5453           0.0000          0.0000            32.50         0.65          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  7.0400        12.5459           0.0000          0.0000            30.00         0.60          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  8.0000        11.0424           0.0000          0.0000            32.50         0.65          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  8.2600        10.6954           0.0000          0.0000            29.17         0.59          0.0800            0.0000           1.1667       PFind                   None            0.00    0.00    None            
  8.4000        10.5175           0.0000          0.0000            35.00         0.70          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  8.9400         9.8834           0.0000          0.0000           132.50         2.66          0.0000            0.0000          15.9000       PFind                   None            0.00    0.00    None            
  9.8600         8.9632           0.0000          0.0000            29.17         0.59          0.0800            0.0000           1.7500       PFind                   None            0.00    0.00    None            
 10.6800         8.2767           0.0000          0.0000            28.33         0.57          0.0800            0.0000           2.2667       PFind                   None            0.00    0.00    None            
 12.3000         7.1900           0.0000          0.0000            72.50         1.46          0.1200            0.0000          11.6000       PFind                   None            0.00    0.00    None            
 12.5400         7.0530           0.0000          0.0000           172.50         3.47          0.0000            0.0000          20.7000       PFind                   None            0.00    0.00    None            
 13.3000         6.6516           0.0000          0.0000            96.67         1.94          0.0600            0.0000           3.8667       PFind                   None            0.00    0.00    None            
 13.5800         6.5151           0.0000          0.0000            33.33         0.67          0.1400            0.0000           2.0000       PFind                   None            0.00    0.00    None            
 13.8800         6.3749           0.0000          0.0000          4974.17       100.00          0.0600            0.0000         298.4500       PFind                   None            0.00    0.00    None            
 14.2600         6.2059           0.0000          0.0000            29.17         0.59          0.0400            0.0000           0.5833       PFind                   None            0.00    0.00    None            
 15.0000         5.9014           0.0000          0.0000            30.83         0.62          0.1600            0.0000           1.8500       PFind                   None            0.00    0.00    None            
 17.4200         5.0866           0.0000          0.0000            49.17         0.99          0.1400            0.0000           1.9667       PFind                   None            0.00    0.00    None            
 17.8800         4.9568           0.0000          0.0000            90.83         1.83          0.1000            0.0000          14.5333       PFind                   None            0.00    0.00    None            
 18.7600         4.7262           0.0000          0.0000            75.00         1.51          0.1000            0.0000           7.5000       PFind                   None            0.00    0.00    None            
