
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\15_1_SEPT_FILTER.pk

File Created:
	April 15, 2019 - 03:23 PM

Specimen Id:
	15/1/SEPTEMBRE FILTRE

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.9400        30.0263           0.0000          0.0000            55.00         2.53          0.1600            0.0000           4.4000       PFind                   None            0.00    0.00    None            
  3.0400        29.0388           0.0000          0.0000            55.83         2.57          0.1400            0.0000           1.1167       PFind                   None            0.00    0.00    None            
  3.3200        26.5904           0.0000          0.0000            45.83         2.11          0.0600            0.0000           2.7500       PFind                   None            0.00    0.00    None            
  3.4400        25.6631           0.0000          0.0000            55.00         2.53          0.0800            0.0000           7.7000       PFind                   None            0.00    0.00    None            
  3.6200        24.3874           0.0000          0.0000            50.83         2.34          0.0400            0.0000           3.0500       PFind                   None            0.00    0.00    None            
  3.6800        23.9899           0.0000          0.0000            42.50         1.96          0.1600            0.0000           3.4000       PFind                   None            0.00    0.00    None            
  3.9800        22.1823           0.0000          0.0000            50.83         2.34          0.0600            0.0000           4.0667       PFind                   None            0.00    0.00    None            
  4.3600        20.2498           0.0000          0.0000            39.17         1.80          0.0800            0.0000           6.2667       PFind                   None            0.00    0.00    None            
  4.5000        19.6201           0.0000          0.0000            46.67         2.15          0.1600            0.0000           1.8667       PFind                   None            0.00    0.00    None            
