
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\17_1_SEPT_FILTER.pk

File Created:
	April 15, 2019 - 03:24 PM

Specimen Id:
	17.2 SEPT FILTER

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.8000        31.5273           0.0000          0.0000            58.33         1.31          0.1600            0.0000           4.6667       PFind                   None            0.00    0.00    None            
  2.9000        30.4404           0.0000          0.0000            50.83         1.14          0.1200            0.0000           5.0833       PFind                   None            0.00    0.00    None            
  3.0400        29.0388           0.0000          0.0000            64.17         1.44          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  3.2200        27.4159           0.0000          0.0000            55.83         1.25          0.1000            0.0000           4.4667       PFind                   None            0.00    0.00    None            
  3.3800        26.1185           0.0000          0.0000            40.00         0.90          0.0600            0.0000           5.6000       PFind                   None            0.00    0.00    None            
  3.4800        25.3682           0.0000          0.0000            61.67         1.38          0.1200            0.0000           2.4667       PFind                   None            0.00    0.00    None            
  3.6400        24.2534           0.0000          0.0000            48.33         1.08          0.0600            0.0000           3.8667       PFind                   None            0.00    0.00    None            
  3.9000        22.6371           0.0000          0.0000            37.50         0.84          0.0400            0.0000           0.7500       PFind                   None            0.00    0.00    None            
  4.0400        21.8530           0.0000          0.0000            74.17         1.66          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.3400        20.3430           0.0000          0.0000            55.00         1.23          0.0600            0.0000           1.1000       PFind                   None            0.00    0.00    None            
  4.6200        19.1107           0.0000          0.0000            40.83         0.92          0.0400            0.0000           1.6333       PFind                   None            0.00    0.00    None            
  4.6800        18.8659           0.0000          0.0000            39.17         0.88          0.1600            0.0000           3.1333       PFind                   None            0.00    0.00    None            
  4.9000        18.0193           0.0000          0.0000            40.83         0.92          0.1000            0.0000           0.8167       PFind                   None            0.00    0.00    None            
  5.0800        17.3812           0.0000          0.0000            48.33         1.08          0.1600            0.0000           0.9667       PFind                   None            0.00    0.00    None            
  5.3200        16.5976           0.0000          0.0000            36.67         0.82          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  6.3400        13.9295           0.0000          0.0000           149.17         3.35          0.1000            0.0000          20.8833       PFind                   None            0.00    0.00    None            
  7.1400        12.3704           0.0000          0.0000            37.50         0.84          0.1400            0.0000           2.2500       PFind                   None            0.00    0.00    None            
  8.6000        10.2733           0.0000          0.0000            43.33         0.97          0.1600            0.0000           4.3333       PFind                   None            0.00    0.00    None            
  8.9800         9.8394           0.0000          0.0000           448.33        10.06          0.0800            0.0000          53.8000       PFind                   None            0.00    0.00    None            
  9.2800         9.5220           0.0000          0.0000            58.33         1.31          0.0600            0.0000           2.3333       PFind                   None            0.00    0.00    None            
  9.5400         9.2631           0.0000          0.0000            38.33         0.86          0.0800            0.0000           3.8333       PFind                   None            0.00    0.00    None            
  9.9200         8.9091           0.0000          0.0000            39.17         0.88          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 10.6600         8.2922           0.0000          0.0000            96.67         2.17          0.1400            0.0000           7.7333       PFind                   None            0.00    0.00    None            
 12.3400         7.1668           0.0000          0.0000           549.17        12.32          0.1400            0.0000          54.9167       PFind                   None            0.00    0.00    None            
 12.6400         6.9974           0.0000          0.0000           357.50         8.02          0.0000            0.0000          42.9000       PFind                   None            0.00    0.00    None            
 13.8200         6.4025           0.0000          0.0000            46.67         1.05          0.1000            0.0000           2.8000       PFind                   None            0.00    0.00    None            
 14.0000         6.3205           0.0000          0.0000            49.17         1.10          0.0400            0.0000           5.9000       PFind                   None            0.00    0.00    None            
 15.1400         5.8471           0.0000          0.0000            40.00         0.90          0.0400            0.0000           2.4000       PFind                   None            0.00    0.00    None            
 17.9600         4.9349           0.0000          0.0000           252.50         5.66          0.0200            0.0000          30.3000       PFind                   None            0.00    0.00    None            
 18.7400         4.7312           0.0000          0.0000            57.50         1.29          0.0600            0.0000           8.0500       PFind                   None            0.00    0.00    None            
 18.9200         4.6866           0.0000          0.0000           177.50         3.98          0.0600            0.0000          17.7500       PFind                   None            0.00    0.00    None            
