
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\19_1_AG_FILTER.pk

File Created:
	April 15, 2019 - 03:26 PM

Specimen Id:
	19.1 AUGUST FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.8000        31.5273           0.0000          0.0000            46.67         4.44          0.1200            0.0000           5.6000       PFind                   None            0.00    0.00    None            
  3.0000        29.4259           0.0000          0.0000            45.83         4.36          0.0000            0.0000           1.8333       PFind                   None            0.00    0.00    None            
  3.0600        28.8491           0.0000          0.0000            39.17         3.72          0.1000            0.0000           3.1333       PFind                   None            0.00    0.00    None            
  3.3200        26.5904           0.0000          0.0000            48.33         4.60          0.0800            0.0000           6.7667       PFind                   None            0.00    0.00    None            
  3.4400        25.6631           0.0000          0.0000            70.00         6.66          0.1200            0.0000           2.8000       PFind                   None            0.00    0.00    None            
  3.5600        24.7983           0.0000          0.0000            55.83         5.31          0.1600            0.0000           1.1167       PFind                   None            0.00    0.00    None            
  3.8000        23.2326           0.0000          0.0000            41.67         3.96          0.0800            0.0000           0.8333       PFind                   None            0.00    0.00    None            
  3.9200        22.5217           0.0000          0.0000            54.17         5.15          0.1600            0.0000           1.0833       PFind                   None            0.00    0.00    None            
  4.0400        21.8530           0.0000          0.0000            44.17         4.20          0.0200            0.0000           5.3000       PFind                   None            0.00    0.00    None            
  4.2000        21.0208           0.0000          0.0000            38.33         3.65          0.1200            0.0000           3.8333       PFind                   None            0.00    0.00    None            
  4.3400        20.3430           0.0000          0.0000            57.50         5.47          0.1600            0.0000           3.4500       PFind                   None            0.00    0.00    None            
  4.7000        18.7856           0.0000          0.0000            42.50         4.04          0.1000            0.0000           0.8500       PFind                   None            0.00    0.00    None            
  5.0400        17.5191           0.0000          0.0000            35.83         3.41          0.1000            0.0000           2.1500       PFind                   None            0.00    0.00    None            
  5.2000        16.9804           0.0000          0.0000            35.00         3.33          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  6.1000        14.4770           0.0000          0.0000            60.00         5.71          0.0200            0.0000           7.2000       PFind                   None            0.00    0.00    None            
  6.3600        13.8857           0.0000          0.0000            51.67         4.91          0.0400            0.0000           3.1000       PFind                   None            0.00    0.00    None            
  6.4600        13.6710           0.0000          0.0000            49.17         4.68          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  8.2600        10.6954           0.0000          0.0000            35.00         3.33          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  8.8200        10.0176           0.0000          0.0000           188.33        17.91          0.0600            0.0000          30.1333       PFind                   None            0.00    0.00    None            
  9.3400         9.4610           0.0000          0.0000            35.83         3.41          0.0400            0.0000           2.8667       PFind                   None            0.00    0.00    None            
  9.5200         9.2825           0.0000          0.0000            50.00         4.75          0.1600            0.0000           1.0000       PFind                   None            0.00    0.00    None            
  9.7200         9.0919           0.0000          0.0000            35.83         3.41          0.1200            0.0000           2.1500       PFind                   None            0.00    0.00    None            
 10.4400         8.4665           0.0000          0.0000            35.00         3.33          0.1200            0.0000           4.2000       PFind                   None            0.00    0.00    None            
 12.1600         7.2725           0.0000          0.0000           256.67        24.41          0.0400            0.0000          41.0667       PFind                   None            0.00    0.00    None            
 12.4400         7.1094           0.0000          0.0000           231.67        22.03          0.0200            0.0000          27.8000       PFind                   None            0.00    0.00    None            
 13.7800         6.4210           0.0000          0.0000            36.67         3.49          0.0600            0.0000           1.4667       PFind                   None            0.00    0.00    None            
 17.7600         4.9900           0.0000          0.0000           124.17        11.81          0.0000            0.0000          14.9000       PFind                   None            0.00    0.00    None            
 18.7400         4.7312           0.0000          0.0000           108.33        10.30          0.0000            0.0000          17.3333       PFind                   None            0.00    0.00    None            
 19.8200         4.4757           0.0000          0.0000            37.50         3.57          0.0600            0.0000           2.2500       PFind                   None            0.00    0.00    None            
 20.9400         4.2388           0.0000          0.0000           220.00        20.92          0.1200            0.0000          30.8000       PFind                   None            0.00    0.00    None            
 22.0600         4.0261           0.0000          0.0000            91.67         8.72          0.0600            0.0000          14.6667       PFind                   None            0.00    0.00    None            
 22.8800         3.8836           0.0000          0.0000            43.33         4.12          0.1400            0.0000           5.2000       PFind                   None            0.00    0.00    None            
 22.9200         3.8769           0.0000          0.0000            36.67         3.49          0.0800            0.0000           5.8667       PFind                   None            0.00    0.00    None            
 23.0800         3.8504           0.0000          0.0000            49.17         4.68          0.1000            0.0000           2.9500       PFind                   None            0.00    0.00    None            
 23.6200         3.7636           0.0000          0.0000            53.33         5.07          0.1600            0.0000           6.4000       PFind                   None            0.00    0.00    None            
 24.1000         3.6897           0.0000          0.0000            42.50         4.04          0.1400            0.0000           0.8500       PFind                   None            0.00    0.00    None            
 24.5800         3.6187           0.0000          0.0000           233.33        22.19          0.0200            0.0000          37.3333       PFind                   None            0.00    0.00    None            
 25.1400         3.5394           0.0000          0.0000           212.50        20.21          0.1000            0.0000          34.0000       PFind                   None            0.00    0.00    None            
 25.5600         3.4822           0.0000          0.0000            64.17         6.10          0.0600            0.0000          10.2667       PFind                   None            0.00    0.00    None            
 25.6000         3.4768           0.0000          0.0000            65.83         6.26          0.1600            0.0000          10.5333       PFind                   None            0.00    0.00    None            
 26.6600         3.3409           0.0000          0.0000          1051.67       100.00          0.1200            0.0000         168.2667       PFind                   None            0.00    0.00    None            
 27.5200         3.2384           0.0000          0.0000            47.50         4.52          0.1600            0.0000           3.8000       PFind                   None            0.00    0.00    None            
 27.6400         3.2247           0.0000          0.0000           230.83        21.95          0.0200            0.0000           9.2333       PFind                   None            0.00    0.00    None            
 27.8800         3.1974           0.0000          0.0000           338.33        32.17          0.0800            0.0000          47.3667       PFind                   None            0.00    0.00    None            
 28.6800         3.1100           0.0000          0.0000            95.83         9.11          0.1600            0.0000          15.3333       PFind                   None            0.00    0.00    None            
 29.9200         2.9839           0.0000          0.0000           106.67        10.14          0.0000            0.0000          17.0667       PFind                   None            0.00    0.00    None            
 30.4200         2.9360           0.0000          0.0000            50.83         4.83          0.1600            0.0000           8.1333       PFind                   None            0.00    0.00    None            
