
Filename:
	H:\1_2_AUG_FILTER.pk

File Created:
	April 16, 2019 - 04:32 PM

Specimen Id:
	1.2   AUG FILTER

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 2 deg.
Stop Angle: 65 deg.
Num Points: 3151
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  3.7400        23.6052           0.0000          0.0000            38.33         2.05          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  3.8000        23.2326           0.0000          0.0000            44.17         2.37          0.1600            0.0000           1.7667       PFind                   None            0.00    0.00    None            
  4.0400        21.8530           0.0000          0.0000            35.00         1.87          0.1200            0.0000           4.2000       PFind                   None            0.00    0.00    None            
  4.2000        21.0208           0.0000          0.0000            38.33         2.05          0.1200            0.0000           2.3000       PFind                   None            0.00    0.00    None            
  4.3200        20.4372           0.0000          0.0000            39.17         2.10          0.1200            0.0000           2.3500       PFind                   None            0.00    0.00    None            
  4.4600        19.7960           0.0000          0.0000            35.00         1.87          0.1400            0.0000           0.7000       PFind                   None            0.00    0.00    None            
  5.1800        17.0459           0.0000          0.0000            39.17         2.10          0.1400            0.0000           0.7833       PFind                   None            0.00    0.00    None            
  6.3600        13.8857           0.0000          0.0000            80.00         4.28          0.1400            0.0000          11.2000       PFind                   None            0.00    0.00    None            
  8.9800         9.8394           0.0000          0.0000           192.50        10.31          0.0600            0.0000          23.1000       PFind                   None            0.00    0.00    None            
  9.3400         9.4610           0.0000          0.0000            68.33         3.66          0.1400            0.0000           4.1000       PFind                   None            0.00    0.00    None            
 10.6800         8.2767           0.0000          0.0000           114.17         6.11          0.1600            0.0000          13.7000       PFind                   None            0.00    0.00    None            
 12.3400         7.1668           0.0000          0.0000           180.00         9.64          0.1200            0.0000          21.6000       PFind                   None            0.00    0.00    None            
 12.6400         6.9974           0.0000          0.0000           245.83        13.16          0.0600            0.0000          24.5833       PFind                   None            0.00    0.00    None            
 15.1600         5.8394           0.0000          0.0000            35.00         1.87          0.1000            0.0000           1.4000       PFind                   None            0.00    0.00    None            
 18.0000         4.9240           0.0000          0.0000           100.83         5.40          0.0200            0.0000          14.1167       PFind                   None            0.00    0.00    None            
 18.6000         4.7665           0.0000          0.0000            51.67         2.77          0.1400            0.0000           4.1333       PFind                   None            0.00    0.00    None            
