
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\1_2_SEPT_FT.pk

File Created:
	April 15, 2019 - 02:55 PM

Specimen Id:
	1.2 SEPT FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.6400        33.4377           0.0000          0.0000            80.00         5.30          0.1400            0.0000           3.2000       PFind                   None            0.00    0.00    None            
  2.7800        31.7541           0.0000          0.0000            66.67         4.42          0.1000            0.0000           5.3333       PFind                   None            0.00    0.00    None            
  2.9800        29.6234           0.0000          0.0000            77.50         5.14          0.1200            0.0000           4.6500       PFind                   None            0.00    0.00    None            
  3.0800        28.6618           0.0000          0.0000            59.17         3.92          0.0800            0.0000           1.1833       PFind                   None            0.00    0.00    None            
  3.2000        27.5872           0.0000          0.0000            50.83         3.37          0.1600            0.0000           3.0500       PFind                   None            0.00    0.00    None            
  3.4000        25.9649           0.0000          0.0000            49.17         3.26          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  3.4600        25.5148           0.0000          0.0000            42.50         2.82          0.1400            0.0000           3.4000       PFind                   None            0.00    0.00    None            
  3.6600        24.1210           0.0000          0.0000            42.50         2.82          0.0600            0.0000           6.8000       PFind                   None            0.00    0.00    None            
  4.0800        21.6388           0.0000          0.0000            43.33         2.87          0.0600            0.0000           3.4667       PFind                   None            0.00    0.00    None            
  4.2800        20.6281           0.0000          0.0000            51.67         3.43          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.4200        19.9750           0.0000          0.0000            37.50         2.49          0.0600            0.0000           0.7500       PFind                   None            0.00    0.00    None            
  4.7200        18.7061           0.0000          0.0000            45.00         2.98          0.0600            0.0000           1.8000       PFind                   None            0.00    0.00    None            
  6.2800        14.0624           0.0000          0.0000           163.33        10.83          0.1000            0.0000          22.8667       PFind                   None            0.00    0.00    None            
  6.5600        13.4628           0.0000          0.0000            59.17         3.92          0.1200            0.0000           8.2833       PFind                   None            0.00    0.00    None            
  6.7400        13.1037           0.0000          0.0000            66.67         4.42          0.0800            0.0000           8.0000       PFind                   None            0.00    0.00    None            
  7.1000        12.4400           0.0000          0.0000            46.67         3.09          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  8.3200        10.6184           0.0000          0.0000            60.00         3.98          0.0400            0.0000           1.2000       PFind                   None            0.00    0.00    None            
  8.9200         9.9055           0.0000          0.0000           874.17        57.96          0.0200            0.0000         122.3833       PFind                   None            0.00    0.00    None            
  9.2200         9.5838           0.0000          0.0000            71.67         4.75          0.1200            0.0000          10.0333       PFind                   None            0.00    0.00    None            
  9.4800         9.3216           0.0000          0.0000            60.00         3.98          0.0800            0.0000           8.4000       PFind                   None            0.00    0.00    None            
 10.5600         8.3705           0.0000          0.0000           120.83         8.01          0.1200            0.0000          12.0833       PFind                   None            0.00    0.00    None            
 12.2200         7.2369           0.0000          0.0000           576.67        38.23          0.0000            0.0000          92.2667       PFind                   None            0.00    0.00    None            
 12.5400         7.0530           0.0000          0.0000           619.17        41.05          0.0600            0.0000          74.3000       PFind                   None            0.00    0.00    None            
 13.8800         6.3749           0.0000          0.0000            69.17         4.59          0.0200            0.0000           6.9167       PFind                   None            0.00    0.00    None            
 15.0200         5.8935           0.0000          0.0000            37.50         2.49          0.0600            0.0000           3.7500       PFind                   None            0.00    0.00    None            
 17.8600         4.9623           0.0000          0.0000           460.00        30.50          0.0800            0.0000          55.2000       PFind                   None            0.00    0.00    None            
 18.6000         4.7665           0.0000          0.0000            94.17         6.24          0.1000            0.0000          15.0667       PFind                   None            0.00    0.00    None            
 18.8600         4.7014           0.0000          0.0000           225.00        14.92          0.1400            0.0000          22.5000       PFind                   None            0.00    0.00    None            
 19.9200         4.4535           0.0000          0.0000            36.67         2.43          0.0600            0.0000           5.8667       PFind                   None            0.00    0.00    None            
 20.9000         4.2468           0.0000          0.0000           456.67        30.28          0.0000            0.0000          36.5333       PFind                   None            0.00    0.00    None            
 22.0600         4.0261           0.0000          0.0000           240.00        15.91          0.0000            0.0000          19.2000       PFind                   None            0.00    0.00    None            
 22.9600         3.8703           0.0000          0.0000            40.00         2.65          0.1000            0.0000           4.0000       PFind                   None            0.00    0.00    None            
 23.0400         3.8570           0.0000          0.0000            56.67         3.76          0.1400            0.0000           5.6667       PFind                   None            0.00    0.00    None            
 23.5800         3.7699           0.0000          0.0000           169.17        11.22          0.1400            0.0000          20.3000       PFind                   None            0.00    0.00    None            
 23.9000         3.7201           0.0000          0.0000            93.33         6.19          0.1200            0.0000           3.7333       PFind                   None            0.00    0.00    None            
 24.2800         3.6628           0.0000          0.0000            84.17         5.58          0.1600            0.0000          13.4667       PFind                   None            0.00    0.00    None            
 24.6400         3.6100           0.0000          0.0000           328.33        21.77          0.1200            0.0000          52.5333       PFind                   None            0.00    0.00    None            
 25.1800         3.5338           0.0000          0.0000           365.83        24.25          0.1400            0.0000          51.2167       PFind                   None            0.00    0.00    None            
 25.5000         3.4902           0.0000          0.0000            95.83         6.35          0.1000            0.0000          15.3333       PFind                   None            0.00    0.00    None            
