Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]
2.7400	32.2176	0.0000	0.0000	47.50	2.71	0.1200	0.0000	5.7000
2.8600	30.8660	0.0000	0.0000	40.00	2.28	0.0400	0.0000	4.0000
3.0800	28.6618	0.0000	0.0000	60.00	3.42	0.1400	0.0000	2.4000
3.2000	27.5872	0.0000	0.0000	62.50	3.57	0.1600	0.0000	5.0000
3.5800	24.6598	0.0000	0.0000	44.17	2.52	0.0200	0.0000	1.7667
3.8200	23.1110	0.0000	0.0000	45.00	2.57	0.0800	0.0000	0.9000
4.0200	21.9616	0.0000	0.0000	45.00	2.57	0.1400	0.0000	0.0000
9.1600	9.6465	0.0000	0.0000	95.83	5.47	0.1400	0.0000	9.5833
12.4800	7.0867	0.0000	0.0000	89.17	5.09	0.1600	0.0000	12.4833
12.7600	6.9318	0.0000	0.0000	64.17	3.66	0.1600	0.0000	6.4167
18.1200	4.8916	0.0000	0.0000	61.67	3.52	0.1000	0.0000	8.6333
20.1400	4.4054	0.0000	0.0000	55.83	3.19	0.1400	0.0000	8.9333
21.1800	4.1913	0.0000	0.0000	229.17	13.08	0.0200	0.0000	27.5000
22.3600	3.9727	0.0000	0.0000	481.67	27.48	0.0400	0.0000	38.5333
23.2400	3.8243	0.0000	0.0000	61.67	3.52	0.1200	0.0000	6.1667
23.9200	3.7171	0.0000	0.0000	333.33	19.02	0.0800	0.0000	33.3333
24.6200	3.6129	0.0000	0.0000	91.67	5.23	0.1200	0.0000	12.8333
24.9000	3.5729	0.0000	0.0000	76.67	4.37	0.1600	0.0000	10.7333
25.4400	3.4983	0.0000	0.0000	75.00	4.28	0.1200	0.0000	9.0000
25.7800	3.4529	0.0000	0.0000	100.00	5.71	0.1000	0.0000	16.0000
26.9600	3.3044	0.0000	0.0000	1752.50	100.00	0.1200	0.0000	210.3000
27.7800	3.2087	0.0000	0.0000	70.00	3.99	0.1000	0.0000	11.2000
28.1800	3.1641	0.0000	0.0000	611.67	34.90	0.1000	0.0000	61.1667
28.9800	3.0785	0.0000	0.0000	73.33	4.18	0.1400	0.0000	8.8000
30.1800	2.9588	0.0000	0.0000	106.67	6.09	0.1600	0.0000	17.0667
30.5600	2.9229	0.0000	0.0000	48.33	2.76	0.0000	0.0000	5.8000
30.7200	2.9080	0.0000	0.0000	74.17	4.23	0.1400	0.0000	10.3833
31.5800	2.8307	0.0000	0.0000	71.67	4.09	0.0200	0.0000	10.0333
32.2800	2.7709	0.0000	0.0000	94.17	5.37	0.1600	0.0000	1.8833
32.3400	2.7659	0.0000	0.0000	83.33	4.76	0.1200	0.0000	8.3333
34.2000	2.6196	0.0000	0.0000	40.00	2.28	0.1600	0.0000	2.4000
34.8400	2.5730	0.0000	0.0000	141.67	8.08	0.1000	0.0000	19.8333
35.2600	2.5433	0.0000	0.0000	100.83	5.75	0.0800	0.0000	16.1333
35.5400	2.5239	0.0000	0.0000	105.83	6.04	0.1200	0.0000	12.7000
35.8800	2.5007	0.0000	0.0000	69.17	3.95	0.0600	0.0000	11.0667
36.8000	2.4403	0.0000	0.0000	181.67	10.37	0.1000	0.0000	14.5333
37.7400	2.3817	0.0000	0.0000	61.67	3.52	0.1600	0.0000	9.8667
37.9800	2.3672	0.0000	0.0000	66.67	3.80	0.1400	0.0000	10.6667
39.7200	2.2674	0.0000	0.0000	85.00	4.85	0.1000	0.0000	10.2000
40.5200	2.2244	0.0000	0.0000	55.00	3.14	0.1600	0.0000	5.5000
41.5400	2.1721	0.0000	0.0000	55.83	3.19	0.1400	0.0000	7.8167
42.2600	2.1368	0.0000	0.0000	60.00	3.42	0.1400	0.0000	8.4000
42.6800	2.1167	0.0000	0.0000	114.17	6.51	0.1400	0.0000	15.9833
45.4200	1.9952	0.0000	0.0000	43.33	2.47	0.1000	0.0000	6.0667
45.7800	1.9803	0.0000	0.0000	97.50	5.56	0.1400	0.0000	15.6000
46.0600	1.9690	0.0000	0.0000	99.17	5.66	0.1000	0.0000	9.9167
48.3800	1.8798	0.0000	0.0000	45.83	2.62	0.0800	0.0000	0.0000
50.0200	1.8220	0.0000	0.0000	65.00	3.71	0.1600	0.0000	2.6000
50.1800	1.8165	0.0000	0.0000	47.50	2.71	0.1600	0.0000	7.6000
50.4000	1.8091	0.0000	0.0000	222.50	12.70	0.0000	0.0000	26.7000
50.8400	1.7945	0.0000	0.0000	174.17	9.94	0.1400	0.0000	20.9000
55.1000	1.6654	0.0000	0.0000	94.17	5.37	0.1200	0.0000	7.5333
55.2200	1.6621	0.0000	0.0000	62.50	3.57	0.0800	0.0000	10.0000
55.5800	1.6521	0.0000	0.0000	45.00	2.57	0.1600	0.0000	6.3000
56.1000	1.6381	0.0000	0.0000	50.83	2.90	0.1000	0.0000	4.0667
59.4200	1.5542	0.0000	0.0000	41.67	2.38	0.0600	0.0000	0.8333
60.2000	1.5359	0.0000	0.0000	243.33	13.88	0.0400	0.0000	24.3333
61.0600	1.5163	0.0000	0.0000	47.50	2.71	0.0400	0.0000	2.8500
61.7400	1.5013	0.0000	0.0000	64.17	3.66	0.1200	0.0000	10.2667
64.3000	1.4475	0.0000	0.0000	46.67	2.66	0.1200	0.0000	1.8667
