
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\21_2_AUG_FILTER.pk

File Created:
	April 15, 2019 - 03:27 PM

Specimen Id:
	21.1 AUG FILTER

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  4.4200        19.9750           0.0000          0.0000            35.00         0.73          0.0600            0.0000           2.8000       PFind                   None            0.00    0.00    None            
  7.3400        12.0338           0.0000          0.0000            35.00         0.73          0.0400            0.0000           0.7000       PFind                   None            0.00    0.00    None            
  3.7600        23.4797           0.0000          0.0000            35.00         0.73          0.0400            0.0000           2.1000       PFind                   None            0.00    0.00    None            
 41.1600         2.1913           0.0000          0.0000            35.83         0.74          0.1000            0.0000           1.4333       PFind                   None            0.00    0.00    None            
  2.9400        30.0263           0.0000          0.0000            35.83         0.74          0.0800            0.0000           2.8667       PFind                   None            0.00    0.00    None            
 61.6600         1.5030           0.0000          0.0000            35.83         0.74          0.0800            0.0000           2.8667       PFind                   None            0.00    0.00    None            
 32.5000         2.7527           0.0000          0.0000            36.67         0.76          0.0000            0.0000           0.7333       PFind                   None            0.00    0.00    None            
 33.5200         2.6712           0.0000          0.0000            36.67         0.76          0.1200            0.0000           1.4667       PFind                   None            0.00    0.00    None            
 34.7000         2.5830           0.0000          0.0000            37.50         0.78          0.1000            0.0000           4.5000       PFind                   None            0.00    0.00    None            
  2.8400        31.0834           0.0000          0.0000            37.50         0.78          0.1200            0.0000           1.5000       PFind                   None            0.00    0.00    None            
  5.4800        16.1134           0.0000          0.0000            38.33         0.79          0.0800            0.0000           0.7667       PFind                   None            0.00    0.00    None            
  4.5400        19.4473           0.0000          0.0000            38.33         0.79          0.1200            0.0000           2.3000       PFind                   None            0.00    0.00    None            
  5.9400        14.8665           0.0000          0.0000            38.33         0.79          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 53.9600         1.6979           0.0000          0.0000            38.33         0.79          0.0400            0.0000           3.0667       PFind                   None            0.00    0.00    None            
 32.2200         2.7760           0.0000          0.0000            39.17         0.81          0.1400            0.0000           5.4833       PFind                   None            0.00    0.00    None            
 56.9000         1.6169           0.0000          0.0000            39.17         0.81          0.1400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 37.5600         2.3927           0.0000          0.0000            40.00         0.83          0.1000            0.0000           3.2000       PFind                   None            0.00    0.00    None            
 37.9000         2.3720           0.0000          0.0000            40.00         0.83          0.0800            0.0000           4.8000       PFind                   None            0.00    0.00    None            
 20.0600         4.4227           0.0000          0.0000            42.50         0.88          0.0400            0.0000           6.8000       PFind                   None            0.00    0.00    None            
  4.7200        18.7061           0.0000          0.0000            43.33         0.90          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  3.4200        25.8131           0.0000          0.0000            43.33         0.90          0.0800            0.0000           3.4667       PFind                   None            0.00    0.00    None            
  3.5600        24.7983           0.0000          0.0000            43.33         0.90          0.1200            0.0000           0.8667       PFind                   None            0.00    0.00    None            
  3.2400        27.2467           0.0000          0.0000            44.17         0.91          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 38.9800         2.3087           0.0000          0.0000            44.17         0.91          0.1200            0.0000           1.7667       PFind                   None            0.00    0.00    None            
  9.6400         9.1672           0.0000          0.0000            45.00         0.93          0.1200            0.0000           5.4000       PFind                   None            0.00    0.00    None            
 23.0400         3.8570           0.0000          0.0000            45.00         0.93          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 10.7400         8.2306           0.0000          0.0000            45.83         0.95          0.0600            0.0000           2.7500       PFind                   None            0.00    0.00    None            
 31.7400         2.8168           0.0000          0.0000            45.83         0.95          0.0200            0.0000           6.4167       PFind                   None            0.00    0.00    None            
 36.3000         2.4728           0.0000          0.0000            45.83         0.95          0.1600            0.0000           0.9167       PFind                   None            0.00    0.00    None            
  4.1200        21.4288           0.0000          0.0000            46.67         0.97          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 23.2200         3.8275           0.0000          0.0000            46.67         0.97          0.1400            0.0000           2.8000       PFind                   None            0.00    0.00    None            
  3.1000        28.4769           0.0000          0.0000            48.33         1.00          0.1200            0.0000           1.9333       PFind                   None            0.00    0.00    None            
 15.2000         5.8241           0.0000          0.0000            48.33         1.00          0.0400            0.0000           3.8667       PFind                   None            0.00    0.00    None            
 55.5000         1.6543           0.0000          0.0000            48.33         1.00          0.0200            0.0000           5.8000       PFind                   None            0.00    0.00    None            
 64.2000         1.4495           0.0000          0.0000            48.33         1.00          0.1400            0.0000           1.9333       PFind                   None            0.00    0.00    None            
  3.9400        22.4074           0.0000          0.0000            52.50         1.09          0.1400            0.0000           3.1500       PFind                   None            0.00    0.00    None            
  9.3800         9.4207           0.0000          0.0000            52.50         1.09          0.1400            0.0000           3.1500       PFind                   None            0.00    0.00    None            
  3.2000        27.5872           0.0000          0.0000            53.33         1.10          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 56.0400         1.6397           0.0000          0.0000            53.33         1.10          0.1000            0.0000           6.4000       PFind                   None            0.00    0.00    None            
 64.7400         1.4387           0.0000          0.0000            54.17         1.12          0.1600            0.0000           2.1667       PFind                   None            0.00    0.00    None            
 22.7600         3.9038           0.0000          0.0000            55.00         1.14          0.1200            0.0000           3.3000       PFind                   None            0.00    0.00    None            
  2.6800        32.9387           0.0000          0.0000            55.83         1.16          0.1000            0.0000           6.7000       PFind                   None            0.00    0.00    None            
 18.7400         4.7312           0.0000          0.0000            56.67         1.17          0.1200            0.0000           6.8000       PFind                   None            0.00    0.00    None            
 24.4600         3.6362           0.0000          0.0000            62.50         1.29          0.1200            0.0000           5.0000       PFind                   None            0.00    0.00    None            
 44.4400         2.0369           0.0000          0.0000            64.17         1.33          0.1400            0.0000           6.4167       PFind                   None            0.00    0.00    None            
 55.2200         1.6621           0.0000          0.0000            65.00         1.35          0.1000            0.0000           6.5000       PFind                   None            0.00    0.00    None            
 35.1600         2.5503           0.0000          0.0000            71.67         1.48          0.0800            0.0000          10.0333       PFind                   None            0.00    0.00    None            
 40.4800         2.2265           0.0000          0.0000            71.67         1.48          0.1400            0.0000           5.7333       PFind                   None            0.00    0.00    None            
 30.4000         2.9379           0.0000          0.0000            73.33         1.52          0.1600            0.0000           7.3333       PFind                   None            0.00    0.00    None            
 30.0600         2.9703           0.0000          0.0000            75.00         1.55          0.1400            0.0000          12.0000       PFind                   None            0.00    0.00    None            
 21.4600         4.1373           0.0000          0.0000            81.67         1.69          0.0800            0.0000           3.2667       PFind                   None            0.00    0.00    None            
 64.5400         1.4427           0.0000          0.0000            93.33         1.93          0.0400            0.0000           5.6000       PFind                   None            0.00    0.00    None            
 55.0400         1.6671           0.0000          0.0000            95.83         1.99          0.0000            0.0000          11.5000       PFind                   None            0.00    0.00    None            
 35.6200         2.5184           0.0000          0.0000            95.83         1.99          0.0600            0.0000          15.3333       PFind                   None            0.00    0.00    None            
 39.2200         2.2951           0.0000          0.0000           100.83         2.09          0.0600            0.0000           4.0333       PFind                   None            0.00    0.00    None            
 38.2600         2.3505           0.0000          0.0000           101.67         2.11          0.0600            0.0000          12.2000       PFind                   None            0.00    0.00    None            
 25.7000         3.4635           0.0000          0.0000           102.50         2.12          0.0400            0.0000          14.3500       PFind                   None            0.00    0.00    None            
 28.9600         3.0806           0.0000          0.0000           105.00         2.18          0.0800            0.0000          12.6000       PFind                   None            0.00    0.00    None            
 27.6600         3.2224           0.0000          0.0000           109.17         2.26          0.1600            0.0000          13.1000       PFind                   None            0.00    0.00    None            
 18.9800         4.6719           0.0000          0.0000           115.83         2.40          0.1000            0.0000          11.5833       PFind                   None            0.00    0.00    None            
 31.4200         2.8448           0.0000          0.0000           117.50         2.43          0.1200            0.0000          16.4500       PFind                   None            0.00    0.00    None            
 14.0600         6.2937           0.0000          0.0000           119.17         2.47          0.1000            0.0000          11.9167       PFind                   None            0.00    0.00    None            
  6.4000        13.7990           0.0000          0.0000           130.83         2.71          0.0800            0.0000          18.3167       PFind                   None            0.00    0.00    None            
 39.6600         2.2707           0.0000          0.0000           130.83         2.71          0.1000            0.0000          15.7000       PFind                   None            0.00    0.00    None            
 30.6400         2.9154           0.0000          0.0000           131.67         2.73          0.0800            0.0000          13.1667       PFind                   None            0.00    0.00    None            
 60.2800         1.5341           0.0000          0.0000           136.67         2.83          0.0600            0.0000          13.6667       PFind                   None            0.00    0.00    None            
 28.7400         3.1037           0.0000          0.0000           140.00         2.90          0.0600            0.0000          14.0000       PFind                   None            0.00    0.00    None            
 45.9400         1.9738           0.0000          0.0000           142.50         2.95          0.1200            0.0000          19.9500       PFind                   None            0.00    0.00    None            
 35.5400         2.5239           0.0000          0.0000           148.33         3.07          0.0600            0.0000           5.9333       PFind                   None            0.00    0.00    None            
 42.6200         2.1196           0.0000          0.0000           148.33         3.07          0.0600            0.0000          11.8667       PFind                   None            0.00    0.00    None            
 24.8200         3.5843           0.0000          0.0000           172.50         3.57          0.0200            0.0000          24.1500       PFind                   None            0.00    0.00    None            
 50.3000         1.8125           0.0000          0.0000           187.50         3.88          0.1400            0.0000          15.0000       PFind                   None            0.00    0.00    None            
 25.8200         3.4477           0.0000          0.0000           196.67         4.07          0.0000            0.0000          15.7333       PFind                   None            0.00    0.00    None            
 45.7800         1.9803           0.0000          0.0000           204.17         4.23          0.0200            0.0000          28.5833       PFind                   None            0.00    0.00    None            
 25.3400         3.5119           0.0000          0.0000           205.83         4.26          0.0000            0.0000          32.9333       PFind                   None            0.00    0.00    None            
 18.0200         4.9186           0.0000          0.0000           230.83         4.78          0.0600            0.0000          23.0833       PFind                   None            0.00    0.00    None            
 60.1200         1.5378           0.0000          0.0000           241.67         5.01          0.0800            0.0000          19.3333       PFind                   None            0.00    0.00    None            
 12.6800         6.9754           0.0000          0.0000           298.33         6.18          0.0000            0.0000          23.8667       PFind                   None            0.00    0.00    None            
 12.3800         7.1438           0.0000          0.0000           398.33         8.25          0.0600            0.0000          23.9000       PFind                   None            0.00    0.00    None            
 28.1000         3.1729           0.0000          0.0000           459.17         9.51          0.0600            0.0000          55.1000       PFind                   None            0.00    0.00    None            
