
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\21_2_AUG_FT.pk

File Created:
	April 15, 2019 - 03:31 PM

Specimen Id:
	21.2 AUG FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.8400        31.0834           0.0000          0.0000            57.50         1.20          0.0200            0.0000           1.1500       PFind                   None            0.00    0.00    None            
  3.1000        28.4769           0.0000          0.0000            44.17         0.92          0.1000            0.0000           7.0667       PFind                   None            0.00    0.00    None            
  3.2200        27.4159           0.0000          0.0000            68.33         1.43          0.0000            0.0000           5.4667       PFind                   None            0.00    0.00    None            
  3.4200        25.8131           0.0000          0.0000            53.33         1.12          0.0200            0.0000           5.3333       PFind                   None            0.00    0.00    None            
  3.5800        24.6598           0.0000          0.0000            58.33         1.22          0.0200            0.0000           5.8333       PFind                   None            0.00    0.00    None            
  3.9800        22.1823           0.0000          0.0000            42.50         0.89          0.0600            0.0000           2.5500       PFind                   None            0.00    0.00    None            
  4.1600        21.2229           0.0000          0.0000            51.67         1.08          0.0800            0.0000           4.1333       PFind                   None            0.00    0.00    None            
  4.3600        20.2498           0.0000          0.0000            48.33         1.01          0.0400            0.0000           3.8667       PFind                   None            0.00    0.00    None            
  4.6600        18.9468           0.0000          0.0000            48.33         1.01          0.1400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.8400        18.2426           0.0000          0.0000            40.83         0.85          0.1000            0.0000           3.2667       PFind                   None            0.00    0.00    None            
  4.9800        17.7300           0.0000          0.0000            37.50         0.78          0.1600            0.0000           1.5000       PFind                   None            0.00    0.00    None            
  5.0600        17.4499           0.0000          0.0000            33.33         0.70          0.1400            0.0000           4.0000       PFind                   None            0.00    0.00    None            
  5.1800        17.0459           0.0000          0.0000            35.00         0.73          0.1200            0.0000           4.9000       PFind                   None            0.00    0.00    None            
  5.4800        16.1134           0.0000          0.0000            36.67         0.77          0.0000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.8200        15.1728           0.0000          0.0000            28.33         0.59          0.0600            0.0000           2.2667       PFind                   None            0.00    0.00    None            
  6.1600        14.3361           0.0000          0.0000           114.17         2.39          0.0400            0.0000          18.2667       PFind                   None            0.00    0.00    None            
  6.4400        13.7134           0.0000          0.0000            30.00         0.63          0.1400            0.0000           2.4000       PFind                   None            0.00    0.00    None            
  6.6200        13.3409           0.0000          0.0000            42.50         0.89          0.0400            0.0000           0.8500       PFind                   None            0.00    0.00    None            
  6.8400        12.9123           0.0000          0.0000            38.33         0.80          0.1400            0.0000           0.7667       PFind                   None            0.00    0.00    None            
  7.1000        12.4400           0.0000          0.0000            23.33         0.49          0.1200            0.0000           0.9333       PFind                   None            0.00    0.00    None            
  7.1600        12.3359           0.0000          0.0000            26.67         0.56          0.0800            0.0000           0.5333       PFind                   None            0.00    0.00    None            
  7.2200        12.2335           0.0000          0.0000            30.00         0.63          0.0400            0.0000           0.6000       PFind                   None            0.00    0.00    None            
  7.5200        11.7462           0.0000          0.0000            39.17         0.82          0.0000            0.0000           3.1333       PFind                   None            0.00    0.00    None            
  7.6000        11.6227           0.0000          0.0000            31.67         0.66          0.1400            0.0000           1.2667       PFind                   None            0.00    0.00    None            
  7.7800        11.3542           0.0000          0.0000            31.67         0.66          0.1200            0.0000           2.5333       PFind                   None            0.00    0.00    None            
  8.0200        11.0149           0.0000          0.0000            40.83         0.85          0.0600            0.0000           4.9000       PFind                   None            0.00    0.00    None            
  8.1400        10.8528           0.0000          0.0000            35.83         0.75          0.0800            0.0000           5.0167       PFind                   None            0.00    0.00    None            
  8.2800        10.6696           0.0000          0.0000            54.17         1.13          0.0200            0.0000           2.1667       PFind                   None            0.00    0.00    None            
  8.8000        10.0403           0.0000          0.0000           500.00        10.46          0.1000            0.0000          60.0000       PFind                   None            0.00    0.00    None            
  9.4200         9.3808           0.0000          0.0000            50.83         1.06          0.0800            0.0000           5.0833       PFind                   None            0.00    0.00    None            
  9.6400         9.1672           0.0000          0.0000            26.67         0.56          0.0600            0.0000           1.0667       PFind                   None            0.00    0.00    None            
  9.8000         9.0179           0.0000          0.0000            24.17         0.51          0.0800            0.0000           1.4500       PFind                   None            0.00    0.00    None            
  9.9600         8.8734           0.0000          0.0000            30.83         0.64          0.0400            0.0000           1.8500       PFind                   None            0.00    0.00    None            
 10.4400         8.4665           0.0000          0.0000            39.17         0.82          0.0200            0.0000           3.9167       PFind                   None            0.00    0.00    None            
 10.9400         8.0806           0.0000          0.0000            30.83         0.64          0.1400            0.0000           0.6167       PFind                   None            0.00    0.00    None            
 11.5200         7.6750           0.0000          0.0000            22.50         0.47          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 12.1600         7.2725           0.0000          0.0000           443.33         9.27          0.0600            0.0000          62.0667       PFind                   None            0.00    0.00    None            
 12.4200         7.1208           0.0000          0.0000           175.00         3.66          0.0800            0.0000          28.0000       PFind                   None            0.00    0.00    None            
 12.9400         6.8358           0.0000          0.0000            34.17         0.71          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 13.1000         6.7527           0.0000          0.0000            23.33         0.49          0.1400            0.0000           1.8667       PFind                   None            0.00    0.00    None            
 13.2400         6.6816           0.0000          0.0000            25.00         0.52          0.1000            0.0000           3.0000       PFind                   None            0.00    0.00    None            
 13.6000         6.5055           0.0000          0.0000            30.83         0.64          0.1600            0.0000           0.6167       PFind                   None            0.00    0.00    None            
 13.7800         6.4210           0.0000          0.0000            34.17         0.71          0.0000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 14.9800         5.9092           0.0000          0.0000            21.67         0.45          0.0800            0.0000           1.7333       PFind                   None            0.00    0.00    None            
 17.7800         4.9844           0.0000          0.0000           134.17         2.81          0.0800            0.0000          18.7833       PFind                   None            0.00    0.00    None            
 18.3000         4.8439           0.0000          0.0000            23.33         0.49          0.0200            0.0000           0.4667       PFind                   None            0.00    0.00    None            
 18.7600         4.7262           0.0000          0.0000            67.50         1.41          0.0800            0.0000           8.1000       PFind                   None            0.00    0.00    None            
 20.8400         4.2589           0.0000          0.0000            23.33         0.49          0.0400            0.0000           3.2667       PFind                   None            0.00    0.00    None            
 24.5800         3.6187           0.0000          0.0000           151.67         3.17          0.0000            0.0000          24.2667       PFind                   None            0.00    0.00    None            
 24.8600         3.5786           0.0000          0.0000            45.00         0.94          0.1200            0.0000           7.2000       PFind                   None            0.00    0.00    None            
 25.1200         3.5421           0.0000          0.0000            83.33         1.74          0.1200            0.0000          11.6667       PFind                   None            0.00    0.00    None            
 25.6000         3.4768           0.0000          0.0000            23.33         0.49          0.0400            0.0000           0.9333       PFind                   None            0.00    0.00    None            
 25.9800         3.4268           0.0000          0.0000            20.83         0.44          0.1200            0.0000           0.8333       PFind                   None            0.00    0.00    None            
 26.8400         3.3189           0.0000          0.0000           312.50         6.54          0.0800            0.0000          43.7500       PFind                   None            0.00    0.00    None            
 27.7200         3.2155           0.0000          0.0000            50.83         1.06          0.0400            0.0000           5.0833       PFind                   None            0.00    0.00    None            
 27.9000         3.1952           0.0000          0.0000            55.00         1.15          0.0400            0.0000           6.6000       PFind                   None            0.00    0.00    None            
 28.6200         3.1164           0.0000          0.0000            30.83         0.64          0.1600            0.0000           1.8500       PFind                   None            0.00    0.00    None            
 32.2000         2.7776           0.0000          0.0000            49.17         1.03          0.1200            0.0000           2.9500       PFind                   None            0.00    0.00    None            
 34.2800         2.6137           0.0000          0.0000            73.33         1.53          0.1400            0.0000           5.8667       PFind                   None            0.00    0.00    None            
 36.0800         2.4873           0.0000          0.0000            22.50         0.47          0.1600            0.0000           1.3500       PFind                   None            0.00    0.00    None            
 36.4800         2.4610           0.0000          0.0000            63.33         1.32          0.1600            0.0000           6.3333       PFind                   None            0.00    0.00    None            
 38.1000         2.3600           0.0000          0.0000          4780.83       100.00          0.0200            0.0000         669.3167       PFind                   None            0.00    0.00    None            
 38.6600         2.3271           0.0000          0.0000            29.17         0.61          0.1200            0.0000           2.3333       PFind                   None            0.00    0.00    None            
 38.7200         2.3236           0.0000          0.0000            32.50         0.68          0.0200            0.0000           1.3000       PFind                   None            0.00    0.00    None            
 39.8000         2.2630           0.0000          0.0000            29.17         0.61          0.1000            0.0000           1.1667       PFind                   None            0.00    0.00    None            
 40.1000         2.2468           0.0000          0.0000            21.67         0.45          0.1000            0.0000           0.4333       PFind                   None            0.00    0.00    None            
 42.3400         2.1329           0.0000          0.0000            34.17         0.71          0.0200            0.0000           4.7833       PFind                   None            0.00    0.00    None            
 44.2800         2.0439           0.0000          0.0000          2230.83        46.66          0.1600            0.0000         267.7000       PFind                   None            0.00    0.00    None            
 45.5400         1.9902           0.0000          0.0000            60.83         1.27          0.0800            0.0000           9.7333       PFind                   None            0.00    0.00    None            
 57.5600         1.5999           0.0000          0.0000            24.17         0.51          0.1400            0.0000           0.4833       PFind                   None            0.00    0.00    None            
 61.4400         1.5079           0.0000          0.0000            25.83         0.54          0.0600            0.0000           2.5833       PFind                   None            0.00    0.00    None            
 64.4000         1.4455           0.0000          0.0000          1349.17        28.22          0.0800            0.0000         107.9333       PFind                   None            0.00    0.00    None            
 64.5800         1.4419           0.0000          0.0000           736.67        15.41          0.1000            0.0000          88.4000       PFind                   None            0.00    0.00    None            
