
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\22_1_SEPT_FILTER.pk

File Created:
	April 15, 2019 - 03:32 PM

Specimen Id:
	22.1 SEPT FILTRE

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.7400        32.2176           0.0000          0.0000            75.83         3.06          0.1600            0.0000           4.5500       PFind                   None            0.00    0.00    None            
  2.9200        30.2319           0.0000          0.0000            59.17         2.38          0.1600            0.0000           5.9167       PFind                   None            0.00    0.00    None            
  3.1400        28.1142           0.0000          0.0000            69.17         2.79          0.1600            0.0000           1.3833       PFind                   None            0.00    0.00    None            
  3.2600        27.0796           0.0000          0.0000            49.17         1.98          0.1600            0.0000           5.9000       PFind                   None            0.00    0.00    None            
  3.4000        25.9649           0.0000          0.0000            50.00         2.02          0.1000            0.0000           4.0000       PFind                   None            0.00    0.00    None            
  3.5600        24.7983           0.0000          0.0000            45.83         1.85          0.1200            0.0000           3.6667       PFind                   None            0.00    0.00    None            
  3.7600        23.4797           0.0000          0.0000            55.00         2.22          0.1400            0.0000           5.5000       PFind                   None            0.00    0.00    None            
  3.9400        22.4074           0.0000          0.0000            38.33         1.55          0.0800            0.0000           0.7667       PFind                   None            0.00    0.00    None            
  4.1800        21.1214           0.0000          0.0000            38.33         1.55          0.0600            0.0000           4.6000       PFind                   None            0.00    0.00    None            
  4.5400        19.4473           0.0000          0.0000            39.17         1.58          0.0600            0.0000           0.7833       PFind                   None            0.00    0.00    None            
  4.7000        18.7856           0.0000          0.0000            35.00         1.41          0.0400            0.0000           2.1000       PFind                   None            0.00    0.00    None            
  4.8200        18.3182           0.0000          0.0000            36.67         1.48          0.0600            0.0000           0.7333       PFind                   None            0.00    0.00    None            
  5.0200        17.5888           0.0000          0.0000            36.67         1.48          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.7400        15.3841           0.0000          0.0000            35.83         1.44          0.1200            0.0000           2.8667       PFind                   None            0.00    0.00    None            
  6.2200        14.1979           0.0000          0.0000            99.17         4.00          0.1000            0.0000          15.8667       PFind                   None            0.00    0.00    None            
  6.5600        13.4628           0.0000          0.0000            45.83         1.85          0.1200            0.0000           2.7500       PFind                   None            0.00    0.00    None            
  6.6800        13.2212           0.0000          0.0000            35.00         1.41          0.0400            0.0000           2.8000       PFind                   None            0.00    0.00    None            
  8.9000         9.9277           0.0000          0.0000           229.17         9.24          0.0200            0.0000          18.3333       PFind                   None            0.00    0.00    None            
  9.2200         9.5838           0.0000          0.0000            35.83         1.44          0.0200            0.0000           3.5833       PFind                   None            0.00    0.00    None            
