
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\22_2_AUG_FILTER.pk

File Created:
	April 15, 2019 - 03:33 PM

Specimen Id:
	22.2 AUGUST FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.8600        30.8660           0.0000          0.0000            59.17         2.45          0.1600            0.0000           3.5500       PFind                   None            0.00    0.00    None            
  2.9200        30.2319           0.0000          0.0000            63.33         2.62          0.0600            0.0000           2.5333       PFind                   None            0.00    0.00    None            
  3.1400        28.1142           0.0000          0.0000            49.17         2.03          0.0600            0.0000           3.9333       PFind                   None            0.00    0.00    None            
  3.3400        26.4312           0.0000          0.0000            45.00         1.86          0.1600            0.0000           0.9000       PFind                   None            0.00    0.00    None            
  3.5400        24.9383           0.0000          0.0000            45.00         1.86          0.1600            0.0000           7.2000       PFind                   None            0.00    0.00    None            
  3.9000        22.6371           0.0000          0.0000            38.33         1.58          0.1000            0.0000           3.8333       PFind                   None            0.00    0.00    None            
  4.6800        18.8659           0.0000          0.0000            43.33         1.79          0.0800            0.0000           1.7333       PFind                   None            0.00    0.00    None            
  5.3600        16.4739           0.0000          0.0000            37.50         1.55          0.1000            0.0000           0.7500       PFind                   None            0.00    0.00    None            
  5.7400        15.3841           0.0000          0.0000            40.83         1.69          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  6.0400        14.6206           0.0000          0.0000            76.67         3.17          0.1400            0.0000          12.2667       PFind                   None            0.00    0.00    None            
  6.2600        14.1073           0.0000          0.0000            42.50         1.76          0.0600            0.0000           4.2500       PFind                   None            0.00    0.00    None            
  6.5400        13.5039           0.0000          0.0000            37.50         1.55          0.0600            0.0000           0.7500       PFind                   None            0.00    0.00    None            
  6.7200        13.1426           0.0000          0.0000            42.50         1.76          0.1200            0.0000           1.7000       PFind                   None            0.00    0.00    None            
  8.7400        10.1091           0.0000          0.0000           185.83         7.68          0.1200            0.0000          18.5833       PFind                   None            0.00    0.00    None            
 10.3200         8.5646           0.0000          0.0000            39.17         1.62          0.0000            0.0000           4.7000       PFind                   None            0.00    0.00    None            
 12.0200         7.3569           0.0000          0.0000           109.17         4.51          0.1000            0.0000          17.4667       PFind                   None            0.00    0.00    None            
 12.2200         7.2369           0.0000          0.0000           190.83         7.89          0.0200            0.0000          15.2667       PFind                   None            0.00    0.00    None            
 13.0200         6.7940           0.0000          0.0000            97.50         4.03          0.1000            0.0000           7.8000       PFind                   None            0.00    0.00    None            
 13.6800         6.4677           0.0000          0.0000            67.50         2.79          0.1000            0.0000           8.1000       PFind                   None            0.00    0.00    None            
 17.7000         5.0068           0.0000          0.0000           290.00        11.99          0.0400            0.0000          23.2000       PFind                   None            0.00    0.00    None            
 18.4200         4.8126           0.0000          0.0000            87.50         3.62          0.1400            0.0000          12.2500       PFind                   None            0.00    0.00    None            
 20.6400         4.2997           0.0000          0.0000           505.83        20.91          0.0800            0.0000          50.5833       PFind                   None            0.00    0.00    None            
 21.8800         4.0588           0.0000          0.0000           410.83        16.98          0.1600            0.0000          32.8667       PFind                   None            0.00    0.00    None            
 22.7600         3.9038           0.0000          0.0000            55.00         2.27          0.1000            0.0000           4.4000       PFind                   None            0.00    0.00    None            
 23.3000         3.8145           0.0000          0.0000           157.50         6.51          0.1200            0.0000          12.6000       PFind                   None            0.00    0.00    None            
 23.7200         3.7479           0.0000          0.0000           181.67         7.51          0.1600            0.0000          18.1667       PFind                   None            0.00    0.00    None            
 24.0800         3.6927           0.0000          0.0000           280.00        11.57          0.0200            0.0000          28.0000       PFind                   None            0.00    0.00    None            
 24.4000         3.6450           0.0000          0.0000           162.50         6.72          0.0800            0.0000          22.7500       PFind                   None            0.00    0.00    None            
 24.7200         3.5985           0.0000          0.0000           130.00         5.37          0.1000            0.0000          13.0000       PFind                   None            0.00    0.00    None            
 24.9200         3.5701           0.0000          0.0000           120.83         4.99          0.0800            0.0000          14.5000       PFind                   None            0.00    0.00    None            
 25.4400         3.4983           0.0000          0.0000            92.50         3.82          0.1200            0.0000           9.2500       PFind                   None            0.00    0.00    None            
 26.4600         3.3657           0.0000          0.0000          2419.17       100.00          0.0600            0.0000         290.3000       PFind                   None            0.00    0.00    None            
 26.7600         3.3287           0.0000          0.0000           499.17        20.63          0.0200            0.0000          49.9167       PFind                   None            0.00    0.00    None            
 27.3200         3.2617           0.0000          0.0000           104.17         4.31          0.1000            0.0000          14.5833       PFind                   None            0.00    0.00    None            
 27.5200         3.2384           0.0000          0.0000           146.67         6.06          0.1400            0.0000          20.5333       PFind                   None            0.00    0.00    None            
 27.7200         3.2155           0.0000          0.0000           272.50        11.26          0.0000            0.0000          43.6000       PFind                   None            0.00    0.00    None            
 27.9200         3.1929           0.0000          0.0000           240.00         9.92          0.1000            0.0000          33.6000       PFind                   None            0.00    0.00    None            
 28.3400         3.1466           0.0000          0.0000            62.50         2.58          0.1600            0.0000           6.2500       PFind                   None            0.00    0.00    None            
 29.6200         3.0134           0.0000          0.0000          1150.00        47.54          0.0400            0.0000          46.0000       PFind                   None            0.00    0.00    None            
 29.8400         2.9917           0.0000          0.0000            91.67         3.79          0.1000            0.0000          14.6667       PFind                   None            0.00    0.00    None            
 30.5400         2.9247           0.0000          0.0000           187.50         7.75          0.1000            0.0000          18.7500       PFind                   None            0.00    0.00    None            
 31.0800         2.8751           0.0000          0.0000            64.17         2.65          0.1200            0.0000           7.7000       PFind                   None            0.00    0.00    None            
 32.8600         2.7233           0.0000          0.0000           103.33         4.27          0.1400            0.0000           6.2000       PFind                   None            0.00    0.00    None            
 34.3400         2.6093           0.0000          0.0000            46.67         1.93          0.1400            0.0000           7.4667       PFind                   None            0.00    0.00    None            
 34.6800         2.5845           0.0000          0.0000           188.33         7.79          0.0400            0.0000          18.8333       PFind                   None            0.00    0.00    None            
 35.3400         2.5377           0.0000          0.0000            87.50         3.62          0.1000            0.0000          14.0000       PFind                   None            0.00    0.00    None            
 36.3000         2.4728           0.0000          0.0000           164.17         6.79          0.0800            0.0000          16.4167       PFind                   None            0.00    0.00    None            
 37.4200         2.4013           0.0000          0.0000            55.00         2.27          0.1000            0.0000           2.2000       PFind                   None            0.00    0.00    None            
 38.8800         2.3144           0.0000          0.0000            43.33         1.79          0.0600            0.0000           4.3333       PFind                   None            0.00    0.00    None            
 39.3600         2.2873           0.0000          0.0000            69.17         2.86          0.1000            0.0000           6.9167       PFind                   None            0.00    0.00    None            
 39.8000         2.2630           0.0000          0.0000            60.00         2.48          0.1000            0.0000           2.4000       PFind                   None            0.00    0.00    None            
 40.0600         2.2489           0.0000          0.0000           252.50        10.44          0.1600            0.0000          15.1500       PFind                   None            0.00    0.00    None            
 41.5200         2.1731           0.0000          0.0000            68.33         2.82          0.1600            0.0000           5.4667       PFind                   None            0.00    0.00    None            
 41.8000         2.1592           0.0000          0.0000            38.33         1.58          0.1000            0.0000           2.3000       PFind                   None            0.00    0.00    None            
 42.2600         2.1368           0.0000          0.0000           150.00         6.20          0.0800            0.0000          21.0000       PFind                   None            0.00    0.00    None            
 44.8000         2.0214           0.0000          0.0000            46.67         1.93          0.0600            0.0000           2.8000       PFind                   None            0.00    0.00    None            
 45.3400         1.9985           0.0000          0.0000            85.83         3.55          0.1400            0.0000          13.7333       PFind                   None            0.00    0.00    None            
 45.5000         1.9919           0.0000          0.0000            88.33         3.65          0.1200            0.0000          14.1333       PFind                   None            0.00    0.00    None            
 46.4400         1.9537           0.0000          0.0000            40.00         1.65          0.1600            0.0000           4.0000       PFind                   None            0.00    0.00    None            
 47.9400         1.8960           0.0000          0.0000            68.33         2.82          0.0400            0.0000           4.1000       PFind                   None            0.00    0.00    None            
 49.5600         1.8378           0.0000          0.0000           124.17         5.13          0.0800            0.0000           7.4500       PFind                   None            0.00    0.00    None            
 49.7200         1.8322           0.0000          0.0000            81.67         3.38          0.1600            0.0000           6.5333       PFind                   None            0.00    0.00    None            
 49.9200         1.8254           0.0000          0.0000           123.33         5.10          0.0800            0.0000          14.8000       PFind                   None            0.00    0.00    None            
 52.3200         1.7471           0.0000          0.0000            56.67         2.34          0.0400            0.0000           3.4000       PFind                   None            0.00    0.00    None            
 52.4800         1.7422           0.0000          0.0000            44.17         1.83          0.1000            0.0000           0.8833       PFind                   None            0.00    0.00    None            
 54.6600         1.6778           0.0000          0.0000            50.00         2.07          0.0400            0.0000           5.0000       PFind                   None            0.00    0.00    None            
 54.7400         1.6755           0.0000          0.0000            45.83         1.89          0.0600            0.0000           7.3333       PFind                   None            0.00    0.00    None            
 55.1200         1.6648           0.0000          0.0000            39.17         1.62          0.0800            0.0000           4.7000       PFind                   None            0.00    0.00    None            
 55.5000         1.6543           0.0000          0.0000            40.83         1.69          0.0200            0.0000           4.0833       PFind                   None            0.00    0.00    None            
 55.9600         1.6418           0.0000          0.0000            39.17         1.62          0.1000            0.0000           3.1333       PFind                   None            0.00    0.00    None            
 56.5000         1.6274           0.0000          0.0000            46.67         1.93          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 58.4400         1.5779           0.0000          0.0000            43.33         1.79          0.0600            0.0000           4.3333       PFind                   None            0.00    0.00    None            
 58.5600         1.5750           0.0000          0.0000            38.33         1.58          0.1200            0.0000           4.6000       PFind                   None            0.00    0.00    None            
 59.7400         1.5466           0.0000          0.0000           290.83        12.02          0.1000            0.0000          29.0833       PFind                   None            0.00    0.00    None            
 60.7600         1.5231           0.0000          0.0000            39.17         1.62          0.1200            0.0000           3.9167       PFind                   None            0.00    0.00    None            
 61.3400         1.5101           0.0000          0.0000            38.33         1.58          0.1000            0.0000           2.3000       PFind                   None            0.00    0.00    None            
 63.8200         1.4572           0.0000          0.0000            56.67         2.34          0.1000            0.0000           5.6667       PFind                   None            0.00    0.00    None            
