
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\23_1_AUG_P_RT.pk

File Created:
	April 15, 2019 - 03:38 PM

Specimen Id:
	23.2 AUG P FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.9600        29.8235           0.0000          0.0000            68.33         4.30          0.1000            0.0000           4.1000       PFind                   None            0.00    0.00    None            
  3.1400        28.1142           0.0000          0.0000            45.83         2.88          0.0600            0.0000           5.5000       PFind                   None            0.00    0.00    None            
  3.2200        27.4159           0.0000          0.0000            51.67         3.25          0.1400            0.0000           1.0333       PFind                   None            0.00    0.00    None            
  3.3000        26.7515           0.0000          0.0000            60.83         3.83          0.0400            0.0000           1.2167       PFind                   None            0.00    0.00    None            
  3.4400        25.6631           0.0000          0.0000            56.67         3.56          0.1400            0.0000           7.9333       PFind                   None            0.00    0.00    None            
  3.7000        23.8603           0.0000          0.0000            51.67         3.25          0.1600            0.0000           5.1667       PFind                   None            0.00    0.00    None            
  4.0200        21.9616           0.0000          0.0000            54.17         3.41          0.1000            0.0000           3.2500       PFind                   None            0.00    0.00    None            
  4.3800        20.1574           0.0000          0.0000            36.67         2.31          0.0800            0.0000           2.9333       PFind                   None            0.00    0.00    None            
  4.4200        19.9750           0.0000          0.0000            47.50         2.99          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.7000        18.7856           0.0000          0.0000            42.50         2.67          0.0200            0.0000           3.4000       PFind                   None            0.00    0.00    None            
  4.8400        18.2426           0.0000          0.0000            46.67         2.94          0.1600            0.0000           2.8000       PFind                   None            0.00    0.00    None            
  5.2200        16.9154           0.0000          0.0000            35.83         2.25          0.1200            0.0000           3.5833       PFind                   None            0.00    0.00    None            
  5.5000        16.0548           0.0000          0.0000            35.00         2.20          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.6600        15.6013           0.0000          0.0000            46.67         2.94          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.8000        15.2251           0.0000          0.0000            33.33         2.10          0.0400            0.0000           2.0000       PFind                   None            0.00    0.00    None            
  6.1600        14.3361           0.0000          0.0000           155.00         9.75          0.1600            0.0000          24.8000       PFind                   None            0.00    0.00    None            
  6.5800        13.4219           0.0000          0.0000            41.67         2.62          0.1000            0.0000           1.6667       PFind                   None            0.00    0.00    None            
  6.7400        13.1037           0.0000          0.0000            50.00         3.14          0.0600            0.0000           1.0000       PFind                   None            0.00    0.00    None            
  6.8200        12.9501           0.0000          0.0000            42.50         2.67          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  7.1000        12.4400           0.0000          0.0000            35.83         2.25          0.0800            0.0000           0.7167       PFind                   None            0.00    0.00    None            
  7.3000        12.0996           0.0000          0.0000            36.67         2.31          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  7.5000        11.7774           0.0000          0.0000            34.17         2.15          0.0400            0.0000           1.3667       PFind                   None            0.00    0.00    None            
  8.8200        10.0176           0.0000          0.0000           424.17        26.68          0.1000            0.0000          25.4500       PFind                   None            0.00    0.00    None            
  9.1400         9.6675           0.0000          0.0000            89.17         5.61          0.0600            0.0000           5.3500       PFind                   None            0.00    0.00    None            
  9.2800         9.5220           0.0000          0.0000            35.00         2.20          0.1600            0.0000           2.1000       PFind                   None            0.00    0.00    None            
 10.4400         8.4665           0.0000          0.0000            55.00         3.46          0.1600            0.0000           5.5000       PFind                   None            0.00    0.00    None            
 12.1400         7.2844           0.0000          0.0000           202.50        12.74          0.0600            0.0000          16.2000       PFind                   None            0.00    0.00    None            
 12.4400         7.1094           0.0000          0.0000           200.83        12.63          0.1000            0.0000          16.0667       PFind                   None            0.00    0.00    None            
 13.8400         6.3933           0.0000          0.0000            46.67         2.94          0.0600            0.0000           2.8000       PFind                   None            0.00    0.00    None            
 13.9800         6.3295           0.0000          0.0000            69.17         4.35          0.1000            0.0000           4.1500       PFind                   None            0.00    0.00    None            
 17.7600         4.9900           0.0000          0.0000           163.33        10.27          0.0600            0.0000          16.3333       PFind                   None            0.00    0.00    None            
 18.5200         4.7869           0.0000          0.0000            50.83         3.20          0.0000            0.0000           1.0167       PFind                   None            0.00    0.00    None            
 18.7600         4.7262           0.0000          0.0000           102.50         6.45          0.0400            0.0000           6.1500       PFind                   None            0.00    0.00    None            
 19.8000         4.4802           0.0000          0.0000            59.17         3.72          0.1000            0.0000           1.1833       PFind                   None            0.00    0.00    None            
 20.8000         4.2670           0.0000          0.0000           245.83        15.46          0.0000            0.0000          19.6667       PFind                   None            0.00    0.00    None            
 21.9800         4.0405           0.0000          0.0000           225.83        14.20          0.0800            0.0000          13.5500       PFind                   None            0.00    0.00    None            
 22.4200         3.9622           0.0000          0.0000            50.00         3.14          0.0800            0.0000           2.0000       PFind                   None            0.00    0.00    None            
 22.8400         3.8903           0.0000          0.0000            34.17         2.15          0.1000            0.0000           3.4167       PFind                   None            0.00    0.00    None            
 23.4800         3.7857           0.0000          0.0000            75.83         4.77          0.0600            0.0000           7.5833       PFind                   None            0.00    0.00    None            
 24.2400         3.6687           0.0000          0.0000            75.00         4.72          0.0200            0.0000           9.0000       PFind                   None            0.00    0.00    None            
 24.5200         3.6274           0.0000          0.0000           150.00         9.43          0.0400            0.0000          15.0000       PFind                   None            0.00    0.00    None            
 24.7800         3.5900           0.0000          0.0000            48.33         3.04          0.1400            0.0000           7.7333       PFind                   None            0.00    0.00    None            
 24.8800         3.5758           0.0000          0.0000            49.17         3.09          0.1000            0.0000           7.8667       PFind                   None            0.00    0.00    None            
 25.1000         3.5449           0.0000          0.0000           165.83        10.43          0.0000            0.0000          19.9000       PFind                   None            0.00    0.00    None            
 25.3200         3.5146           0.0000          0.0000           838.33        52.73          0.0200            0.0000          33.5333       PFind                   None            0.00    0.00    None            
 26.5800         3.3508           0.0000          0.0000          1590.00       100.00          0.0600            0.0000         159.0000       PFind                   None            0.00    0.00    None            
 26.8000         3.3238           0.0000          0.0000           867.50        54.56          0.1200            0.0000          86.7500       PFind                   None            0.00    0.00    None            
 27.4600         3.2454           0.0000          0.0000            45.00         2.83          0.1600            0.0000           5.4000       PFind                   None            0.00    0.00    None            
 27.8400         3.2019           0.0000          0.0000           284.17        17.87          0.0600            0.0000          39.7833       PFind                   None            0.00    0.00    None            
 28.2400         3.1575           0.0000          0.0000           723.33        45.49          0.0200            0.0000         101.2667       PFind                   None            0.00    0.00    None            
 28.5000         3.1293           0.0000          0.0000            67.50         4.25          0.1200            0.0000           6.7500       PFind                   None            0.00    0.00    None            
 28.6600         3.1122           0.0000          0.0000            75.00         4.72          0.1000            0.0000          12.0000       PFind                   None            0.00    0.00    None            
 29.8000         2.9957           0.0000          0.0000           103.33         6.50          0.0000            0.0000          10.3333       PFind                   None            0.00    0.00    None            
 30.4600         2.9322           0.0000          0.0000            74.17         4.66          0.0200            0.0000          11.8667       PFind                   None            0.00    0.00    None            
 31.1800         2.8661           0.0000          0.0000            73.33         4.61          0.0600            0.0000          10.2667       PFind                   None            0.00    0.00    None            
 31.5000         2.8378           0.0000          0.0000            55.00         3.46          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 31.9800         2.7962           0.0000          0.0000            39.17         2.46          0.1000            0.0000           3.1333       PFind                   None            0.00    0.00    None            
