
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\25_9_11_30_1 FILTER.pk

File Created:
	April 15, 2019 - 03:42 PM

Specimen Id:
	25.9  11.30 1 FILTER

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.7000        32.6948           0.0000          0.0000            59.17         2.76          0.1400            0.0000           3.5500       PFind                   None            0.00    0.00    None            
  2.8400        31.0834           0.0000          0.0000            52.50         2.45          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  2.9800        29.6234           0.0000          0.0000            51.67         2.41          0.1200            0.0000           2.0667       PFind                   None            0.00    0.00    None            
  3.1800        27.7607           0.0000          0.0000            68.33         3.18          0.1000            0.0000           4.1000       PFind                   None            0.00    0.00    None            
  3.4400        25.6631           0.0000          0.0000            47.50         2.21          0.1200            0.0000           7.6000       PFind                   None            0.00    0.00    None            
  3.5600        24.7983           0.0000          0.0000            50.00         2.33          0.1600            0.0000           1.0000       PFind                   None            0.00    0.00    None            
  3.7600        23.4797           0.0000          0.0000            56.67         2.64          0.1600            0.0000           5.6667       PFind                   None            0.00    0.00    None            
  3.8600        22.8716           0.0000          0.0000            44.17         2.06          0.1000            0.0000           3.5333       PFind                   None            0.00    0.00    None            
  4.1200        21.4288           0.0000          0.0000            59.17         2.76          0.1400            0.0000           2.3667       PFind                   None            0.00    0.00    None            
  4.2800        20.6281           0.0000          0.0000            39.17         1.82          0.0800            0.0000           2.3500       PFind                   None            0.00    0.00    None            
  4.3600        20.2498           0.0000          0.0000            45.00         2.10          0.1400            0.0000           2.7000       PFind                   None            0.00    0.00    None            
  4.4400        19.8851           0.0000          0.0000            43.33         2.02          0.1400            0.0000           0.8667       PFind                   None            0.00    0.00    None            
  4.6200        19.1107           0.0000          0.0000            38.33         1.79          0.1200            0.0000           1.5333       PFind                   None            0.00    0.00    None            
  4.7800        18.4714           0.0000          0.0000            54.17         2.52          0.0400            0.0000           1.0833       PFind                   None            0.00    0.00    None            
  4.9000        18.0193           0.0000          0.0000            34.17         1.59          0.1000            0.0000           4.7833       PFind                   None            0.00    0.00    None            
  5.1600        17.1119           0.0000          0.0000            31.67         1.48          0.1600            0.0000           0.6333       PFind                   None            0.00    0.00    None            
