Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	Area	Source	Curve	Strain	CSize	CSize_Source
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]	[--]	[--]	[--]	[--]	[--]
4.1400	21.3253	0.0000	0.0000	48.33	0.26	0.1600	0.0000	0.9667	PFind	None	0.00	0.00	None
4.3200	20.4372	0.0000	0.0000	52.50	0.28	0.0800	0.0000	0.0000	PFind	None	0.00	0.00	None
6.3200	13.9735	0.0000	0.0000	93.33	0.50	0.0800	0.0000	7.4667	PFind	None	0.00	0.00	None
8.9600	9.8614	0.0000	0.0000	204.17	1.09	0.1200	0.0000	16.3333	PFind	None	0.00	0.00	None
12.2600	7.2134	0.0000	0.0000	132.50	0.71	0.0400	0.0000	21.2000	PFind	None	0.00	0.00	None
12.5400	7.0530	0.0000	0.0000	250.00	1.34	0.0600	0.0000	30.0000	PFind	None	0.00	0.00	None
13.9600	6.3386	0.0000	0.0000	229.17	1.23	0.0800	0.0000	13.7500	PFind	None	0.00	0.00	None
17.6800	5.0124	0.0000	0.0000	154.17	0.83	0.0800	0.0000	9.2500	PFind	None	0.00	0.00	None
17.8800	4.9568	0.0000	0.0000	177.50	0.95	0.1200	0.0000	14.2000	PFind	None	0.00	0.00	None
18.8200	4.7113	0.0000	0.0000	165.00	0.88	0.1200	0.0000	19.8000	PFind	None	0.00	0.00	None
20.9400	4.2388	0.0000	0.0000	610.00	3.27	0.0800	0.0000	73.2000	PFind	None	0.00	0.00	None
22.1000	4.0189	0.0000	0.0000	118.33	0.63	0.1200	0.0000	14.2000	PFind	None	0.00	0.00	None
23.5800	3.7699	0.0000	0.0000	107.50	0.58	0.1600	0.0000	8.6000	PFind	None	0.00	0.00	None
24.1400	3.6837	0.0000	0.0000	75.00	0.40	0.1000	0.0000	9.0000	PFind	None	0.00	0.00	None
24.6200	3.6129	0.0000	0.0000	103.33	0.55	0.1000	0.0000	14.4667	PFind	None	0.00	0.00	None
25.2600	3.5228	0.0000	0.0000	282.50	1.51	0.1600	0.0000	33.9000	PFind	None	0.00	0.00	None
25.6400	3.4715	0.0000	0.0000	217.50	1.17	0.1200	0.0000	17.4000	PFind	None	0.00	0.00	None
26.7200	3.3336	0.0000	0.0000	2944.17	15.79	0.0000	0.0000	353.3000	PFind	None	0.00	0.00	None
28.0000	3.1840	0.0000	0.0000	18650.00	100.00	0.0200	0.0000	746.0000	PFind	None	0.00	0.00	None
28.5400	3.1250	0.0000	0.0000	126.67	0.68	0.1200	0.0000	15.2000	PFind	None	0.00	0.00	None
29.9600	2.9800	0.0000	0.0000	86.67	0.46	0.1000	0.0000	10.4000	PFind	None	0.00	0.00	None
30.2400	2.9531	0.0000	0.0000	165.83	0.89	0.1400	0.0000	9.9500	PFind	None	0.00	0.00	None
30.5800	2.9210	0.0000	0.0000	89.17	0.48	0.1400	0.0000	7.1333	PFind	None	0.00	0.00	None
30.9800	2.8842	0.0000	0.0000	112.50	0.60	0.0400	0.0000	4.5000	PFind	None	0.00	0.00	None
31.3200	2.8537	0.0000	0.0000	50.00	0.27	0.1200	0.0000	8.0000	PFind	None	0.00	0.00	None
31.5800	2.8307	0.0000	0.0000	66.67	0.36	0.0600	0.0000	8.0000	PFind	None	0.00	0.00	None
35.6000	2.5198	0.0000	0.0000	103.33	0.55	0.1200	0.0000	10.3333	PFind	None	0.00	0.00	None
36.6000	2.4532	0.0000	0.0000	83.33	0.45	0.0600	0.0000	13.3333	PFind	None	0.00	0.00	None
37.5400	2.3939	0.0000	0.0000	52.50	0.28	0.0600	0.0000	4.2000	PFind	None	0.00	0.00	None
37.6400	2.3878	0.0000	0.0000	50.00	0.27	0.0600	0.0000	6.0000	PFind	None	0.00	0.00	None
38.1400	2.3576	0.0000	0.0000	178.33	0.96	0.0800	0.0000	24.9667	PFind	None	0.00	0.00	None
39.5200	2.2784	0.0000	0.0000	92.50	0.50	0.1200	0.0000	9.2500	PFind	None	0.00	0.00	None
40.3400	2.2339	0.0000	0.0000	60.83	0.33	0.0400	0.0000	3.6500	PFind	None	0.00	0.00	None
42.5000	2.1253	0.0000	0.0000	308.33	1.65	0.0800	0.0000	30.8333	PFind	None	0.00	0.00	None
44.3200	2.0421	0.0000	0.0000	116.67	0.63	0.0800	0.0000	14.0000	PFind	None	0.00	0.00	None
45.0000	2.0128	0.0000	0.0000	56.67	0.30	0.1600	0.0000	3.4000	PFind	None	0.00	0.00	None
45.6800	1.9844	0.0000	0.0000	200.00	1.07	0.1200	0.0000	32.0000	PFind	None	0.00	0.00	None
45.8800	1.9763	0.0000	0.0000	264.17	1.42	0.1200	0.0000	10.5667	PFind	None	0.00	0.00	None
47.7000	1.9050	0.0000	0.0000	69.17	0.37	0.1200	0.0000	8.3000	PFind	None	0.00	0.00	None
50.2200	1.8152	0.0000	0.0000	230.00	1.23	0.0600	0.0000	23.0000	PFind	None	0.00	0.00	None
50.7600	1.7971	0.0000	0.0000	52.50	0.28	0.0600	0.0000	7.3500	PFind	None	0.00	0.00	None
54.9600	1.6693	0.0000	0.0000	59.17	0.32	0.1400	0.0000	9.4667	PFind	None	0.00	0.00	None
56.1000	1.6381	0.0000	0.0000	48.33	0.26	0.0800	0.0000	2.9000	PFind	None	0.00	0.00	None
57.7400	1.5954	0.0000	0.0000	96.67	0.52	0.1600	0.0000	5.8000	PFind	None	0.00	0.00	None
57.9000	1.5913	0.0000	0.0000	59.17	0.32	0.1000	0.0000	4.7333	PFind	None	0.00	0.00	None
58.5800	1.5745	0.0000	0.0000	60.83	0.33	0.1600	0.0000	3.6500	PFind	None	0.00	0.00	None
60.0000	1.5406	0.0000	0.0000	144.17	0.77	0.1200	0.0000	17.3000	PFind	None	0.00	0.00	None
64.1200	1.4512	0.0000	0.0000	60.00	0.32	0.1200	0.0000	4.8000	PFind	None	0.00	0.00	None
64.4600	1.4443	0.0000	0.0000	117.50	0.63	0.0600	0.0000	18.8000	PFind	None	0.00	0.00	None
