Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	Area	Source	Curve	Strain	CSize	CSize_Source
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]	[--]	[--]	[--]	[--]	[--]
3.6800	23.9899	0.0000	0.0000	37.50	1.39	0.1400	0.0000	5.2500	PFind	None	0.00	0.00	None
4.0000	22.0714	0.0000	0.0000	60.83	2.25	0.0800	0.0000	0.0000	PFind	None	0.00	0.00	None
4.4000	20.0658	0.0000	0.0000	40.83	1.51	0.0800	0.0000	4.0833	PFind	None	0.00	0.00	None
4.6200	19.1107	0.0000	0.0000	45.00	1.67	0.1400	0.0000	0.9000	PFind	None	0.00	0.00	None
4.7600	18.5490	0.0000	0.0000	39.17	1.45	0.0400	0.0000	0.0000	PFind	None	0.00	0.00	None
4.9600	17.8015	0.0000	0.0000	48.33	1.79	0.1600	0.0000	0.9667	PFind	None	0.00	0.00	None
5.3400	16.5355	0.0000	0.0000	48.33	1.79	0.0800	0.0000	3.8667	PFind	None	0.00	0.00	None
6.2200	14.1979	0.0000	0.0000	90.00	3.33	0.0800	0.0000	9.0000	PFind	None	0.00	0.00	None
7.8400	11.2674	0.0000	0.0000	38.33	1.42	0.0600	0.0000	0.7667	PFind	None	0.00	0.00	None
8.8200	10.0176	0.0000	0.0000	217.50	8.05	0.0800	0.0000	26.1000	PFind	None	0.00	0.00	None
9.1400	9.6675	0.0000	0.0000	45.83	1.70	0.1400	0.0000	4.5833	PFind	None	0.00	0.00	None
10.4800	8.4342	0.0000	0.0000	56.67	2.10	0.1000	0.0000	3.4000	PFind	None	0.00	0.00	None
12.1200	7.2964	0.0000	0.0000	72.50	2.68	0.0800	0.0000	5.8000	PFind	None	0.00	0.00	None
12.4400	7.1094	0.0000	0.0000	410.83	15.21	0.0200	0.0000	41.0833	PFind	None	0.00	0.00	None
13.5800	6.5151	0.0000	0.0000	148.33	5.49	0.1400	0.0000	8.9000	PFind	None	0.00	0.00	None
13.7600	6.4302	0.0000	0.0000	43.33	1.60	0.0800	0.0000	3.4667	PFind	None	0.00	0.00	None
17.7200	5.0012	0.0000	0.0000	172.50	6.38	0.0800	0.0000	24.1500	PFind	None	0.00	0.00	None
18.4600	4.8023	0.0000	0.0000	48.33	1.79	0.1600	0.0000	7.7333	PFind	None	0.00	0.00	None
18.7400	4.7312	0.0000	0.0000	245.83	9.10	0.1200	0.0000	29.5000	PFind	None	0.00	0.00	None
20.8000	4.2670	0.0000	0.0000	377.50	13.97	0.0000	0.0000	37.7500	PFind	None	0.00	0.00	None
22.0400	4.0297	0.0000	0.0000	114.17	4.23	0.1000	0.0000	9.1333	PFind	None	0.00	0.00	None
22.8600	3.8870	0.0000	0.0000	40.00	1.48	0.0200	0.0000	0.8000	PFind	None	0.00	0.00	None
24.1800	3.6777	0.0000	0.0000	41.67	1.54	0.1000	0.0000	3.3333	PFind	None	0.00	0.00	None
24.2600	3.6657	0.0000	0.0000	65.83	2.44	0.1200	0.0000	2.6333	PFind	None	0.00	0.00	None
24.5400	3.6245	0.0000	0.0000	60.00	2.22	0.1400	0.0000	8.4000	PFind	None	0.00	0.00	None
25.1000	3.5449	0.0000	0.0000	508.33	18.82	0.1000	0.0000	61.0000	PFind	None	0.00	0.00	None
25.4200	3.5010	0.0000	0.0000	84.17	3.12	0.1400	0.0000	10.1000	PFind	None	0.00	0.00	None
26.6400	3.3434	0.0000	0.0000	2701.67	100.00	0.1400	0.0000	324.2000	PFind	None	0.00	0.00	None
27.4400	3.2477	0.0000	0.0000	83.33	3.08	0.1200	0.0000	6.6667	PFind	None	0.00	0.00	None
27.8200	3.2042	0.0000	0.0000	308.33	11.41	0.1000	0.0000	43.1667	PFind	None	0.00	0.00	None
28.4800	3.1314	0.0000	0.0000	63.33	2.34	0.1000	0.0000	7.6000	PFind	None	0.00	0.00	None
29.8400	2.9917	0.0000	0.0000	99.17	3.67	0.0200	0.0000	9.9167	PFind	None	0.00	0.00	None
30.5000	2.9285	0.0000	0.0000	40.83	1.51	0.0800	0.0000	4.0833	PFind	None	0.00	0.00	None
31.1800	2.8661	0.0000	0.0000	69.17	2.56	0.1400	0.0000	9.6833	PFind	None	0.00	0.00	None
31.5600	2.8325	0.0000	0.0000	107.50	3.98	0.0800	0.0000	8.6000	PFind	None	0.00	0.00	None
32.0400	2.7911	0.0000	0.0000	73.33	2.71	0.1200	0.0000	10.2667	PFind	None	0.00	0.00	None
34.9400	2.5658	0.0000	0.0000	41.67	1.54	0.1600	0.0000	4.1667	PFind	None	0.00	0.00	None
36.0400	2.4900	0.0000	0.0000	47.50	1.76	0.1200	0.0000	7.6000	PFind	None	0.00	0.00	None
36.4800	2.4610	0.0000	0.0000	180.83	6.69	0.0600	0.0000	14.4667	PFind	None	0.00	0.00	None
37.7800	2.3792	0.0000	0.0000	45.83	1.70	0.1000	0.0000	7.3333	PFind	None	0.00	0.00	None
38.0400	2.3636	0.0000	0.0000	590.83	21.87	0.0000	0.0000	70.9000	PFind	None	0.00	0.00	None
39.3800	2.2862	0.0000	0.0000	61.67	2.28	0.1400	0.0000	7.4000	PFind	None	0.00	0.00	None
40.2200	2.2403	0.0000	0.0000	63.33	2.34	0.1000	0.0000	6.3333	PFind	None	0.00	0.00	None
42.4200	2.1291	0.0000	0.0000	87.50	3.24	0.0400	0.0000	12.2500	PFind	None	0.00	0.00	None
44.2400	2.0456	0.0000	0.0000	325.83	12.06	0.0800	0.0000	45.6167	PFind	None	0.00	0.00	None
45.0200	2.0120	0.0000	0.0000	37.50	1.39	0.1000	0.0000	3.0000	PFind	None	0.00	0.00	None
45.5200	1.9910	0.0000	0.0000	231.67	8.57	0.0600	0.0000	37.0667	PFind	None	0.00	0.00	None
50.1000	1.8192	0.0000	0.0000	240.00	8.88	0.1000	0.0000	24.0000	PFind	None	0.00	0.00	None
54.8400	1.6727	0.0000	0.0000	117.50	4.35	0.1200	0.0000	9.4000	PFind	None	0.00	0.00	None
54.9800	1.6687	0.0000	0.0000	79.17	2.93	0.1200	0.0000	6.3333	PFind	None	0.00	0.00	None
55.1400	1.6643	0.0000	0.0000	37.50	1.39	0.0400	0.0000	0.7500	PFind	None	0.00	0.00	None
55.7200	1.6483	0.0000	0.0000	45.83	1.70	0.1200	0.0000	1.8333	PFind	None	0.00	0.00	None
59.8800	1.5434	0.0000	0.0000	355.00	13.14	0.0200	0.0000	21.3000	PFind	None	0.00	0.00	None
60.0400	1.5396	0.0000	0.0000	203.33	7.53	0.1000	0.0000	8.1333	PFind	None	0.00	0.00	None
64.3800	1.4459	0.0000	0.0000	257.50	9.53	0.0200	0.0000	25.7500	PFind	None	0.00	0.00	None
64.5400	1.4427	0.0000	0.0000	147.50	5.46	0.1600	0.0000	20.6500	PFind	None	0.00	0.00	None
