
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\25_9_9.55_2 FILTER.pk

File Created:
	April 15, 2019 - 03:40 PM

Specimen Id:
	25.9 FILTRE 2 FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 2 deg.
Stop Angle: 65 deg.
Num Points: 3151
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  3.7000        23.8603           0.0000          0.0000            46.67         1.58          0.1400            0.0000           5.6000       PFind                   None            0.00    0.00    None            
  3.9000        22.6371           0.0000          0.0000            40.83         1.38          0.1600            0.0000           4.0833       PFind                   None            0.00    0.00    None            
  4.1200        21.4288           0.0000          0.0000            43.33         1.47          0.0400            0.0000           6.9333       PFind                   None            0.00    0.00    None            
  4.2800        20.6281           0.0000          0.0000            50.00         1.69          0.1200            0.0000           4.0000       PFind                   None            0.00    0.00    None            
  4.5200        19.5333           0.0000          0.0000            36.67         1.24          0.0600            0.0000           2.2000       PFind                   None            0.00    0.00    None            
  4.8400        18.2426           0.0000          0.0000            36.67         1.24          0.0800            0.0000           1.4667       PFind                   None            0.00    0.00    None            
  5.3600        16.4739           0.0000          0.0000            38.33         1.30          0.1400            0.0000           0.7667       PFind                   None            0.00    0.00    None            
  5.4600        16.1724           0.0000          0.0000            35.83         1.21          0.1000            0.0000           4.3000       PFind                   None            0.00    0.00    None            
  6.1600        14.3361           0.0000          0.0000           274.17         9.29          0.0600            0.0000          27.4167       PFind                   None            0.00    0.00    None            
  6.6000        13.3813           0.0000          0.0000            39.17         1.33          0.1200            0.0000           5.4833       PFind                   None            0.00    0.00    None            
  6.7200        13.1426           0.0000          0.0000            35.83         1.21          0.1000            0.0000           1.4333       PFind                   None            0.00    0.00    None            
  6.9000        12.8002           0.0000          0.0000            48.33         1.64          0.0800            0.0000           0.9667       PFind                   None            0.00    0.00    None            
  7.0800        12.4751           0.0000          0.0000            41.67         1.41          0.1600            0.0000           0.8333       PFind                   None            0.00    0.00    None            
  7.6000        11.6227           0.0000          0.0000            45.00         1.52          0.0800            0.0000           0.9000       PFind                   None            0.00    0.00    None            
  7.9000        11.1820           0.0000          0.0000            39.17         1.33          0.1000            0.0000           0.7833       PFind                   None            0.00    0.00    None            
  8.2000        10.7735           0.0000          0.0000            38.33         1.30          0.0800            0.0000           0.7667       PFind                   None            0.00    0.00    None            
  8.3200        10.6184           0.0000          0.0000            52.50         1.78          0.0400            0.0000           3.1500       PFind                   None            0.00    0.00    None            
  8.8000        10.0403           0.0000          0.0000          1073.33        36.35          0.0600            0.0000         107.3333       PFind                   None            0.00    0.00    None            
  9.1200         9.6887           0.0000          0.0000            65.00         2.20          0.0000            0.0000           7.8000       PFind                   None            0.00    0.00    None            
  9.4000         9.4007           0.0000          0.0000            65.83         2.23          0.1000            0.0000           5.2667       PFind                   None            0.00    0.00    None            
 10.4200         8.4827           0.0000          0.0000           110.00         3.73          0.0800            0.0000           6.6000       PFind                   None            0.00    0.00    None            
 12.1200         7.2964           0.0000          0.0000           558.33        18.91          0.1000            0.0000          55.8333       PFind                   None            0.00    0.00    None            
 12.4200         7.1208           0.0000          0.0000          1089.17        36.89          0.0800            0.0000          87.1333       PFind                   None            0.00    0.00    None            
 13.7800         6.4210           0.0000          0.0000            62.50         2.12          0.1400            0.0000           6.2500       PFind                   None            0.00    0.00    None            
 17.7400         4.9956           0.0000          0.0000           487.50        16.51          0.1400            0.0000          58.5000       PFind                   None            0.00    0.00    None            
 18.2400         4.8597           0.0000          0.0000            46.67         1.58          0.0400            0.0000           0.9333       PFind                   None            0.00    0.00    None            
