
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\28_7_12_08_2_FILTER.pk

File Created:
	April 15, 2019 - 03:49 PM

Specimen Id:
	28/7 12:08 2 FILTER

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.9000        30.4404           0.0000          0.0000            75.00         2.85          0.1000            0.0000          10.5000       PFind                   None            0.00    0.00    None            
  3.1000        28.4769           0.0000          0.0000            52.50         2.00          0.1400            0.0000           5.2500       PFind                   None            0.00    0.00    None            
  3.1800        27.7607           0.0000          0.0000            58.33         2.22          0.0200            0.0000           1.1667       PFind                   None            0.00    0.00    None            
  3.2200        27.4159           0.0000          0.0000            61.67         2.35          0.1600            0.0000           1.2333       PFind                   None            0.00    0.00    None            
  3.3600        26.2739           0.0000          0.0000            46.67         1.78          0.0800            0.0000           5.6000       PFind                   None            0.00    0.00    None            
  3.5400        24.9383           0.0000          0.0000            50.00         1.90          0.1200            0.0000           3.0000       PFind                   None            0.00    0.00    None            
  3.7200        23.7320           0.0000          0.0000            53.33         2.03          0.1400            0.0000           8.5333       PFind                   None            0.00    0.00    None            
  3.8000        23.2326           0.0000          0.0000            53.33         2.03          0.0600            0.0000           4.2667       PFind                   None            0.00    0.00    None            
  3.8800        22.7538           0.0000          0.0000            58.33         2.22          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
