
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\28_7_14_24_2 FILTER.pk

File Created:
	April 15, 2019 - 03:50 PM

Specimen Id:
	28.714.24 FILTRE 2 FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 2 deg.
Stop Angle: 65 deg.
Num Points: 3151
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  3.7000        23.8603           0.0000          0.0000            44.17         1.63          0.1600            0.0000           0.8833       PFind                   None            0.00    0.00    None            
  3.8000        23.2326           0.0000          0.0000            51.67         1.91          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.1400        21.3253           0.0000          0.0000            49.17         1.82          0.1000            0.0000           2.9500       PFind                   None            0.00    0.00    None            
  4.4400        19.8851           0.0000          0.0000            44.17         1.63          0.1200            0.0000           3.5333       PFind                   None            0.00    0.00    None            
  4.6400        19.0284           0.0000          0.0000            50.00         1.85          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.8600        18.1675           0.0000          0.0000            32.50         1.20          0.0600            0.0000           0.6500       PFind                   None            0.00    0.00    None            
  5.1400        17.1785           0.0000          0.0000            32.50         1.20          0.1400            0.0000           2.6000       PFind                   None            0.00    0.00    None            
  5.3600        16.4739           0.0000          0.0000            40.00         1.48          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  6.0800        14.5245           0.0000          0.0000            42.50         1.57          0.1000            0.0000           3.4000       PFind                   None            0.00    0.00    None            
  6.3200        13.9735           0.0000          0.0000           123.33         4.56          0.0000            0.0000          12.3333       PFind                   None            0.00    0.00    None            
  6.6400        13.3008           0.0000          0.0000            37.50         1.39          0.0400            0.0000           2.2500       PFind                   None            0.00    0.00    None            
  7.0200        12.5816           0.0000          0.0000            33.33         1.23          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  7.3800        11.9687           0.0000          0.0000            30.00         1.11          0.1200            0.0000           1.8000       PFind                   None            0.00    0.00    None            
  7.5000        11.7774           0.0000          0.0000            30.00         1.11          0.0600            0.0000           2.4000       PFind                   None            0.00    0.00    None            
  7.8200        11.2962           0.0000          0.0000            30.00         1.11          0.0600            0.0000           1.8000       PFind                   None            0.00    0.00    None            
  7.8800        11.2103           0.0000          0.0000            32.50         1.20          0.0800            0.0000           0.6500       PFind                   None            0.00    0.00    None            
  8.0200        11.0149           0.0000          0.0000            39.17         1.45          0.0600            0.0000           1.5667       PFind                   None            0.00    0.00    None            
  8.3800        10.5425           0.0000          0.0000            33.33         1.23          0.0600            0.0000           2.0000       PFind                   None            0.00    0.00    None            
  8.9600         9.8614           0.0000          0.0000           815.00        30.10          0.0200            0.0000          65.2000       PFind                   None            0.00    0.00    None            
  9.2000         9.6046           0.0000          0.0000            60.00         2.22          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  9.5200         9.2825           0.0000          0.0000            85.00         3.14          0.0800            0.0000           3.4000       PFind                   None            0.00    0.00    None            
  9.8600         8.9632           0.0000          0.0000           100.00         3.69          0.1000            0.0000           6.0000       PFind                   None            0.00    0.00    None            
 10.5800         8.3547           0.0000          0.0000            70.83         2.62          0.0800            0.0000           5.6667       PFind                   None            0.00    0.00    None            
 11.1000         7.9645           0.0000          0.0000            30.00         1.11          0.0400            0.0000           1.8000       PFind                   None            0.00    0.00    None            
 11.9400         7.4060           0.0000          0.0000            29.17         1.08          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 12.2600         7.2134           0.0000          0.0000           440.00        16.25          0.0600            0.0000          44.0000       PFind                   None            0.00    0.00    None            
 12.5800         7.0306           0.0000          0.0000           373.33        13.79          0.0200            0.0000          44.8000       PFind                   None            0.00    0.00    None            
 13.9200         6.3567           0.0000          0.0000            78.33         2.89          0.0800            0.0000           4.7000       PFind                   None            0.00    0.00    None            
 15.0800         5.8702           0.0000          0.0000            30.00         1.11          0.1200            0.0000           2.4000       PFind                   None            0.00    0.00    None            
