
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\2_1_AUG_RT.pk

File Created:
	April 15, 2019 - 03:00 PM

Specimen Id:
	2.1 AUGUST RT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.6400        33.4377           0.0000          0.0000            61.67         3.35          0.0800            0.0000           7.4000       PFind                   None            0.00    0.00    None            
  2.9800        29.6234           0.0000          0.0000            59.17         3.22          0.1000            0.0000           8.2833       PFind                   None            0.00    0.00    None            
  3.1400        28.1142           0.0000          0.0000            86.67         4.71          0.0600            0.0000           1.7333       PFind                   None            0.00    0.00    None            
  3.3600        26.2739           0.0000          0.0000            50.83         2.77          0.1000            0.0000           7.1167       PFind                   None            0.00    0.00    None            
  3.6800        23.9899           0.0000          0.0000            51.67         2.81          0.1000            0.0000           5.1667       PFind                   None            0.00    0.00    None            
  3.7600        23.4797           0.0000          0.0000            53.33         2.90          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.0400        21.8530           0.0000          0.0000            45.00         2.45          0.1000            0.0000           6.3000       PFind                   None            0.00    0.00    None            
  4.1400        21.3253           0.0000          0.0000            36.67         1.99          0.0600            0.0000           2.9333       PFind                   None            0.00    0.00    None            
  4.3600        20.2498           0.0000          0.0000            41.67         2.27          0.1000            0.0000           4.1667       PFind                   None            0.00    0.00    None            
  4.6400        19.0284           0.0000          0.0000            45.00         2.45          0.1000            0.0000           5.4000       PFind                   None            0.00    0.00    None            
  4.9000        18.0193           0.0000          0.0000            47.50         2.58          0.1200            0.0000           0.9500       PFind                   None            0.00    0.00    None            
  5.2400        16.8509           0.0000          0.0000            39.17         2.13          0.1600            0.0000           0.7833       PFind                   None            0.00    0.00    None            
  5.4600        16.1724           0.0000          0.0000            50.00         2.72          0.0400            0.0000           1.0000       PFind                   None            0.00    0.00    None            
  5.9000        14.9672           0.0000          0.0000            39.17         2.13          0.1000            0.0000           6.2667       PFind                   None            0.00    0.00    None            
  5.9400        14.8665           0.0000          0.0000            40.83         2.22          0.0600            0.0000           2.4500       PFind                   None            0.00    0.00    None            
  6.2400        14.1525           0.0000          0.0000           150.00         8.16          0.0000            0.0000          18.0000       PFind                   None            0.00    0.00    None            
  6.8000        12.9882           0.0000          0.0000            41.67         2.27          0.1000            0.0000           3.3333       PFind                   None            0.00    0.00    None            
  6.9000        12.8002           0.0000          0.0000            38.33         2.09          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  7.0200        12.5816           0.0000          0.0000            40.83         2.22          0.1200            0.0000           3.2667       PFind                   None            0.00    0.00    None            
  7.6800        11.5018           0.0000          0.0000            38.33         2.09          0.0200            0.0000           3.0667       PFind                   None            0.00    0.00    None            
  7.9000        11.1820           0.0000          0.0000            34.17         1.86          0.1400            0.0000           0.6833       PFind                   None            0.00    0.00    None            
  8.4600        10.4430           0.0000          0.0000            36.67         1.99          0.0200            0.0000           0.7333       PFind                   None            0.00    0.00    None            
  8.8800         9.9500           0.0000          0.0000           685.00        37.26          0.1400            0.0000          54.8000       PFind                   None            0.00    0.00    None            
  9.1200         9.6887           0.0000          0.0000            69.17         3.76          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  9.8400         8.9813           0.0000          0.0000            35.83         1.95          0.0000            0.0000           2.1500       PFind                   None            0.00    0.00    None            
 10.5800         8.3547           0.0000          0.0000            39.17         2.13          0.0800            0.0000           0.7833       PFind                   None            0.00    0.00    None            
 12.2000         7.2487           0.0000          0.0000           620.00        33.73          0.1000            0.0000          37.2000       PFind                   None            0.00    0.00    None            
 12.5000         7.0754           0.0000          0.0000           441.67        24.03          0.1400            0.0000          35.3333       PFind                   None            0.00    0.00    None            
 13.8800         6.3749           0.0000          0.0000            35.83         1.95          0.1400            0.0000           2.8667       PFind                   None            0.00    0.00    None            
 17.8400         4.9678           0.0000          0.0000           450.00        24.48          0.0000            0.0000          36.0000       PFind                   None            0.00    0.00    None            
 18.5600         4.7767           0.0000          0.0000            52.50         2.86          0.1000            0.0000           5.2500       PFind                   None            0.00    0.00    None            
 18.8000         4.7162           0.0000          0.0000           175.83         9.56          0.1200            0.0000          17.5833       PFind                   None            0.00    0.00    None            
 19.8200         4.4757           0.0000          0.0000            98.33         5.35          0.0600            0.0000           7.8667       PFind                   None            0.00    0.00    None            
