
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\22_AG_FILTER.pk

File Created:
	April 15, 2019 - 03:35 PM

Specimen Id:
	2.2 AUG FILTER

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.7000        32.6948           0.0000          0.0000            60.00         1.33          0.1600            0.0000           4.8000       PFind                   None            0.00    0.00    None            
  2.8600        30.8660           0.0000          0.0000            68.33         1.51          0.1000            0.0000           2.7333       PFind                   None            0.00    0.00    None            
  2.9800        29.6234           0.0000          0.0000            67.50         1.49          0.1000            0.0000           2.7000       PFind                   None            0.00    0.00    None            
  3.2000        27.5872           0.0000          0.0000            56.67         1.25          0.1000            0.0000           4.5333       PFind                   None            0.00    0.00    None            
  3.4800        25.3682           0.0000          0.0000            50.00         1.10          0.1400            0.0000           2.0000       PFind                   None            0.00    0.00    None            
  3.7400        23.6052           0.0000          0.0000            59.17         1.31          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  3.9200        22.5217           0.0000          0.0000            44.17         0.98          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.1000        21.5333           0.0000          0.0000            45.00         0.99          0.1400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.2800        20.6281           0.0000          0.0000            37.50         0.83          0.0400            0.0000           6.0000       PFind                   None            0.00    0.00    None            
  4.5200        19.5333           0.0000          0.0000            30.83         0.68          0.1400            0.0000           1.8500       PFind                   None            0.00    0.00    None            
  4.7200        18.7061           0.0000          0.0000            31.67         0.70          0.0600            0.0000           2.5333       PFind                   None            0.00    0.00    None            
  4.8200        18.3182           0.0000          0.0000            29.17         0.64          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.0000        17.6591           0.0000          0.0000            35.83         0.79          0.0600            0.0000           2.8667       PFind                   None            0.00    0.00    None            
  5.4200        16.2916           0.0000          0.0000            28.33         0.63          0.0800            0.0000           0.5667       PFind                   None            0.00    0.00    None            
  6.3600        13.8857           0.0000          0.0000           103.33         2.28          0.0600            0.0000          14.4667       PFind                   None            0.00    0.00    None            
  6.9200        12.7632           0.0000          0.0000            32.50         0.72          0.0400            0.0000           0.6500       PFind                   None            0.00    0.00    None            
  7.0800        12.4751           0.0000          0.0000            28.33         0.63          0.0400            0.0000           1.7000       PFind                   None            0.00    0.00    None            
  7.5600        11.6841           0.0000          0.0000            33.33         0.74          0.0800            0.0000           1.3333       PFind                   None            0.00    0.00    None            
  7.7000        11.4720           0.0000          0.0000            29.17         0.64          0.0800            0.0000           0.5833       PFind                   None            0.00    0.00    None            
  8.1800        10.7998           0.0000          0.0000            30.83         0.68          0.1200            0.0000           0.6167       PFind                   None            0.00    0.00    None            
  8.3800        10.5425           0.0000          0.0000            27.50         0.61          0.0600            0.0000           2.2000       PFind                   None            0.00    0.00    None            
  9.0200         9.7959           0.0000          0.0000           912.50        20.15          0.0000            0.0000          73.0000       PFind                   None            0.00    0.00    None            
  9.3000         9.5016           0.0000          0.0000            46.67         1.03          0.1600            0.0000           2.8000       PFind                   None            0.00    0.00    None            
  9.5600         9.2437           0.0000          0.0000            50.00         1.10          0.1200            0.0000           5.0000       PFind                   None            0.00    0.00    None            
 10.3200         8.5646           0.0000          0.0000            30.00         0.66          0.0600            0.0000           1.2000       PFind                   None            0.00    0.00    None            
 10.6800         8.2767           0.0000          0.0000           101.67         2.25          0.0000            0.0000           4.0667       PFind                   None            0.00    0.00    None            
 12.3200         7.1784           0.0000          0.0000           820.00        18.11          0.0000            0.0000          49.2000       PFind                   None            0.00    0.00    None            
 12.6400         6.9974           0.0000          0.0000           420.83         9.30          0.0800            0.0000          50.5000       PFind                   None            0.00    0.00    None            
 12.9800         6.8148           0.0000          0.0000            30.00         0.66          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 13.8200         6.4025           0.0000          0.0000            74.17         1.64          0.1200            0.0000           5.9333       PFind                   None            0.00    0.00    None            
 13.9800         6.3295           0.0000          0.0000            69.17         1.53          0.1000            0.0000           4.1500       PFind                   None            0.00    0.00    None            
 14.2000         6.2320           0.0000          0.0000            38.33         0.85          0.1000            0.0000           3.8333       PFind                   None            0.00    0.00    None            
 15.0600         5.8780           0.0000          0.0000            27.50         0.61          0.0600            0.0000           1.6500       PFind                   None            0.00    0.00    None            
 17.9600         4.9349           0.0000          0.0000           370.00         8.17          0.0800            0.0000          29.6000       PFind                   None            0.00    0.00    None            
 18.7200         4.7362           0.0000          0.0000           175.83         3.88          0.0200            0.0000          21.1000       PFind                   None            0.00    0.00    None            
 18.9200         4.6866           0.0000          0.0000           172.50         3.81          0.0800            0.0000          20.7000       PFind                   None            0.00    0.00    None            
 19.8200         4.4757           0.0000          0.0000            73.33         1.62          0.1200            0.0000           1.4667       PFind                   None            0.00    0.00    None            
