
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\3_2_SEPT_FILTER.pk

File Created:
	April 15, 2019 - 03:05 PM

Specimen Id:
	3.2 SEPT RT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.8000        31.5273           0.0000          0.0000            67.50         5.01          0.1000            0.0000           6.7500       PFind                   None            0.00    0.00    None            
  3.1200        28.2944           0.0000          0.0000            60.83         4.51          0.0400            0.0000           3.6500       PFind                   None            0.00    0.00    None            
  3.2600        27.0796           0.0000          0.0000            60.00         4.45          0.1600            0.0000           4.8000       PFind                   None            0.00    0.00    None            
  3.6200        24.3874           0.0000          0.0000            54.17         4.02          0.0200            0.0000           4.3333       PFind                   None            0.00    0.00    None            
  3.7400        23.6052           0.0000          0.0000            53.33         3.96          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  3.8600        22.8716           0.0000          0.0000            41.67         3.09          0.0600            0.0000           4.1667       PFind                   None            0.00    0.00    None            
  4.0400        21.8530           0.0000          0.0000            45.00         3.34          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.1400        21.3253           0.0000          0.0000            51.67         3.83          0.1600            0.0000           2.0667       PFind                   None            0.00    0.00    None            
  4.5400        19.4473           0.0000          0.0000            45.83         3.40          0.1400            0.0000           0.9167       PFind                   None            0.00    0.00    None            
  5.1400        17.1785           0.0000          0.0000            43.33         3.22          0.1200            0.0000           1.7333       PFind                   None            0.00    0.00    None            
  5.9400        14.8665           0.0000          0.0000            47.50         3.53          0.1200            0.0000           1.9000       PFind                   None            0.00    0.00    None            
  6.2600        14.1073           0.0000          0.0000           124.17         9.21          0.1600            0.0000          17.3833       PFind                   None            0.00    0.00    None            
  6.5000        13.5869           0.0000          0.0000            68.33         5.07          0.0600            0.0000           2.7333       PFind                   None            0.00    0.00    None            
  8.8600         9.9724           0.0000          0.0000           221.67        16.45          0.0000            0.0000          17.7333       PFind                   None            0.00    0.00    None            
 12.1800         7.2606           0.0000          0.0000            90.83         6.74          0.1200            0.0000          14.5333       PFind                   None            0.00    0.00    None            
 12.5000         7.0754           0.0000          0.0000            91.67         6.80          0.0200            0.0000           7.3333       PFind                   None            0.00    0.00    None            
 15.0600         5.8780           0.0000          0.0000            43.33         3.22          0.0800            0.0000           1.7333       PFind                   None            0.00    0.00    None            
 17.8000         4.9789           0.0000          0.0000           112.50         8.35          0.0400            0.0000          11.2500       PFind                   None            0.00    0.00    None            
 20.8600         4.2549           0.0000          0.0000           118.33         8.78          0.0800            0.0000           7.1000       PFind                   None            0.00    0.00    None            
 22.0000         4.0369           0.0000          0.0000            42.50         3.15          0.0600            0.0000           5.1000       PFind                   None            0.00    0.00    None            
 23.5800         3.7699           0.0000          0.0000           185.83        13.79          0.0000            0.0000          18.5833       PFind                   None            0.00    0.00    None            
 24.2600         3.6657           0.0000          0.0000           240.83        17.87          0.0800            0.0000          38.5333       PFind                   None            0.00    0.00    None            
 24.6200         3.6129           0.0000          0.0000            55.00         4.08          0.1000            0.0000           6.6000       PFind                   None            0.00    0.00    None            
 25.1200         3.5421           0.0000          0.0000            58.33         4.33          0.0600            0.0000           1.1667       PFind                   None            0.00    0.00    None            
 25.5000         3.4902           0.0000          0.0000            56.67         4.21          0.0800            0.0000           6.8000       PFind                   None            0.00    0.00    None            
 25.6600         3.4688           0.0000          0.0000            53.33         3.96          0.0400            0.0000           1.0667       PFind                   None            0.00    0.00    None            
 26.6000         3.3483           0.0000          0.0000          1347.50       100.00          0.1000            0.0000         161.7000       PFind                   None            0.00    0.00    None            
 26.8600         3.3165           0.0000          0.0000           334.17        24.80          0.0600            0.0000          46.7833       PFind                   None            0.00    0.00    None            
 27.5000         3.2408           0.0000          0.0000           100.83         7.48          0.1600            0.0000           2.0167       PFind                   None            0.00    0.00    None            
 27.8800         3.1974           0.0000          0.0000           160.83        11.94          0.0200            0.0000          25.7333       PFind                   None            0.00    0.00    None            
 28.2400         3.1575           0.0000          0.0000            48.33         3.59          0.1600            0.0000           7.7333       PFind                   None            0.00    0.00    None            
 28.6800         3.1100           0.0000          0.0000            65.83         4.89          0.1200            0.0000           3.9500       PFind                   None            0.00    0.00    None            
 29.8200         2.9937           0.0000          0.0000           171.67        12.74          0.0400            0.0000          17.1667       PFind                   None            0.00    0.00    None            
 30.4600         2.9322           0.0000          0.0000            75.83         5.63          0.1400            0.0000           9.1000       PFind                   None            0.00    0.00    None            
 31.2400         2.8608           0.0000          0.0000            46.67         3.46          0.0800            0.0000           7.4667       PFind                   None            0.00    0.00    None            
