
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\FIEN\4A_FT.pk

File Created:
	February 25, 2021 - 10:41 AM

Specimen Id:
	4A FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.7400        32.2176           0.0000          0.0000           123.33         8.00          0.0800            0.0000          12.3333       PFind                   None            0.00    0.00    None            
  2.8200        31.3038           0.0000          0.0000           103.33         6.70          0.1200            0.0000          16.5333       PFind                   None            0.00    0.00    None            
  3.1200        28.2944           0.0000          0.0000            70.00         4.54          0.1600            0.0000          11.2000       PFind                   None            0.00    0.00    None            
  3.2200        27.4159           0.0000          0.0000            83.33         5.40          0.1200            0.0000           8.3333       PFind                   None            0.00    0.00    None            
  3.5200        25.0800           0.0000          0.0000            75.00         4.86          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  3.6800        23.9899           0.0000          0.0000            85.83         5.56          0.1000            0.0000           6.8667       PFind                   None            0.00    0.00    None            
  3.7800        23.3555           0.0000          0.0000            74.17         4.81          0.1200            0.0000          10.3833       PFind                   None            0.00    0.00    None            
  3.8800        22.7538           0.0000          0.0000            86.67         5.62          0.0000            0.0000           6.9333       PFind                   None            0.00    0.00    None            
  4.0600        21.7454           0.0000          0.0000            72.50         4.70          0.0400            0.0000           7.2500       PFind                   None            0.00    0.00    None            
  4.1600        21.2229           0.0000          0.0000            89.17         5.78          0.0400            0.0000           1.7833       PFind                   None            0.00    0.00    None            
  4.4000        20.0658           0.0000          0.0000            77.50         5.02          0.0000            0.0000           6.2000       PFind                   None            0.00    0.00    None            
  4.5800        19.2776           0.0000          0.0000            70.83         4.59          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.7400        18.6272           0.0000          0.0000            64.17         4.16          0.1400            0.0000           1.2833       PFind                   None            0.00    0.00    None            
  4.8200        18.3182           0.0000          0.0000            65.00         4.21          0.1200            0.0000           1.3000       PFind                   None            0.00    0.00    None            
  4.9600        17.8015           0.0000          0.0000            75.83         4.92          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.2000        16.9804           0.0000          0.0000            45.00         2.92          0.0600            0.0000           4.5000       PFind                   None            0.00    0.00    None            
  5.4000        16.3519           0.0000          0.0000            70.83         4.59          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.8800        15.0181           0.0000          0.0000           127.50         8.27          0.0800            0.0000          20.4000       PFind                   None            0.00    0.00    None            
  6.1200        14.4297           0.0000          0.0000           187.50        12.16          0.1600            0.0000          30.0000       PFind                   None            0.00    0.00    None            
  6.4000        13.7990           0.0000          0.0000            66.67         4.32          0.1600            0.0000           8.0000       PFind                   None            0.00    0.00    None            
  6.5200        13.5453           0.0000          0.0000            60.83         3.94          0.1200            0.0000           8.5167       PFind                   None            0.00    0.00    None            
  6.6800        13.2212           0.0000          0.0000            65.83         4.27          0.1200            0.0000           9.2167       PFind                   None            0.00    0.00    None            
  6.7800        13.0264           0.0000          0.0000            57.50         3.73          0.0400            0.0000           8.0500       PFind                   None            0.00    0.00    None            
  6.9000        12.8002           0.0000          0.0000            42.50         2.76          0.1600            0.0000           1.7000       PFind                   None            0.00    0.00    None            
  7.1600        12.3359           0.0000          0.0000            50.00         3.24          0.1600            0.0000           4.0000       PFind                   None            0.00    0.00    None            
