
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\4_1_AUG_P_RT.pk

File Created:
	March 04, 2019 - 05:05 AM

Specimen Id:
	4.1 AUG P FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.8200        31.3038           0.0000          0.0000            50.00         1.56          0.1200            0.0000           6.0000       PFind                   None            0.00    0.00    None            
  2.9000        30.4404           0.0000          0.0000            52.50         1.64          0.0800            0.0000           1.0500       PFind                   None            0.00    0.00    None            
  3.0000        29.4259           0.0000          0.0000            56.67         1.77          0.1600            0.0000           2.2667       PFind                   None            0.00    0.00    None            
  3.1000        28.4769           0.0000          0.0000            45.00         1.41          0.1200            0.0000           6.3000       PFind                   None            0.00    0.00    None            
  3.2000        27.5872           0.0000          0.0000            62.50         1.95          0.0800            0.0000           2.5000       PFind                   None            0.00    0.00    None            
  3.3600        26.2739           0.0000          0.0000            38.33         1.20          0.0800            0.0000           3.0667       PFind                   None            0.00    0.00    None            
  3.5200        25.0800           0.0000          0.0000            52.50         1.64          0.1200            0.0000           2.1000       PFind                   None            0.00    0.00    None            
  3.6400        24.2534           0.0000          0.0000            57.50         1.80          0.1600            0.0000           8.0500       PFind                   None            0.00    0.00    None            
  4.0400        21.8530           0.0000          0.0000            45.00         1.41          0.0400            0.0000           1.8000       PFind                   None            0.00    0.00    None            
  4.2400        20.8226           0.0000          0.0000            60.83         1.90          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.5400        19.4473           0.0000          0.0000            45.83         1.43          0.1200            0.0000           4.5833       PFind                   None            0.00    0.00    None            
  4.7000        18.7856           0.0000          0.0000            50.00         1.56          0.1400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.8000        18.3945           0.0000          0.0000            49.17         1.54          0.1600            0.0000           0.9833       PFind                   None            0.00    0.00    None            
  4.9400        17.8735           0.0000          0.0000            38.33         1.20          0.1400            0.0000           4.6000       PFind                   None            0.00    0.00    None            
  5.0600        17.4499           0.0000          0.0000            45.00         1.41          0.1200            0.0000           1.8000       PFind                   None            0.00    0.00    None            
