
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\FIEN\4_22_FT.pk

File Created:
	February 25, 2021 - 10:39 AM

Specimen Id:
	4.22 FILTRE RT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
 58.6200         1.5735           0.0000          0.0000            25.83         0.59          0.1000            0.0000           3.1000       PFind                   None            0.00    0.00    None            
 13.2800         6.6616           0.0000          0.0000            25.83         0.59          0.0600            0.0000           1.0333       PFind                   None            0.00    0.00    None            
 15.0000         5.9014           0.0000          0.0000            25.83         0.59          0.0600            0.0000           2.5833       PFind                   None            0.00    0.00    None            
 16.9800         5.2174           0.0000          0.0000            25.83         0.59          0.0800            0.0000           1.5500       PFind                   None            0.00    0.00    None            
 52.8600         1.7306           0.0000          0.0000            25.83         0.59          0.0400            0.0000           2.0667       PFind                   None            0.00    0.00    None            
 53.1400         1.7221           0.0000          0.0000            25.83         0.59          0.1200            0.0000           1.0333       PFind                   None            0.00    0.00    None            
 58.1600         1.5848           0.0000          0.0000            25.83         0.59          0.0800            0.0000           2.5833       PFind                   None            0.00    0.00    None            
 58.4800         1.5769           0.0000          0.0000            25.83         0.59          0.1200            0.0000           2.5833       PFind                   None            0.00    0.00    None            
 20.0400         4.4271           0.0000          0.0000            26.67         0.61          0.1000            0.0000           0.5333       PFind                   None            0.00    0.00    None            
 46.3000         1.9593           0.0000          0.0000            26.67         0.61          0.0000            0.0000           0.5333       PFind                   None            0.00    0.00    None            
 57.4600         1.6025           0.0000          0.0000            26.67         0.61          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 52.0400         1.7559           0.0000          0.0000            27.50         0.63          0.0400            0.0000           2.2000       PFind                   None            0.00    0.00    None            
 10.7200         8.2459           0.0000          0.0000            27.50         0.63          0.0000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 12.7200         6.9536           0.0000          0.0000            27.50         0.63          0.0400            0.0000           0.5500       PFind                   None            0.00    0.00    None            
 15.5600         5.6902           0.0000          0.0000            27.50         0.63          0.0600            0.0000           0.5500       PFind                   None            0.00    0.00    None            
 16.5200         5.3616           0.0000          0.0000            27.50         0.63          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 44.8200         2.0205           0.0000          0.0000            28.33         0.64          0.0800            0.0000           2.8333       PFind                   None            0.00    0.00    None            
 10.8800         8.1250           0.0000          0.0000            28.33         0.64          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 48.1400         1.8886           0.0000          0.0000            28.33         0.64          0.0800            0.0000           1.1333       PFind                   None            0.00    0.00    None            
  7.6200        11.5922           0.0000          0.0000            30.00         0.68          0.1600            0.0000           1.8000       PFind                   None            0.00    0.00    None            
 19.1400         4.6332           0.0000          0.0000            30.00         0.68          0.0600            0.0000           1.2000       PFind                   None            0.00    0.00    None            
 42.9200         2.1054           0.0000          0.0000            30.00         0.68          0.0600            0.0000           1.2000       PFind                   None            0.00    0.00    None            
 55.6800         1.6494           0.0000          0.0000            30.00         0.68          0.0400            0.0000           3.0000       PFind                   None            0.00    0.00    None            
 11.3000         7.8240           0.0000          0.0000            30.83         0.70          0.1200            0.0000           1.2333       PFind                   None            0.00    0.00    None            
 11.5400         7.6618           0.0000          0.0000            31.67         0.72          0.1000            0.0000           0.6333       PFind                   None            0.00    0.00    None            
 14.3800         6.1544           0.0000          0.0000            31.67         0.72          0.0200            0.0000           1.2667       PFind                   None            0.00    0.00    None            
 16.8800         5.2481           0.0000          0.0000            31.67         0.72          0.1400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 22.2800         3.9868           0.0000          0.0000            31.67         0.72          0.1600            0.0000           5.0667       PFind                   None            0.00    0.00    None            
 61.4800         1.5070           0.0000          0.0000            31.67         0.72          0.1000            0.0000           1.2667       PFind                   None            0.00    0.00    None            
 43.6200         2.0733           0.0000          0.0000            32.50         0.74          0.0600            0.0000           1.9500       PFind                   None            0.00    0.00    None            
 50.5000         1.8058           0.0000          0.0000            32.50         0.74          0.0600            0.0000           5.2000       PFind                   None            0.00    0.00    None            
 63.9400         1.4548           0.0000          0.0000            33.33         0.76          0.0800            0.0000           2.6667       PFind                   None            0.00    0.00    None            
 19.4600         4.5577           0.0000          0.0000            33.33         0.76          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 33.3200         2.6868           0.0000          0.0000            34.17         0.78          0.0400            0.0000           0.6833       PFind                   None            0.00    0.00    None            
 25.6400         3.4715           0.0000          0.0000            34.17         0.78          0.1200            0.0000           1.3667       PFind                   None            0.00    0.00    None            
 15.7200         5.6326           0.0000          0.0000            35.00         0.80          0.0800            0.0000           2.1000       PFind                   None            0.00    0.00    None            
 38.6400         2.3282           0.0000          0.0000            36.67         0.83          0.0800            0.0000           2.9333       PFind                   None            0.00    0.00    None            
