
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\5_2_AG_FILTER.pk

File Created:
	April 15, 2019 - 03:07 PM

Specimen Id:
	5.2 AUGUST AG  FILTER

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.9600        29.8235           0.0000          0.0000            60.83         2.90          0.1600            0.0000           4.8667       PFind                   None            0.00    0.00    None            
  3.1600        27.9364           0.0000          0.0000            65.00         3.10          0.0600            0.0000           7.8000       PFind                   None            0.00    0.00    None            
  3.3200        26.5904           0.0000          0.0000            58.33         2.78          0.0800            0.0000           5.8333       PFind                   None            0.00    0.00    None            
  3.5000        25.2233           0.0000          0.0000            55.00         2.62          0.0200            0.0000           4.4000       PFind                   None            0.00    0.00    None            
  3.8000        23.2326           0.0000          0.0000            48.33         2.31          0.1600            0.0000           2.9000       PFind                   None            0.00    0.00    None            
  4.3400        20.3430           0.0000          0.0000            39.17         1.87          0.0400            0.0000           3.1333       PFind                   None            0.00    0.00    None            
  4.6800        18.8659           0.0000          0.0000            43.33         2.07          0.1600            0.0000           0.8667       PFind                   None            0.00    0.00    None            
  4.7600        18.5490           0.0000          0.0000            37.50         1.79          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.5400        15.9390           0.0000          0.0000            53.33         2.54          0.0800            0.0000           1.0667       PFind                   None            0.00    0.00    None            
  6.2800        14.0624           0.0000          0.0000           119.17         5.68          0.0400            0.0000          16.6833       PFind                   None            0.00    0.00    None            
  8.9000         9.9277           0.0000          0.0000           255.00        12.16          0.0000            0.0000          25.5000       PFind                   None            0.00    0.00    None            
  9.3800         9.4207           0.0000          0.0000            45.00         2.15          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 10.6600         8.2922           0.0000          0.0000           111.67         5.33          0.1200            0.0000          11.1667       PFind                   None            0.00    0.00    None            
 12.2200         7.2369           0.0000          0.0000           390.83        18.64          0.0600            0.0000          46.9000       PFind                   None            0.00    0.00    None            
 12.5400         7.0530           0.0000          0.0000           303.33        14.47          0.0200            0.0000          30.3333       PFind                   None            0.00    0.00    None            
 13.8800         6.3749           0.0000          0.0000            55.00         2.62          0.0600            0.0000           3.3000       PFind                   None            0.00    0.00    None            
 17.8400         4.9678           0.0000          0.0000           146.67         7.00          0.1200            0.0000          14.6667       PFind                   None            0.00    0.00    None            
