
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN\9_2_AUG_P_RT.pk

File Created:
	April 15, 2019 - 03:10 PM

Specimen Id:
	9.2 AUGUST FILTER

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.6800        32.9387           0.0000          0.0000            69.17         3.28          0.0400            0.0000           5.5333       PFind                   None            0.00    0.00    None            
  2.9200        30.2319           0.0000          0.0000            65.00         3.09          0.1400            0.0000          10.4000       PFind                   None            0.00    0.00    None            
  3.0000        29.4259           0.0000          0.0000            70.00         3.32          0.1000            0.0000           5.6000       PFind                   None            0.00    0.00    None            
  3.1000        28.4769           0.0000          0.0000            60.83         2.89          0.0600            0.0000           6.0833       PFind                   None            0.00    0.00    None            
  3.3000        26.7515           0.0000          0.0000            75.83         3.60          0.0200            0.0000           6.0667       PFind                   None            0.00    0.00    None            
  3.4400        25.6631           0.0000          0.0000            68.33         3.24          0.1200            0.0000           4.1000       PFind                   None            0.00    0.00    None            
  3.6000        24.5228           0.0000          0.0000            69.17         3.28          0.1000            0.0000           5.5333       PFind                   None            0.00    0.00    None            
  3.8800        22.7538           0.0000          0.0000            53.33         2.53          0.0600            0.0000           4.2667       PFind                   None            0.00    0.00    None            
  4.1000        21.5333           0.0000          0.0000            41.67         1.98          0.0600            0.0000           4.1667       PFind                   None            0.00    0.00    None            
  4.6200        19.1107           0.0000          0.0000            48.33         2.30          0.1600            0.0000           1.9333       PFind                   None            0.00    0.00    None            
  4.6800        18.8659           0.0000          0.0000            54.17         2.57          0.1400            0.0000           1.0833       PFind                   None            0.00    0.00    None            
  4.8000        18.3945           0.0000          0.0000            42.50         2.02          0.0800            0.0000           1.7000       PFind                   None            0.00    0.00    None            
  5.5400        15.9390           0.0000          0.0000            44.17         2.10          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.7600        15.3307           0.0000          0.0000            41.67         1.98          0.1400            0.0000           1.6667       PFind                   None            0.00    0.00    None            
  5.9600        14.8167           0.0000          0.0000           144.17         6.85          0.1400            0.0000          20.1833       PFind                   None            0.00    0.00    None            
  6.5800        13.4219           0.0000          0.0000            41.67         1.98          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  8.6600        10.2023           0.0000          0.0000           440.00        20.89          0.0800            0.0000          35.2000       PFind                   None            0.00    0.00    None            
  9.2400         9.5631           0.0000          0.0000           109.17         5.18          0.1000            0.0000           8.7333       PFind                   None            0.00    0.00    None            
 10.3000         8.5812           0.0000          0.0000           246.67        11.71          0.0000            0.0000          24.6667       PFind                   None            0.00    0.00    None            
 12.0000         7.3691           0.0000          0.0000           772.50        36.68          0.1000            0.0000          61.8000       PFind                   None            0.00    0.00    None            
 12.1400         7.2844           0.0000          0.0000           345.00        16.38          0.1000            0.0000          55.2000       PFind                   None            0.00    0.00    None            
 17.6000         5.0350           0.0000          0.0000           270.83        12.86          0.0400            0.0000          27.0833       PFind                   None            0.00    0.00    None            
 18.3800         4.8230           0.0000          0.0000           254.17        12.07          0.1400            0.0000          30.5000       PFind                   None            0.00    0.00    None            
 20.6400         4.2997           0.0000          0.0000          1237.50        58.77          0.1600            0.0000          74.2500       PFind                   None            0.00    0.00    None            
 21.8400         4.0661           0.0000          0.0000           110.00         5.22          0.1200            0.0000          11.0000       PFind                   None            0.00    0.00    None            
 22.8600         3.8870           0.0000          0.0000            47.50         2.26          0.1600            0.0000           2.8500       PFind                   None            0.00    0.00    None            
 23.3200         3.8113           0.0000          0.0000            76.67         3.64          0.1600            0.0000           7.6667       PFind                   None            0.00    0.00    None            
 23.6200         3.7636           0.0000          0.0000            77.50         3.68          0.1600            0.0000           3.1000       PFind                   None            0.00    0.00    None            
 23.9600         3.7109           0.0000          0.0000           120.83         5.74          0.1400            0.0000          12.0833       PFind                   None            0.00    0.00    None            
 24.4000         3.6450           0.0000          0.0000           601.67        28.57          0.0600            0.0000          84.2333       PFind                   None            0.00    0.00    None            
 24.6000         3.6158           0.0000          0.0000           280.83        13.34          0.0000            0.0000          44.9333       PFind                   None            0.00    0.00    None            
 24.9400         3.5673           0.0000          0.0000           213.33        10.13          0.0800            0.0000          29.8667       PFind                   None            0.00    0.00    None            
 25.2000         3.5311           0.0000          0.0000           101.67         4.83          0.1000            0.0000          12.2000       PFind                   None            0.00    0.00    None            
 25.4200         3.5010           0.0000          0.0000           181.67         8.63          0.1000            0.0000          18.1667       PFind                   None            0.00    0.00    None            
 26.4200         3.3707           0.0000          0.0000          2105.83       100.00          0.0800            0.0000         210.5833       PFind                   None            0.00    0.00    None            
 26.6600         3.3409           0.0000          0.0000           691.67        32.85          0.0800            0.0000          83.0000       PFind                   None            0.00    0.00    None            
 27.2200         3.2734           0.0000          0.0000           182.50         8.67          0.1600            0.0000          18.2500       PFind                   None            0.00    0.00    None            
 27.6200         3.2269           0.0000          0.0000           919.17        43.65          0.0800            0.0000         110.3000       PFind                   None            0.00    0.00    None            
 28.1000         3.1729           0.0000          0.0000           155.00         7.36          0.0600            0.0000          15.5000       PFind                   None            0.00    0.00    None            
 28.4800         3.1314           0.0000          0.0000           220.83        10.49          0.0800            0.0000          35.3333       PFind                   None            0.00    0.00    None            
 29.7000         3.0055           0.0000          0.0000            43.33         2.06          0.0800            0.0000           6.9333       PFind                   None            0.00    0.00    None            
 30.0400         2.9723           0.0000          0.0000           401.67        19.07          0.0800            0.0000           8.0333       PFind                   None            0.00    0.00    None            
 30.2400         2.9531           0.0000          0.0000            71.67         3.40          0.0600            0.0000           8.6000       PFind                   None            0.00    0.00    None            
 30.6400         2.9154           0.0000          0.0000            74.17         3.52          0.1200            0.0000           4.4500       PFind                   None            0.00    0.00    None            
 31.0200         2.8806           0.0000          0.0000            96.67         4.59          0.1200            0.0000          15.4667       PFind                   None            0.00    0.00    None            
 31.2000         2.8644           0.0000          0.0000           201.67         9.58          0.1000            0.0000          20.1667       PFind                   None            0.00    0.00    None            
 32.0600         2.7895           0.0000          0.0000           150.83         7.16          0.0400            0.0000          15.0833       PFind                   None            0.00    0.00    None            
 32.8800         2.7217           0.0000          0.0000            80.83         3.84          0.1000            0.0000           3.2333       PFind                   None            0.00    0.00    None            
 34.7800         2.5773           0.0000          0.0000            44.17         2.10          0.0600            0.0000           5.3000       PFind                   None            0.00    0.00    None            
 35.3200         2.5391           0.0000          0.0000           168.33         7.99          0.1000            0.0000          23.5667       PFind                   None            0.00    0.00    None            
 35.8600         2.5021           0.0000          0.0000            41.67         1.98          0.0600            0.0000           5.8333       PFind                   None            0.00    0.00    None            
 36.3400         2.4701           0.0000          0.0000           135.83         6.45          0.1600            0.0000           8.1500       PFind                   None            0.00    0.00    None            
 36.9400         2.4314           0.0000          0.0000            58.33         2.77          0.0800            0.0000           4.6667       PFind                   None            0.00    0.00    None            
 37.5400         2.3939           0.0000          0.0000            55.00         2.61          0.1600            0.0000           8.8000       PFind                   None            0.00    0.00    None            
 37.8800         2.3732           0.0000          0.0000           288.33        13.69          0.0200            0.0000          40.3667       PFind                   None            0.00    0.00    None            
 39.2600         2.2929           0.0000          0.0000           144.17         6.85          0.1000            0.0000           8.6500       PFind                   None            0.00    0.00    None            
 40.0800         2.2478           0.0000          0.0000           152.50         7.24          0.1000            0.0000          15.2500       PFind                   None            0.00    0.00    None            
 41.5600         2.1711           0.0000          0.0000            42.50         2.02          0.1200            0.0000           6.8000       PFind                   None            0.00    0.00    None            
 41.6200         2.1682           0.0000          0.0000            48.33         2.30          0.1600            0.0000           7.7333       PFind                   None            0.00    0.00    None            
 42.2400         2.1378           0.0000          0.0000           285.00        13.53          0.0400            0.0000          11.4000       PFind                   None            0.00    0.00    None            
 44.0800         2.0527           0.0000          0.0000           173.33         8.23          0.0600            0.0000          27.7333       PFind                   None            0.00    0.00    None            
 44.4200         2.0378           0.0000          0.0000            45.83         2.18          0.1600            0.0000           5.5000       PFind                   None            0.00    0.00    None            
 44.7200         2.0248           0.0000          0.0000            45.83         2.18          0.1400            0.0000           6.4167       PFind                   None            0.00    0.00    None            
 45.3800         1.9969           0.0000          0.0000           290.00        13.77          0.0400            0.0000          46.4000       PFind                   None            0.00    0.00    None            
 46.9000         1.9356           0.0000          0.0000            70.00         3.32          0.1600            0.0000           4.2000       PFind                   None            0.00    0.00    None            
 47.9400         1.8960           0.0000          0.0000            47.50         2.26          0.0400            0.0000           5.7000       PFind                   None            0.00    0.00    None            
 48.0600         1.8916           0.0000          0.0000            45.83         2.18          0.1200            0.0000           3.6667       PFind                   None            0.00    0.00    None            
 49.7400         1.8316           0.0000          0.0000            40.83         1.94          0.1400            0.0000           4.9000       PFind                   None            0.00    0.00    None            
 49.9600         1.8240           0.0000          0.0000           198.33         9.42          0.0800            0.0000          15.8667       PFind                   None            0.00    0.00    None            
 50.4200         1.8084           0.0000          0.0000            83.33         3.96          0.1200            0.0000           5.0000       PFind                   None            0.00    0.00    None            
 52.3000         1.7478           0.0000          0.0000            63.33         3.01          0.1400            0.0000           3.8000       PFind                   None            0.00    0.00    None            
 54.6600         1.6778           0.0000          0.0000            51.67         2.45          0.1000            0.0000           7.2333       PFind                   None            0.00    0.00    None            
 59.7600         1.5462           0.0000          0.0000            93.33         4.43          0.1000            0.0000           5.6000       PFind                   None            0.00    0.00    None            
 60.4600         1.5299           0.0000          0.0000            40.83         1.94          0.1000            0.0000           4.0833       PFind                   None            0.00    0.00    None            
 64.2200         1.4491           0.0000          0.0000           179.17         8.51          0.1200            0.0000          25.0833       PFind                   None            0.00    0.00    None            
