
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\FIEN\G14A_FT.pk

File Created:
	February 25, 2021 - 10:42 AM

Specimen Id:
	G14 A FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.8000        31.5273           0.0000          0.0000           111.67         7.15          0.1600            0.0000          15.6333       PFind                   None            0.00    0.00    None            
  2.9400        30.0263           0.0000          0.0000            81.67         5.23          0.1400            0.0000           8.1667       PFind                   None            0.00    0.00    None            
  3.2400        27.2467           0.0000          0.0000            79.17         5.07          0.0200            0.0000           3.1667       PFind                   None            0.00    0.00    None            
  3.3200        26.5904           0.0000          0.0000            67.50         4.32          0.1000            0.0000           5.4000       PFind                   None            0.00    0.00    None            
  3.5000        25.2233           0.0000          0.0000            94.17         6.03          0.0600            0.0000           5.6500       PFind                   None            0.00    0.00    None            
  3.6200        24.3874           0.0000          0.0000            96.67         6.19          0.0400            0.0000           5.8000       PFind                   None            0.00    0.00    None            
  3.9200        22.5217           0.0000          0.0000            82.50         5.28          0.0400            0.0000           4.9500       PFind                   None            0.00    0.00    None            
  3.9800        22.1823           0.0000          0.0000            50.83         3.26          0.0000            0.0000           8.1333       PFind                   None            0.00    0.00    None            
  4.3000        20.5322           0.0000          0.0000            69.17         4.43          0.1000            0.0000           2.7667       PFind                   None            0.00    0.00    None            
  4.4800        19.7076           0.0000          0.0000            52.50         3.36          0.1600            0.0000           6.3000       PFind                   None            0.00    0.00    None            
  4.5800        19.2776           0.0000          0.0000            52.50         3.36          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.6600        18.9468           0.0000          0.0000            70.83         4.54          0.1600            0.0000           4.2500       PFind                   None            0.00    0.00    None            
  5.0200        17.5888           0.0000          0.0000            52.50         3.36          0.1600            0.0000           2.1000       PFind                   None            0.00    0.00    None            
  5.1600        17.1119           0.0000          0.0000            47.50         3.04          0.1600            0.0000           3.8000       PFind                   None            0.00    0.00    None            
  5.3600        16.4739           0.0000          0.0000            54.17         3.47          0.1600            0.0000           3.2500       PFind                   None            0.00    0.00    None            
