
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\FIEN\G14_A_BIS_RT.pk

File Created:
	February 25, 2021 - 10:43 AM

Specimen Id:
	G14 A RT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 3 deg.
Stop Angle: 65 deg.
Num Points: 3101
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  4.6800        18.8659           0.0000          0.0000            60.00         3.24          0.0800            0.0000           2.4000       PFind                   None            0.00    0.00    None            
  4.8800        18.0931           0.0000          0.0000            48.33         2.61          0.1200            0.0000           3.8667       PFind                   None            0.00    0.00    None            
  5.0000        17.6591           0.0000          0.0000            60.83         3.28          0.1200            0.0000           3.6500       PFind                   None            0.00    0.00    None            
  5.1000        17.3131           0.0000          0.0000            73.33         3.96          0.0400            0.0000           4.4000       PFind                   None            0.00    0.00    None            
  5.3800        16.4127           0.0000          0.0000            50.00         2.70          0.1000            0.0000           6.0000       PFind                   None            0.00    0.00    None            
  5.7800        15.2777           0.0000          0.0000            68.33         3.69          0.0200            0.0000           2.7333       PFind                   None            0.00    0.00    None            
  6.1400        14.3827           0.0000          0.0000           157.50         8.49          0.1000            0.0000          18.9000       PFind                   None            0.00    0.00    None            
  6.3800        13.8422           0.0000          0.0000            61.67         3.33          0.1000            0.0000           6.1667       PFind                   None            0.00    0.00    None            
  6.7800        13.0264           0.0000          0.0000            64.17         3.46          0.0200            0.0000           3.8500       PFind                   None            0.00    0.00    None            
  6.9600        12.6899           0.0000          0.0000            40.00         2.16          0.0000            0.0000           3.2000       PFind                   None            0.00    0.00    None            
  7.1000        12.4400           0.0000          0.0000            59.17         3.19          0.0200            0.0000           2.3667       PFind                   None            0.00    0.00    None            
  7.2400        12.1998           0.0000          0.0000            36.67         1.98          0.0000            0.0000           0.7333       PFind                   None            0.00    0.00    None            
  7.3200        12.0666           0.0000          0.0000            48.33         2.61          0.0800            0.0000           3.8667       PFind                   None            0.00    0.00    None            
  7.6600        11.5318           0.0000          0.0000            45.00         2.43          0.1000            0.0000           3.6000       PFind                   None            0.00    0.00    None            
  7.9800        11.0701           0.0000          0.0000            46.67         2.52          0.1200            0.0000           2.8000       PFind                   None            0.00    0.00    None            
  8.0600        10.9604           0.0000          0.0000            39.17         2.11          0.0800            0.0000           1.5667       PFind                   None            0.00    0.00    None            
  8.1600        10.8263           0.0000          0.0000            38.33         2.07          0.1600            0.0000           3.8333       PFind                   None            0.00    0.00    None            
  8.7800        10.0631           0.0000          0.0000           814.17        43.91          0.0800            0.0000          65.1333       PFind                   None            0.00    0.00    None            
  9.1000         9.7099           0.0000          0.0000            59.17         3.19          0.1000            0.0000           5.9167       PFind                   None            0.00    0.00    None            
  9.3600         9.4408           0.0000          0.0000            52.50         2.83          0.1400            0.0000           4.2000       PFind                   None            0.00    0.00    None            
  9.5200         9.2825           0.0000          0.0000            40.83         2.20          0.1000            0.0000           5.7167       PFind                   None            0.00    0.00    None            
  9.7000         9.1106           0.0000          0.0000            32.50         1.75          0.1600            0.0000           1.9500       PFind                   None            0.00    0.00    None            
  9.8800         8.9451           0.0000          0.0000            39.17         2.11          0.1400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 10.0400         8.8029           0.0000          0.0000            38.33         2.07          0.1600            0.0000           4.6000       PFind                   None            0.00    0.00    None            
 10.2000         8.6651           0.0000          0.0000            30.83         1.66          0.0600            0.0000           4.3167       PFind                   None            0.00    0.00    None            
 10.4600         8.4503           0.0000          0.0000            63.33         3.42          0.1200            0.0000           7.6000       PFind                   None            0.00    0.00    None            
 10.8000         8.1850           0.0000          0.0000            37.50         2.02          0.1400            0.0000           3.0000       PFind                   None            0.00    0.00    None            
 10.9000         8.1102           0.0000          0.0000            30.83         1.66          0.1200            0.0000           4.3167       PFind                   None            0.00    0.00    None            
 11.2400         7.8656           0.0000          0.0000            32.50         1.75          0.1600            0.0000           1.3000       PFind                   None            0.00    0.00    None            
 11.6600         7.5832           0.0000          0.0000            25.83         1.39          0.0400            0.0000           0.5167       PFind                   None            0.00    0.00    None            
 12.1000         7.3084           0.0000          0.0000           322.50        17.39          0.1200            0.0000          25.8000       PFind                   None            0.00    0.00    None            
 12.4200         7.1208           0.0000          0.0000           324.17        17.48          0.0400            0.0000          38.9000       PFind                   None            0.00    0.00    None            
 12.8200         6.8995           0.0000          0.0000            34.17         1.84          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 13.0200         6.7940           0.0000          0.0000            26.67         1.44          0.0200            0.0000           0.5333       PFind                   None            0.00    0.00    None            
 13.2200         6.6917           0.0000          0.0000            24.17         1.30          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 13.3200         6.6417           0.0000          0.0000            25.00         1.35          0.1200            0.0000           2.0000       PFind                   None            0.00    0.00    None            
 13.6000         6.5055           0.0000          0.0000            31.67         1.71          0.0800            0.0000           3.1667       PFind                   None            0.00    0.00    None            
 13.7600         6.4302           0.0000          0.0000            55.83         3.01          0.0800            0.0000           2.2333       PFind                   None            0.00    0.00    None            
 13.9200         6.3567           0.0000          0.0000            26.67         1.44          0.1000            0.0000           1.6000       PFind                   None            0.00    0.00    None            
 14.8400         5.9646           0.0000          0.0000            40.00         2.16          0.0800            0.0000           3.2000       PFind                   None            0.00    0.00    None            
 15.1400         5.8471           0.0000          0.0000            29.17         1.57          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 15.2800         5.7938           0.0000          0.0000            38.33         2.07          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 15.4400         5.7342           0.0000          0.0000            26.67         1.44          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 15.7200         5.6326           0.0000          0.0000            31.67         1.71          0.0000            0.0000           0.6333       PFind                   None            0.00    0.00    None            
 16.3200         5.4269           0.0000          0.0000            27.50         1.48          0.1600            0.0000           0.5500       PFind                   None            0.00    0.00    None            
 16.8800         5.2481           0.0000          0.0000            24.17         1.30          0.1600            0.0000           0.4833       PFind                   None            0.00    0.00    None            
 17.2200         5.1452           0.0000          0.0000            34.17         1.84          0.1000            0.0000           0.6833       PFind                   None            0.00    0.00    None            
 17.7400         4.9956           0.0000          0.0000           272.50        14.70          0.0600            0.0000          27.2500       PFind                   None            0.00    0.00    None            
 18.3400         4.8335           0.0000          0.0000            29.17         1.57          0.0800            0.0000           2.9167       PFind                   None            0.00    0.00    None            
 18.4600         4.8023           0.0000          0.0000            46.67         2.52          0.1600            0.0000           5.6000       PFind                   None            0.00    0.00    None            
 18.6800         4.7462           0.0000          0.0000           116.67         6.29          0.1200            0.0000          11.6667       PFind                   None            0.00    0.00    None            
 18.9600         4.6768           0.0000          0.0000            24.17         1.30          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 19.3000         4.5952           0.0000          0.0000            33.33         1.80          0.0600            0.0000           2.0000       PFind                   None            0.00    0.00    None            
 19.7400         4.4937           0.0000          0.0000            70.00         3.78          0.0000            0.0000           8.4000       PFind                   None            0.00    0.00    None            
