
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\FIEN\G15_RT.pk

File Created:
	February 25, 2021 - 10:44 AM

Specimen Id:
	G15 RT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 3 deg.
Stop Angle: 65 deg.
Num Points: 3101
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  4.7200        18.7061           0.0000          0.0000            56.67         3.43          0.0200            0.0000           6.8000       PFind                   None            0.00    0.00    None            
  5.0000        17.6591           0.0000          0.0000            49.17         2.97          0.1000            0.0000           2.9500       PFind                   None            0.00    0.00    None            
  5.1800        17.0459           0.0000          0.0000            60.83         3.68          0.0200            0.0000           1.2167       PFind                   None            0.00    0.00    None            
  5.4200        16.2916           0.0000          0.0000            50.00         3.02          0.1000            0.0000           4.0000       PFind                   None            0.00    0.00    None            
  5.9000        14.9672           0.0000          0.0000           399.17        24.14          0.0800            0.0000          47.9000       PFind                   None            0.00    0.00    None            
  6.4000        13.7990           0.0000          0.0000            58.33         3.53          0.0800            0.0000           1.1667       PFind                   None            0.00    0.00    None            
  6.7200        13.1426           0.0000          0.0000            61.67         3.73          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  6.8400        12.9123           0.0000          0.0000            47.50         2.87          0.1600            0.0000           1.9000       PFind                   None            0.00    0.00    None            
  7.0400        12.5459           0.0000          0.0000            45.00         2.72          0.1200            0.0000           1.8000       PFind                   None            0.00    0.00    None            
  7.2600        12.1662           0.0000          0.0000            42.50         2.57          0.1600            0.0000           4.2500       PFind                   None            0.00    0.00    None            
  7.5200        11.7462           0.0000          0.0000            46.67         2.82          0.0400            0.0000           6.5333       PFind                   None            0.00    0.00    None            
  7.7000        11.4720           0.0000          0.0000            51.67         3.13          0.1600            0.0000           1.0333       PFind                   None            0.00    0.00    None            
  7.9400        11.1257           0.0000          0.0000            38.33         2.32          0.1600            0.0000           1.5333       PFind                   None            0.00    0.00    None            
  8.0800        10.9333           0.0000          0.0000            35.00         2.12          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  8.7800        10.0631           0.0000          0.0000           820.00        49.60          0.0600            0.0000          65.6000       PFind                   None            0.00    0.00    None            
  9.0800         9.7313           0.0000          0.0000            52.50         3.18          0.1000            0.0000           5.2500       PFind                   None            0.00    0.00    None            
  9.2000         9.6046           0.0000          0.0000            50.00         3.02          0.0600            0.0000           1.0000       PFind                   None            0.00    0.00    None            
  9.3600         9.4408           0.0000          0.0000            78.33         4.74          0.1000            0.0000           3.1333       PFind                   None            0.00    0.00    None            
  9.5200         9.2825           0.0000          0.0000            33.33         2.02          0.0000            0.0000           4.0000       PFind                   None            0.00    0.00    None            
  9.6400         9.1672           0.0000          0.0000            37.50         2.27          0.0600            0.0000           3.0000       PFind                   None            0.00    0.00    None            
 10.0000         8.8380           0.0000          0.0000            26.67         1.61          0.0200            0.0000           2.6667       PFind                   None            0.00    0.00    None            
 10.4600         8.4503           0.0000          0.0000           126.67         7.66          0.1000            0.0000          12.6667       PFind                   None            0.00    0.00    None            
 10.6800         8.2767           0.0000          0.0000            28.33         1.71          0.1600            0.0000           1.1333       PFind                   None            0.00    0.00    None            
