
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\FIEN\G16_FT.pk

File Created:
	February 25, 2021 - 10:44 AM

Specimen Id:
	G16 FT RT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 2 deg.
Stop Angle: 65 deg.
Num Points: 3151
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  3.7800        23.3555           0.0000          0.0000            90.00         2.45          0.1000            0.0000           5.4000       PFind                   None            0.00    0.00    None            
  3.9400        22.4074           0.0000          0.0000            75.00         2.04          0.1400            0.0000           7.5000       PFind                   None            0.00    0.00    None            
  4.0200        21.9616           0.0000          0.0000            92.50         2.52          0.0000            0.0000           7.4000       PFind                   None            0.00    0.00    None            
  4.2200        20.9212           0.0000          0.0000            73.33         2.00          0.1000            0.0000           1.4667       PFind                   None            0.00    0.00    None            
  4.3400        20.3430           0.0000          0.0000            63.33         1.72          0.1000            0.0000           2.5333       PFind                   None            0.00    0.00    None            
  4.4400        19.8851           0.0000          0.0000            62.50         1.70          0.1600            0.0000           2.5000       PFind                   None            0.00    0.00    None            
  4.6800        18.8659           0.0000          0.0000            77.50         2.11          0.1600            0.0000           1.5500       PFind                   None            0.00    0.00    None            
  4.7600        18.5490           0.0000          0.0000            46.67         1.27          0.0400            0.0000           5.6000       PFind                   None            0.00    0.00    None            
  4.9400        17.8735           0.0000          0.0000            55.00         1.50          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.0000        17.6591           0.0000          0.0000            55.00         1.50          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.2000        16.9804           0.0000          0.0000            55.83         1.52          0.1400            0.0000           1.1167       PFind                   None            0.00    0.00    None            
  5.3600        16.4739           0.0000          0.0000            61.67         1.68          0.1600            0.0000           4.9333       PFind                   None            0.00    0.00    None            
  5.8400        15.1209           0.0000          0.0000           655.83        17.84          0.0200            0.0000          78.7000       PFind                   None            0.00    0.00    None            
  6.1000        14.4770           0.0000          0.0000           506.67        13.78          0.0000            0.0000          60.8000       PFind                   None            0.00    0.00    None            
  6.4400        13.7134           0.0000          0.0000            79.17         2.15          0.1000            0.0000           7.9167       PFind                   None            0.00    0.00    None            
  6.6600        13.2609           0.0000          0.0000            71.67         1.95          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  6.7800        13.0264           0.0000          0.0000            50.83         1.38          0.0800            0.0000           6.1000       PFind                   None            0.00    0.00    None            
  6.9800        12.6536           0.0000          0.0000            40.00         1.09          0.0600            0.0000           0.8000       PFind                   None            0.00    0.00    None            
  7.0600        12.5104           0.0000          0.0000            43.33         1.18          0.1400            0.0000           2.6000       PFind                   None            0.00    0.00    None            
  7.3800        11.9687           0.0000          0.0000            50.00         1.36          0.1600            0.0000           2.0000       PFind                   None            0.00    0.00    None            
  7.9400        11.1257           0.0000          0.0000            43.33         1.18          0.0800            0.0000           3.4667       PFind                   None            0.00    0.00    None            
  8.7600        10.0860           0.0000          0.0000          1640.83        44.64          0.0800            0.0000          98.4500       PFind                   None            0.00    0.00    None            
  9.0600         9.7527           0.0000          0.0000           125.83         3.42          0.0600            0.0000          15.1000       PFind                   None            0.00    0.00    None            
  9.3200         9.4812           0.0000          0.0000           230.00         6.26          0.0200            0.0000          23.0000       PFind                   None            0.00    0.00    None            
  9.6600         9.1483           0.0000          0.0000            40.83         1.11          0.1400            0.0000           3.2667       PFind                   None            0.00    0.00    None            
  9.7600         9.0548           0.0000          0.0000            37.50         1.02          0.0600            0.0000           0.7500       PFind                   None            0.00    0.00    None            
 10.4000         8.4989           0.0000          0.0000           196.67         5.35          0.1000            0.0000          11.8000       PFind                   None            0.00    0.00    None            
 10.9000         8.1102           0.0000          0.0000            35.83         0.97          0.0800            0.0000           1.4333       PFind                   None            0.00    0.00    None            
 11.5800         7.6354           0.0000          0.0000            47.50         1.29          0.0800            0.0000           3.8000       PFind                   None            0.00    0.00    None            
 12.0600         7.3326           0.0000          0.0000          3675.83       100.00          0.0600            0.0000         220.5500       PFind                   None            0.00    0.00    None            
 12.3600         7.1553           0.0000          0.0000           841.67        22.90          0.0400            0.0000         117.8333       PFind                   None            0.00    0.00    None            
 12.8400         6.8888           0.0000          0.0000            38.33         1.04          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 13.2400         6.6816           0.0000          0.0000            49.17         1.34          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 13.2800         6.6616           0.0000          0.0000            42.50         1.16          0.1000            0.0000           3.4000       PFind                   None            0.00    0.00    None            
 13.4200         6.5924           0.0000          0.0000            36.67         1.00          0.0800            0.0000           4.4000       PFind                   None            0.00    0.00    None            
 13.7400         6.4396           0.0000          0.0000            60.00         1.63          0.1600            0.0000           4.8000       PFind                   None            0.00    0.00    None            
 17.7000         5.0068           0.0000          0.0000           559.17        15.21          0.1200            0.0000          44.7333       PFind                   None            0.00    0.00    None            
 18.4400         4.8075           0.0000          0.0000           228.33         6.21          0.0600            0.0000          31.9667       PFind                   None            0.00    0.00    None            
 18.6400         4.7563           0.0000          0.0000           275.00         7.48          0.1200            0.0000          33.0000       PFind                   None            0.00    0.00    None            
 19.2200         4.6141           0.0000          0.0000            38.33         1.04          0.1200            0.0000           4.6000       PFind                   None            0.00    0.00    None            
 19.3200         4.5904           0.0000          0.0000            42.50         1.16          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 19.5600         4.5347           0.0000          0.0000            45.00         1.22          0.0800            0.0000           3.6000       PFind                   None            0.00    0.00    None            
 19.7200         4.4982           0.0000          0.0000            68.33         1.86          0.1200            0.0000           6.8333       PFind                   None            0.00    0.00    None            
 20.7400         4.2792           0.0000          0.0000           290.00         7.89          0.0000            0.0000          23.2000       PFind                   None            0.00    0.00    None            
 21.9400         4.0478           0.0000          0.0000           197.50         5.37          0.1200            0.0000          19.7500       PFind                   None            0.00    0.00    None            
 22.7600         3.9038           0.0000          0.0000            80.00         2.18          0.1200            0.0000           9.6000       PFind                   None            0.00    0.00    None            
 23.4200         3.7953           0.0000          0.0000            99.17         2.70          0.1200            0.0000           5.9500       PFind                   None            0.00    0.00    None            
 24.1800         3.6777           0.0000          0.0000           101.67         2.77          0.1200            0.0000          16.2667       PFind                   None            0.00    0.00    None            
 24.5000         3.6304           0.0000          0.0000          1527.50        41.56          0.0200            0.0000         213.8500       PFind                   None            0.00    0.00    None            
 25.0200         3.5561           0.0000          0.0000           462.50        12.58          0.0000            0.0000          64.7500       PFind                   None            0.00    0.00    None            
 25.2800         3.5201           0.0000          0.0000           164.17         4.47          0.0800            0.0000          16.4167       PFind                   None            0.00    0.00    None            
 26.5200         3.3582           0.0000          0.0000          2202.50        59.92          0.1000            0.0000         220.2500       PFind                   None            0.00    0.00    None            
 26.7600         3.3287           0.0000          0.0000          1313.33        35.73          0.0400            0.0000         183.8667       PFind                   None            0.00    0.00    None            
 27.1400         3.2829           0.0000          0.0000            49.17         1.34          0.1600            0.0000           0.9833       PFind                   None            0.00    0.00    None            
 27.4000         3.2524           0.0000          0.0000           130.83         3.56          0.0800            0.0000          15.7000       PFind                   None            0.00    0.00    None            
 27.8000         3.2065           0.0000          0.0000           342.50         9.32          0.0800            0.0000          54.8000       PFind                   None            0.00    0.00    None            
 28.4800         3.1314           0.0000          0.0000           225.83         6.14          0.0400            0.0000          22.5833       PFind                   None            0.00    0.00    None            
 29.7400         3.0016           0.0000          0.0000           204.17         5.55          0.0600            0.0000          24.5000       PFind                   None            0.00    0.00    None            
 29.9400         2.9820           0.0000          0.0000            71.67         1.95          0.0800            0.0000          11.4667       PFind                   None            0.00    0.00    None            
 30.1200         2.9646           0.0000          0.0000            85.00         2.31          0.0600            0.0000          11.9000       PFind                   None            0.00    0.00    None            
 30.7600         2.9043           0.0000          0.0000           101.67         2.77          0.1400            0.0000           2.0333       PFind                   None            0.00    0.00    None            
 31.0400         2.8788           0.0000          0.0000           141.67         3.85          0.0200            0.0000          14.1667       PFind                   None            0.00    0.00    None            
 31.4400         2.8430           0.0000          0.0000            91.67         2.49          0.1000            0.0000           7.3333       PFind                   None            0.00    0.00    None            
 32.0000         2.7945           0.0000          0.0000            80.00         2.18          0.0200            0.0000           6.4000       PFind                   None            0.00    0.00    None            
 32.1800         2.7793           0.0000          0.0000           113.33         3.08          0.0000            0.0000           9.0667       PFind                   None            0.00    0.00    None            
 32.9600         2.7153           0.0000          0.0000            83.33         2.27          0.1000            0.0000          10.0000       PFind                   None            0.00    0.00    None            
 33.9200         2.6406           0.0000          0.0000            38.33         1.04          0.1000            0.0000           6.1333       PFind                   None            0.00    0.00    None            
 34.4200         2.6034           0.0000          0.0000            91.67         2.49          0.0800            0.0000          11.0000       PFind                   None            0.00    0.00    None            
 34.9000         2.5687           0.0000          0.0000           118.33         3.22          0.0000            0.0000          18.9333       PFind                   None            0.00    0.00    None            
 35.4400         2.5308           0.0000          0.0000           458.33        12.47          0.0200            0.0000          73.3333       PFind                   None            0.00    0.00    None            
 35.9800         2.4940           0.0000          0.0000            79.17         2.15          0.1600            0.0000          12.6667       PFind                   None            0.00    0.00    None            
 36.4000         2.4662           0.0000          0.0000           305.83         8.32          0.1000            0.0000          30.5833       PFind                   None            0.00    0.00    None            
 37.0800         2.4225           0.0000          0.0000           112.50         3.06          0.1200            0.0000          18.0000       PFind                   None            0.00    0.00    None            
 37.2800         2.4100           0.0000          0.0000            83.33         2.27          0.1400            0.0000          13.3333       PFind                   None            0.00    0.00    None            
 37.5400         2.3939           0.0000          0.0000            84.17         2.29          0.1400            0.0000          13.4667       PFind                   None            0.00    0.00    None            
 37.5800         2.3914           0.0000          0.0000            90.00         2.45          0.0800            0.0000          14.4000       PFind                   None            0.00    0.00    None            
 38.7200         2.3236           0.0000          0.0000            63.33         1.72          0.1600            0.0000           8.8667       PFind                   None            0.00    0.00    None            
 39.3400         2.2884           0.0000          0.0000           110.00         2.99          0.0800            0.0000          11.0000       PFind                   None            0.00    0.00    None            
 40.2600         2.2382           0.0000          0.0000            50.00         1.36          0.1600            0.0000           6.0000       PFind                   None            0.00    0.00    None            
 40.8600         2.2067           0.0000          0.0000            37.50         1.02          0.0800            0.0000           0.7500       PFind                   None            0.00    0.00    None            
 41.6200         2.1682           0.0000          0.0000           136.67         3.72          0.0400            0.0000          21.8667       PFind                   None            0.00    0.00    None            
 41.8600         2.1563           0.0000          0.0000           103.33         2.81          0.0800            0.0000          16.5333       PFind                   None            0.00    0.00    None            
 42.3400         2.1329           0.0000          0.0000           112.50         3.06          0.0800            0.0000          18.0000       PFind                   None            0.00    0.00    None            
 42.9400         2.1045           0.0000          0.0000            38.33         1.04          0.1400            0.0000           3.0667       PFind                   None            0.00    0.00    None            
 43.4200         2.0824           0.0000          0.0000            45.83         1.25          0.1600            0.0000           0.9167       PFind                   None            0.00    0.00    None            
 44.1800         2.0483           0.0000          0.0000            37.50         1.02          0.1000            0.0000           0.7500       PFind                   None            0.00    0.00    None            
 44.8600         2.0188           0.0000          0.0000            80.83         2.20          0.1400            0.0000          12.9333       PFind                   None            0.00    0.00    None            
 45.0600         2.0103           0.0000          0.0000            51.67         1.41          0.1600            0.0000           8.2667       PFind                   None            0.00    0.00    None            
 45.4800         1.9927           0.0000          0.0000           319.17         8.68          0.1200            0.0000          51.0667       PFind                   None            0.00    0.00    None            
 47.1000         1.9279           0.0000          0.0000            40.83         1.11          0.1200            0.0000           4.0833       PFind                   None            0.00    0.00    None            
