
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\FIEN\G25_RT.pk

File Created:
	February 25, 2021 - 10:47 AM

Specimen Id:
	G 25 RT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 3 deg.
Stop Angle: 65 deg.
Num Points: 3101
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  4.6800        18.8659           0.0000          0.0000            65.83         2.60          0.0400            0.0000           3.9500       PFind                   None            0.00    0.00    None            
  4.8600        18.1675           0.0000          0.0000            64.17         2.53          0.1000            0.0000           6.4167       PFind                   None            0.00    0.00    None            
  5.0800        17.3812           0.0000          0.0000            77.50         3.06          0.0600            0.0000           3.1000       PFind                   None            0.00    0.00    None            
  5.3000        16.6602           0.0000          0.0000            53.33         2.10          0.1600            0.0000           6.4000       PFind                   None            0.00    0.00    None            
  5.5600        15.8817           0.0000          0.0000            60.00         2.37          0.1000            0.0000           6.0000       PFind                   None            0.00    0.00    None            
  5.9000        14.9672           0.0000          0.0000           148.33         5.85          0.0400            0.0000          14.8333       PFind                   None            0.00    0.00    None            
  6.1600        14.3361           0.0000          0.0000           148.33         5.85          0.0800            0.0000          14.8333       PFind                   None            0.00    0.00    None            
  6.4400        13.7134           0.0000          0.0000            70.83         2.79          0.0400            0.0000           5.6667       PFind                   None            0.00    0.00    None            
  6.5400        13.5039           0.0000          0.0000            50.00         1.97          0.1600            0.0000           7.0000       PFind                   None            0.00    0.00    None            
  6.6400        13.3008           0.0000          0.0000            55.00         2.17          0.0400            0.0000           4.4000       PFind                   None            0.00    0.00    None            
  6.8800        12.8373           0.0000          0.0000            46.67         1.84          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  6.9800        12.6536           0.0000          0.0000            48.33         1.91          0.1000            0.0000           3.8667       PFind                   None            0.00    0.00    None            
  7.2400        12.1998           0.0000          0.0000            40.00         1.58          0.1000            0.0000           3.2000       PFind                   None            0.00    0.00    None            
  7.4000        11.9364           0.0000          0.0000            35.83         1.41          0.0400            0.0000           5.0167       PFind                   None            0.00    0.00    None            
  7.6800        11.5018           0.0000          0.0000            40.00         1.58          0.0800            0.0000           2.4000       PFind                   None            0.00    0.00    None            
  7.8800        11.2103           0.0000          0.0000            52.50         2.07          0.1200            0.0000           1.0500       PFind                   None            0.00    0.00    None            
  8.2200        10.7474           0.0000          0.0000            40.00         1.58          0.1400            0.0000           3.2000       PFind                   None            0.00    0.00    None            
  8.3600        10.5677           0.0000          0.0000            39.17         1.55          0.0400            0.0000           3.9167       PFind                   None            0.00    0.00    None            
  8.8000        10.0403           0.0000          0.0000           718.33        28.34          0.1000            0.0000          57.4667       PFind                   None            0.00    0.00    None            
  9.0800         9.7313           0.0000          0.0000            80.83         3.19          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  9.3800         9.4207           0.0000          0.0000            80.83         3.19          0.0000            0.0000           4.8500       PFind                   None            0.00    0.00    None            
  9.7000         9.1106           0.0000          0.0000            40.00         1.58          0.1000            0.0000           4.0000       PFind                   None            0.00    0.00    None            
  9.8600         8.9632           0.0000          0.0000            35.00         1.38          0.0200            0.0000           2.1000       PFind                   None            0.00    0.00    None            
 10.0200         8.8204           0.0000          0.0000            34.17         1.35          0.0400            0.0000           2.7333       PFind                   None            0.00    0.00    None            
 10.1200         8.7335           0.0000          0.0000            27.50         1.08          0.1400            0.0000           2.2000       PFind                   None            0.00    0.00    None            
 10.4200         8.4827           0.0000          0.0000           172.50         6.80          0.1000            0.0000          13.8000       PFind                   None            0.00    0.00    None            
 10.6800         8.2767           0.0000          0.0000            35.83         1.41          0.0600            0.0000           1.4333       PFind                   None            0.00    0.00    None            
 10.9600         8.0659           0.0000          0.0000            33.33         1.31          0.0800            0.0000           3.3333       PFind                   None            0.00    0.00    None            
 11.1000         7.9645           0.0000          0.0000            27.50         1.08          0.0800            0.0000           0.5500       PFind                   None            0.00    0.00    None            
 11.2400         7.8656           0.0000          0.0000            35.00         1.38          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 11.4000         7.7556           0.0000          0.0000            30.00         1.18          0.0400            0.0000           0.6000       PFind                   None            0.00    0.00    None            
 12.1200         7.2964           0.0000          0.0000           732.50        28.90          0.0400            0.0000          43.9500       PFind                   None            0.00    0.00    None            
 12.4200         7.1208           0.0000          0.0000           409.17        16.14          0.1000            0.0000          32.7333       PFind                   None            0.00    0.00    None            
 12.9800         6.8148           0.0000          0.0000            38.33         1.51          0.1600            0.0000           0.7667       PFind                   None            0.00    0.00    None            
 13.3000         6.6516           0.0000          0.0000            30.83         1.22          0.0000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 13.4800         6.5632           0.0000          0.0000            30.83         1.22          0.0800            0.0000           2.4667       PFind                   None            0.00    0.00    None            
 13.5600         6.5246           0.0000          0.0000            41.67         1.64          0.0800            0.0000           1.6667       PFind                   None            0.00    0.00    None            
 13.7800         6.4210           0.0000          0.0000           142.50         5.62          0.1000            0.0000           8.5500       PFind                   None            0.00    0.00    None            
 14.2000         6.2320           0.0000          0.0000            35.00         1.38          0.0600            0.0000           0.7000       PFind                   None            0.00    0.00    None            
 14.3800         6.1544           0.0000          0.0000            28.33         1.12          0.0800            0.0000           0.5667       PFind                   None            0.00    0.00    None            
 15.7400         5.6255           0.0000          0.0000            30.83         1.22          0.0800            0.0000           1.2333       PFind                   None            0.00    0.00    None            
 15.9200         5.5623           0.0000          0.0000            27.50         1.08          0.0600            0.0000           0.5500       PFind                   None            0.00    0.00    None            
 16.1200         5.4938           0.0000          0.0000            30.83         1.22          0.0400            0.0000           1.2333       PFind                   None            0.00    0.00    None            
 16.6200         5.3296           0.0000          0.0000            37.50         1.48          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 17.7600         4.9900           0.0000          0.0000           243.33         9.60          0.0200            0.0000          24.3333       PFind                   None            0.00    0.00    None            
 18.3600         4.8282           0.0000          0.0000            39.17         1.55          0.0400            0.0000           1.5667       PFind                   None            0.00    0.00    None            
 18.5000         4.7920           0.0000          0.0000            45.83         1.81          0.0400            0.0000           4.5833       PFind                   None            0.00    0.00    None            
 18.7200         4.7362           0.0000          0.0000           138.33         5.46          0.0200            0.0000          13.8333       PFind                   None            0.00    0.00    None            
 19.4400         4.5624           0.0000          0.0000            35.00         1.38          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 19.8000         4.4802           0.0000          0.0000            63.33         2.50          0.0000            0.0000          10.1333       PFind                   None            0.00    0.00    None            
 20.7800         4.2711           0.0000          0.0000           381.67        15.06          0.1400            0.0000          38.1667       PFind                   None            0.00    0.00    None            
 21.9600         4.0442           0.0000          0.0000           153.33         6.05          0.0800            0.0000          15.3333       PFind                   None            0.00    0.00    None            
 22.8400         3.8903           0.0000          0.0000            60.83         2.40          0.1200            0.0000           7.3000       PFind                   None            0.00    0.00    None            
 23.0000         3.8636           0.0000          0.0000            62.50         2.47          0.1000            0.0000           6.2500       PFind                   None            0.00    0.00    None            
 23.4600         3.7889           0.0000          0.0000            69.17         2.73          0.0000            0.0000           9.6833       PFind                   None            0.00    0.00    None            
 23.7400         3.7448           0.0000          0.0000            27.50         1.08          0.0800            0.0000           2.2000       PFind                   None            0.00    0.00    None            
 24.0800         3.6927           0.0000          0.0000            35.00         1.38          0.1000            0.0000           4.9000       PFind                   None            0.00    0.00    None            
 24.2000         3.6747           0.0000          0.0000            55.83         2.20          0.0200            0.0000           5.5833       PFind                   None            0.00    0.00    None            
 24.5400         3.6245           0.0000          0.0000           338.33        13.35          0.0000            0.0000          40.6000       PFind                   None            0.00    0.00    None            
 24.8400         3.5814           0.0000          0.0000            56.67         2.24          0.1400            0.0000           1.1333       PFind                   None            0.00    0.00    None            
 25.1000         3.5449           0.0000          0.0000           254.17        10.03          0.0600            0.0000          30.5000       PFind                   None            0.00    0.00    None            
 25.3000         3.5173           0.0000          0.0000           298.33        11.77          0.0800            0.0000          11.9333       PFind                   None            0.00    0.00    None            
 26.5600         3.3533           0.0000          0.0000          2535.00       100.00          0.0600            0.0000         253.5000       PFind                   None            0.00    0.00    None            
 26.7800         3.3262           0.0000          0.0000           747.50        29.49          0.1000            0.0000         119.6000       PFind                   None            0.00    0.00    None            
 27.4200         3.2500           0.0000          0.0000           241.67         9.53          0.0800            0.0000          29.0000       PFind                   None            0.00    0.00    None            
 27.8200         3.2042           0.0000          0.0000           530.83        20.94          0.1000            0.0000          63.7000       PFind                   None            0.00    0.00    None            
 28.5400         3.1250           0.0000          0.0000           106.67         4.21          0.0600            0.0000           4.2667       PFind                   None            0.00    0.00    None            
 29.6600         3.0095           0.0000          0.0000            41.67         1.64          0.0800            0.0000           3.3333       PFind                   None            0.00    0.00    None            
