
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\FIEN\G29_FT.pk

File Created:
	February 25, 2021 - 10:48 AM

Specimen Id:
	G29  FT RT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 2 deg.
Stop Angle: 65 deg.
Num Points: 3151
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
 48.5400         1.8740           0.0000          0.0000            25.83         0.36          0.0600            0.0000           2.0667       PFind                   None            0.00    0.00    None            
 15.2000         5.8241           0.0000          0.0000            25.83         0.36          0.1000            0.0000           0.5167       PFind                   None            0.00    0.00    None            
 15.5400         5.6975           0.0000          0.0000            26.67         0.37          0.0000            0.0000           1.6000       PFind                   None            0.00    0.00    None            
 40.5600         2.2223           0.0000          0.0000            26.67         0.37          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 46.5800         1.9482           0.0000          0.0000            26.67         0.37          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 52.7000         1.7354           0.0000          0.0000            26.67         0.37          0.0200            0.0000           0.5333       PFind                   None            0.00    0.00    None            
 46.0000         1.9714           0.0000          0.0000            27.50         0.38          0.0800            0.0000           1.1000       PFind                   None            0.00    0.00    None            
 44.4800         2.0352           0.0000          0.0000            27.50         0.38          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 23.8600         3.7263           0.0000          0.0000            28.33         0.39          0.0800            0.0000           0.5667       PFind                   None            0.00    0.00    None            
 41.1800         2.1903           0.0000          0.0000            28.33         0.39          0.0200            0.0000           2.8333       PFind                   None            0.00    0.00    None            
  9.9800         8.8557           0.0000          0.0000            28.33         0.39          0.1000            0.0000           2.2667       PFind                   None            0.00    0.00    None            
 11.1800         7.9077           0.0000          0.0000            28.33         0.39          0.1200            0.0000           2.2667       PFind                   None            0.00    0.00    None            
 16.9200         5.2358           0.0000          0.0000            29.17         0.40          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 17.2800         5.1275           0.0000          0.0000            29.17         0.40          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
