
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\FIEN\G30_RT.pk

File Created:
	February 25, 2021 - 10:49 AM

Specimen Id:
	G30  RT GRINDED

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 3 deg.
Stop Angle: 65 deg.
Num Points: 3101
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  4.8200        18.3182           0.0000          0.0000            59.17         2.55          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.9600        17.8015           0.0000          0.0000            59.17         2.55          0.0000            0.0000           1.1833       PFind                   None            0.00    0.00    None            
  5.0800        17.3812           0.0000          0.0000            57.50         2.48          0.1600            0.0000           3.4500       PFind                   None            0.00    0.00    None            
  5.2400        16.8509           0.0000          0.0000            56.67         2.44          0.0800            0.0000           5.6667       PFind                   None            0.00    0.00    None            
  5.3600        16.4739           0.0000          0.0000            58.33         2.51          0.0600            0.0000           3.5000       PFind                   None            0.00    0.00    None            
  5.6800        15.5465           0.0000          0.0000            67.50         2.91          0.0000            0.0000           6.7500       PFind                   None            0.00    0.00    None            
  5.9000        14.9672           0.0000          0.0000           139.17         6.00          0.1000            0.0000          16.7000       PFind                   None            0.00    0.00    None            
  6.1400        14.3827           0.0000          0.0000           118.33         5.10          0.0200            0.0000          16.5667       PFind                   None            0.00    0.00    None            
  6.3200        13.9735           0.0000          0.0000            65.00         2.80          0.0400            0.0000           7.8000       PFind                   None            0.00    0.00    None            
  6.5400        13.5039           0.0000          0.0000            53.33         2.30          0.0800            0.0000           1.0667       PFind                   None            0.00    0.00    None            
  6.7000        13.1818           0.0000          0.0000            46.67         2.01          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  6.9600        12.6899           0.0000          0.0000            35.83         1.54          0.0800            0.0000           1.4333       PFind                   None            0.00    0.00    None            
  7.0600        12.5104           0.0000          0.0000            54.17         2.33          0.1600            0.0000           2.1667       PFind                   None            0.00    0.00    None            
  7.2600        12.1662           0.0000          0.0000            37.50         1.62          0.1200            0.0000           2.2500       PFind                   None            0.00    0.00    None            
  7.3800        11.9687           0.0000          0.0000            40.83         1.76          0.1200            0.0000           5.7167       PFind                   None            0.00    0.00    None            
  7.5400        11.7150           0.0000          0.0000            40.83         1.76          0.1400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  7.8600        11.2388           0.0000          0.0000            45.83         1.98          0.0400            0.0000           0.9167       PFind                   None            0.00    0.00    None            
  8.0400        10.9876           0.0000          0.0000            38.33         1.65          0.1600            0.0000           3.0667       PFind                   None            0.00    0.00    None            
  8.2600        10.6954           0.0000          0.0000            52.50         2.26          0.0600            0.0000           2.1000       PFind                   None            0.00    0.00    None            
