
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\GEO\G32_RT.pk

File Created:
	February 25, 2021 - 09:39 AM

Specimen Id:
	G32_RT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 3 deg.
Stop Angle: 65 deg.
Num Points: 3101
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  4.7000        18.7856           0.0000          0.0000            62.50         2.28          0.1000            0.0000           6.2500       PFind                   None            0.00    0.00    None            
  4.8600        18.1675           0.0000          0.0000            50.00         1.82          0.0800            0.0000           4.0000       PFind                   None            0.00    0.00    None            
  5.0000        17.6591           0.0000          0.0000            54.17         1.98          0.0800            0.0000           5.4167       PFind                   None            0.00    0.00    None            
  5.2200        16.9154           0.0000          0.0000            40.83         1.49          0.1000            0.0000           3.2667       PFind                   None            0.00    0.00    None            
  5.4000        16.3519           0.0000          0.0000            50.83         1.86          0.0200            0.0000           3.0500       PFind                   None            0.00    0.00    None            
  5.4800        16.1134           0.0000          0.0000            48.33         1.76          0.0200            0.0000           3.8667       PFind                   None            0.00    0.00    None            
  5.6600        15.6013           0.0000          0.0000            50.00         1.82          0.1200            0.0000           1.0000       PFind                   None            0.00    0.00    None            
  5.7800        15.2777           0.0000          0.0000            50.83         1.86          0.0000            0.0000           4.0667       PFind                   None            0.00    0.00    None            
  5.9200        14.9167           0.0000          0.0000            72.50         2.65          0.1200            0.0000          11.6000       PFind                   None            0.00    0.00    None            
  6.1000        14.4770           0.0000          0.0000           130.83         4.77          0.0800            0.0000          15.7000       PFind                   None            0.00    0.00    None            
  6.3000        14.0178           0.0000          0.0000            39.17         1.43          0.0000            0.0000           0.7833       PFind                   None            0.00    0.00    None            
  6.4400        13.7134           0.0000          0.0000            59.17         2.16          0.1000            0.0000           2.3667       PFind                   None            0.00    0.00    None            
  6.6600        13.2609           0.0000          0.0000            41.67         1.52          0.0600            0.0000           4.1667       PFind                   None            0.00    0.00    None            
  6.9400        12.7265           0.0000          0.0000            49.17         1.79          0.0800            0.0000           7.8667       PFind                   None            0.00    0.00    None            
  7.1600        12.3359           0.0000          0.0000            45.83         1.67          0.0200            0.0000           5.5000       PFind                   None            0.00    0.00    None            
  7.4000        11.9364           0.0000          0.0000            42.50         1.55          0.0200            0.0000           3.4000       PFind                   None            0.00    0.00    None            
  7.5400        11.7150           0.0000          0.0000            49.17         1.79          0.0400            0.0000           3.9333       PFind                   None            0.00    0.00    None            
  7.7200        11.4423           0.0000          0.0000            35.83         1.31          0.1400            0.0000           3.5833       PFind                   None            0.00    0.00    None            
  7.8400        11.2674           0.0000          0.0000            35.00         1.28          0.0800            0.0000           4.2000       PFind                   None            0.00    0.00    None            
  8.1000        10.9063           0.0000          0.0000            38.33         1.40          0.1000            0.0000           3.8333       PFind                   None            0.00    0.00    None            
  8.2600        10.6954           0.0000          0.0000            55.00         2.01          0.1200            0.0000           2.2000       PFind                   None            0.00    0.00    None            
  8.4200        10.4925           0.0000          0.0000            59.17         2.16          0.0400            0.0000           2.3667       PFind                   None            0.00    0.00    None            
  8.7800        10.0631           0.0000          0.0000           705.83        25.76          0.0800            0.0000          70.5833       PFind                   None            0.00    0.00    None            
  9.0000         9.8176           0.0000          0.0000            57.50         2.10          0.0200            0.0000           3.4500       PFind                   None            0.00    0.00    None            
  9.1400         9.6675           0.0000          0.0000            39.17         1.43          0.1600            0.0000           3.1333       PFind                   None            0.00    0.00    None            
  9.3400         9.4610           0.0000          0.0000            40.00         1.46          0.1400            0.0000           3.2000       PFind                   None            0.00    0.00    None            
  9.5000         9.3020           0.0000          0.0000            27.50         1.00          0.1200            0.0000           1.1000       PFind                   None            0.00    0.00    None            
  9.5600         9.2437           0.0000          0.0000            39.17         1.43          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  9.6800         9.1294           0.0000          0.0000            36.67         1.34          0.1600            0.0000           4.4000       PFind                   None            0.00    0.00    None            
  9.8800         8.9451           0.0000          0.0000            28.33         1.03          0.1000            0.0000           3.4000       PFind                   None            0.00    0.00    None            
 10.0200         8.8204           0.0000          0.0000            37.50         1.37          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 10.3800         8.5153           0.0000          0.0000           125.00         4.56          0.0400            0.0000          10.0000       PFind                   None            0.00    0.00    None            
 10.6600         8.2922           0.0000          0.0000            34.17         1.25          0.1200            0.0000           2.0500       PFind                   None            0.00    0.00    None            
 10.7600         8.2154           0.0000          0.0000            42.50         1.55          0.0400            0.0000           2.5500       PFind                   None            0.00    0.00    None            
 11.0600         7.9932           0.0000          0.0000            29.17         1.06          0.0400            0.0000           2.3333       PFind                   None            0.00    0.00    None            
 11.1200         7.9502           0.0000          0.0000            31.67         1.16          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
