
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\FIEN\G48A_FT.pk

File Created:
	February 25, 2021 - 10:50 AM

Specimen Id:
	G48A FT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 1 deg.
Stop Angle: 65 deg.
Num Points: 3201
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  2.9600        29.8235           0.0000          0.0000          7141.67       100.00          0.0400            0.0000         285.6667       PFind                   None            0.00    0.00    None            
  3.1200        28.2944           0.0000          0.0000           904.17        12.66          0.0000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  3.9200        22.5217           0.0000          0.0000           605.83         8.48          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.1400        21.3253           0.0000          0.0000           680.00         9.52          0.1400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.2400        20.8226           0.0000          0.0000           328.33         4.60          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  4.5200        19.5333           0.0000          0.0000          2454.17        34.36          0.0000            0.0000         343.5833       PFind                   None            0.00    0.00    None            
  5.6000        15.7684           0.0000          0.0000           208.33         2.92          0.0800            0.0000          33.3333       PFind                   None            0.00    0.00    None            
  5.7800        15.2777           0.0000          0.0000           155.83         2.18          0.0400            0.0000          24.9333       PFind                   None            0.00    0.00    None            
  5.8600        15.0693           0.0000          0.0000           156.67         2.19          0.0000            0.0000          25.0667       PFind                   None            0.00    0.00    None            
  5.9400        14.8665           0.0000          0.0000           141.67         1.98          0.1600            0.0000          22.6667       PFind                   None            0.00    0.00    None            
  6.1600        14.3361           0.0000          0.0000           109.17         1.53          0.0800            0.0000          15.2833       PFind                   None            0.00    0.00    None            
  6.3000        14.0178           0.0000          0.0000           139.17         1.95          0.1200            0.0000          11.1333       PFind                   None            0.00    0.00    None            
  6.5400        13.5039           0.0000          0.0000           128.33         1.80          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  6.7400        13.1037           0.0000          0.0000            81.67         1.14          0.1600            0.0000          13.0667       PFind                   None            0.00    0.00    None            
  6.8000        12.9882           0.0000          0.0000            60.83         0.85          0.1600            0.0000           9.7333       PFind                   None            0.00    0.00    None            
  7.0000        12.6175           0.0000          0.0000            64.17         0.90          0.0800            0.0000           5.1333       PFind                   None            0.00    0.00    None            
  7.2000        12.2675           0.0000          0.0000            60.83         0.85          0.1200            0.0000           7.3000       PFind                   None            0.00    0.00    None            
  7.3600        12.0011           0.0000          0.0000            68.33         0.96          0.0800            0.0000           4.1000       PFind                   None            0.00    0.00    None            
  7.4400        11.8723           0.0000          0.0000            44.17         0.62          0.1600            0.0000           7.0667       PFind                   None            0.00    0.00    None            
  7.5800        11.6533           0.0000          0.0000            74.17         1.04          0.0000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  7.6800        11.5018           0.0000          0.0000            45.83         0.64          0.1000            0.0000           1.8333       PFind                   None            0.00    0.00    None            
  7.9200        11.1538           0.0000          0.0000            51.67         0.72          0.1600            0.0000           1.0333       PFind                   None            0.00    0.00    None            
  8.1600        10.8263           0.0000          0.0000            49.17         0.69          0.1600            0.0000           7.8667       PFind                   None            0.00    0.00    None            
  8.2000        10.7735           0.0000          0.0000            50.00         0.70          0.1600            0.0000           6.0000       PFind                   None            0.00    0.00    None            
  8.2400        10.7213           0.0000          0.0000            55.00         0.77          0.1600            0.0000           4.4000       PFind                   None            0.00    0.00    None            
  8.3800        10.5425           0.0000          0.0000            77.50         1.09          0.1600            0.0000           1.5500       PFind                   None            0.00    0.00    None            
  8.8800         9.9500           0.0000          0.0000            52.50         0.74          0.0200            0.0000           5.2500       PFind                   None            0.00    0.00    None            
  9.2000         9.6046           0.0000          0.0000            66.67         0.93          0.1600            0.0000          10.6667       PFind                   None            0.00    0.00    None            
  9.3200         9.4812           0.0000          0.0000            66.67         0.93          0.1000            0.0000          10.6667       PFind                   None            0.00    0.00    None            
  9.5200         9.2825           0.0000          0.0000            70.00         0.98          0.1600            0.0000           5.6000       PFind                   None            0.00    0.00    None            
  9.7200         9.0919           0.0000          0.0000            38.33         0.54          0.1600            0.0000           5.3667       PFind                   None            0.00    0.00    None            
  9.8800         8.9451           0.0000          0.0000            42.50         0.60          0.1400            0.0000           3.4000       PFind                   None            0.00    0.00    None            
  9.9800         8.8557           0.0000          0.0000            59.17         0.83          0.1600            0.0000           3.5500       PFind                   None            0.00    0.00    None            
 10.1400         8.7163           0.0000          0.0000            40.00         0.56          0.1400            0.0000           2.4000       PFind                   None            0.00    0.00    None            
 10.3600         8.5317           0.0000          0.0000            47.50         0.67          0.1600            0.0000           3.8000       PFind                   None            0.00    0.00    None            
 10.4600         8.4503           0.0000          0.0000            36.67         0.51          0.1600            0.0000           1.4667       PFind                   None            0.00    0.00    None            
 10.8000         8.1850           0.0000          0.0000            39.17         0.55          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 10.8800         8.1250           0.0000          0.0000            39.17         0.55          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 11.0200         8.0221           0.0000          0.0000            45.00         0.63          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 11.1800         7.9077           0.0000          0.0000            35.00         0.49          0.1600            0.0000           2.8000       PFind                   None            0.00    0.00    None            
 11.4400         7.7285           0.0000          0.0000            45.00         0.63          0.1600            0.0000           0.9000       PFind                   None            0.00    0.00    None            
 12.0200         7.3569           0.0000          0.0000           130.00         1.82          0.1000            0.0000          20.8000       PFind                   None            0.00    0.00    None            
 12.5000         7.0754           0.0000          0.0000            41.67         0.58          0.1000            0.0000           6.6667       PFind                   None            0.00    0.00    None            
 12.5800         7.0306           0.0000          0.0000            41.67         0.58          0.0200            0.0000           6.6667       PFind                   None            0.00    0.00    None            
 12.7400         6.9427           0.0000          0.0000            29.17         0.41          0.0400            0.0000           0.5833       PFind                   None            0.00    0.00    None            
 12.9800         6.8148           0.0000          0.0000            40.00         0.56          0.0400            0.0000           4.0000       PFind                   None            0.00    0.00    None            
 13.1600         6.7220           0.0000          0.0000            32.50         0.46          0.0600            0.0000           0.6500       PFind                   None            0.00    0.00    None            
 13.3000         6.6516           0.0000          0.0000            40.83         0.57          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 13.4600         6.5729           0.0000          0.0000            41.67         0.58          0.0600            0.0000           5.0000       PFind                   None            0.00    0.00    None            
 13.6200         6.4960           0.0000          0.0000            55.00         0.77          0.1600            0.0000           8.8000       PFind                   None            0.00    0.00    None            
 13.6800         6.4677           0.0000          0.0000            60.83         0.85          0.1200            0.0000           4.8667       PFind                   None            0.00    0.00    None            
 14.0600         6.2937           0.0000          0.0000            31.67         0.44          0.1600            0.0000           0.6333       PFind                   None            0.00    0.00    None            
