
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\GEO\G67_RT.pk

File Created:
	February 25, 2021 - 09:55 AM

Specimen Id:
	G67_RT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 3 deg.
Stop Angle: 65 deg.
Num Points: 3101
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  4.8000        18.3945           0.0000          0.0000            58.33         2.17          0.0600            0.0000           7.0000       PFind                   None            0.00    0.00    None            
  4.9000        18.0193           0.0000          0.0000            59.17         2.20          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.2000        16.9804           0.0000          0.0000            90.00         3.35          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.3400        16.5355           0.0000          0.0000            70.83         2.64          0.0200            0.0000           2.8333       PFind                   None            0.00    0.00    None            
  5.6600        15.6013           0.0000          0.0000            56.67         2.11          0.0000            0.0000           1.1333       PFind                   None            0.00    0.00    None            
  6.1400        14.3827           0.0000          0.0000           145.83         5.43          0.0400            0.0000          17.5000       PFind                   None            0.00    0.00    None            
  6.5200        13.5453           0.0000          0.0000            51.67         1.92          0.1200            0.0000           4.1333       PFind                   None            0.00    0.00    None            
  6.8400        12.9123           0.0000          0.0000            50.83         1.89          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  7.1200        12.4051           0.0000          0.0000            38.33         1.43          0.0800            0.0000           2.3000       PFind                   None            0.00    0.00    None            
