
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\GEO\GG_11A_SFT.pk

File Created:
	February 25, 2021 - 10:21 AM

Specimen Id:
	GG_11A_SFT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 3 deg.
Stop Angle: 65 deg.
Num Points: 3101
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  4.7000        18.7856           0.0000          0.0000            40.83         1.51          0.0800            0.0000           3.2667       PFind                   None            0.00    0.00    None            
  4.7400        18.6272           0.0000          0.0000            49.17         1.82          0.1400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.0200        17.5888           0.0000          0.0000            46.67         1.72          0.0000            0.0000           0.9333       PFind                   None            0.00    0.00    None            
  5.2000        16.9804           0.0000          0.0000            44.17         1.63          0.0400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.4600        16.1724           0.0000          0.0000            25.83         0.95          0.0800            0.0000           1.0333       PFind                   None            0.00    0.00    None            
  5.5400        15.9390           0.0000          0.0000            26.67         0.99          0.1200            0.0000           1.0667       PFind                   None            0.00    0.00    None            
  5.6200        15.7123           0.0000          0.0000            52.50         1.94          0.0200            0.0000           1.0500       PFind                   None            0.00    0.00    None            
  5.9000        14.9672           0.0000          0.0000            57.50         2.12          0.0200            0.0000           9.2000       PFind                   None            0.00    0.00    None            
  6.2800        14.0624           0.0000          0.0000           610.83        22.57          0.0800            0.0000          97.7333       PFind                   None            0.00    0.00    None            
  6.7400        13.1037           0.0000          0.0000           119.17         4.40          0.0600            0.0000          19.0667       PFind                   None            0.00    0.00    None            
  6.9600        12.6899           0.0000          0.0000            80.83         2.99          0.1600            0.0000          12.9333       PFind                   None            0.00    0.00    None            
  7.0200        12.5816           0.0000          0.0000            85.83         3.17          0.1400            0.0000           6.8667       PFind                   None            0.00    0.00    None            
  7.3800        11.9687           0.0000          0.0000            55.00         2.03          0.0400            0.0000           4.4000       PFind                   None            0.00    0.00    None            
  7.4200        11.9042           0.0000          0.0000            61.67         2.28          0.1600            0.0000           2.4667       PFind                   None            0.00    0.00    None            
  7.6400        11.5619           0.0000          0.0000            42.50         1.57          0.0000            0.0000           3.4000       PFind                   None            0.00    0.00    None            
