
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\GEO\GG_11B_SFT.pk

File Created:
	February 25, 2021 - 10:22 AM

Specimen Id:
	GG_11B_SFT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 3 deg.
Stop Angle: 65 deg.
Num Points: 3101
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  4.7600        18.5490           0.0000          0.0000            55.83         0.81          0.1600            0.0000           3.3500       PFind                   None            0.00    0.00    None            
  4.8800        18.0931           0.0000          0.0000            50.00         0.73          0.0200            0.0000           2.0000       PFind                   None            0.00    0.00    None            
  5.0600        17.4499           0.0000          0.0000            49.17         0.71          0.0200            0.0000           0.9833       PFind                   None            0.00    0.00    None            
  5.1400        17.1785           0.0000          0.0000            28.33         0.41          0.1600            0.0000           0.5667       PFind                   None            0.00    0.00    None            
  5.3600        16.4739           0.0000          0.0000            41.67         0.61          0.0000            0.0000           2.5000       PFind                   None            0.00    0.00    None            
  5.4600        16.1724           0.0000          0.0000            25.00         0.36          0.0000            0.0000           1.0000       PFind                   None            0.00    0.00    None            
  5.5800        15.8248           0.0000          0.0000            30.00         0.44          0.0000            0.0000           0.6000       PFind                   None            0.00    0.00    None            
  6.2600        14.1073           0.0000          0.0000           662.50         9.62          0.1600            0.0000         106.0000       PFind                   None            0.00    0.00    None            
  6.8400        12.9123           0.0000          0.0000            87.50         1.27          0.0000            0.0000          14.0000       PFind                   None            0.00    0.00    None            
  7.0400        12.5459           0.0000          0.0000            80.00         1.16          0.0600            0.0000           6.4000       PFind                   None            0.00    0.00    None            
  7.1200        12.4051           0.0000          0.0000            70.83         1.03          0.0000            0.0000          11.3333       PFind                   None            0.00    0.00    None            
  7.4000        11.9364           0.0000          0.0000            52.50         0.76          0.0000            0.0000           3.1500       PFind                   None            0.00    0.00    None            
  7.5600        11.6841           0.0000          0.0000            69.17         1.00          0.1200            0.0000           1.3833       PFind                   None            0.00    0.00    None            
  7.7800        11.3542           0.0000          0.0000            66.67         0.97          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  7.8800        11.2103           0.0000          0.0000            36.67         0.53          0.0000            0.0000           2.2000       PFind                   None            0.00    0.00    None            
  8.2600        10.6954           0.0000          0.0000           101.67         1.48          0.1400            0.0000          10.1667       PFind                   None            0.00    0.00    None            
  8.9400         9.8834           0.0000          0.0000          1064.17        15.46          0.0200            0.0000         127.7000       PFind                   None            0.00    0.00    None            
  9.5200         9.2825           0.0000          0.0000           190.83         2.77          0.0000            0.0000          22.9000       PFind                   None            0.00    0.00    None            
  9.8200         8.9996           0.0000          0.0000            42.50         0.62          0.0000            0.0000           5.9500       PFind                   None            0.00    0.00    None            
 10.0600         8.7854           0.0000          0.0000            32.50         0.47          0.0000            0.0000           1.9500       PFind                   None            0.00    0.00    None            
 10.2200         8.6482           0.0000          0.0000            38.33         0.56          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 10.5400         8.3864           0.0000          0.0000           170.83         2.48          0.0600            0.0000          17.0833       PFind                   None            0.00    0.00    None            
 10.8000         8.1850           0.0000          0.0000            38.33         0.56          0.0000            0.0000           2.3000       PFind                   None            0.00    0.00    None            
 10.9800         8.0513           0.0000          0.0000            26.67         0.39          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 11.2600         7.8517           0.0000          0.0000            22.50         0.33          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 11.7600         7.5189           0.0000          0.0000            55.83         0.81          0.0200            0.0000           6.7000       PFind                   None            0.00    0.00    None            
 12.2600         7.2134           0.0000          0.0000          1934.17        28.09          0.0200            0.0000         232.1000       PFind                   None            0.00    0.00    None            
 12.5400         7.0530           0.0000          0.0000          1282.50        18.63          0.0600            0.0000         179.5500       PFind                   None            0.00    0.00    None            
 13.0600         6.7733           0.0000          0.0000            35.83         0.52          0.1000            0.0000           1.4333       PFind                   None            0.00    0.00    None            
 13.3200         6.6417           0.0000          0.0000            33.33         0.48          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 13.5000         6.5535           0.0000          0.0000            41.67         0.61          0.0200            0.0000           2.5000       PFind                   None            0.00    0.00    None            
 13.8000         6.4117           0.0000          0.0000            36.67         0.53          0.0200            0.0000           0.7333       PFind                   None            0.00    0.00    None            
 13.9400         6.3476           0.0000          0.0000            39.17         0.57          0.0800            0.0000           6.2667       PFind                   None            0.00    0.00    None            
 14.1200         6.2671           0.0000          0.0000            30.83         0.45          0.0800            0.0000           0.6167       PFind                   None            0.00    0.00    None            
 14.4200         6.1374           0.0000          0.0000            15.00         0.22          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 14.4600         6.1205           0.0000          0.0000            26.67         0.39          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 14.7800         5.9887           0.0000          0.0000            25.00         0.36          0.0400            0.0000           0.5000       PFind                   None            0.00    0.00    None            
 15.0000         5.9014           0.0000          0.0000            29.17         0.42          0.0800            0.0000           0.5833       PFind                   None            0.00    0.00    None            
 15.1800         5.8318           0.0000          0.0000            22.50         0.33          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 15.3600         5.7638           0.0000          0.0000            31.67         0.46          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 15.5400         5.6975           0.0000          0.0000            26.67         0.39          0.0400            0.0000           0.5333       PFind                   None            0.00    0.00    None            
 15.6200         5.6685           0.0000          0.0000            19.17         0.28          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 15.7800         5.6114           0.0000          0.0000            21.67         0.31          0.0200            0.0000           1.7333       PFind                   None            0.00    0.00    None            
 15.8800         5.5763           0.0000          0.0000            20.00         0.29          0.0000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 16.3200         5.4269           0.0000          0.0000            21.67         0.31          0.0000            0.0000           1.3000       PFind                   None            0.00    0.00    None            
 16.5400         5.3552           0.0000          0.0000            20.00         0.29          0.0400            0.0000           0.4000       PFind                   None            0.00    0.00    None            
 16.6200         5.3296           0.0000          0.0000            17.50         0.25          0.1600            0.0000           0.3500       PFind                   None            0.00    0.00    None            
 16.7800         5.2791           0.0000          0.0000            15.83         0.23          0.0000            0.0000           0.6333       PFind                   None            0.00    0.00    None            
 16.9800         5.2174           0.0000          0.0000            18.33         0.27          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 17.2000         5.1512           0.0000          0.0000            22.50         0.33          0.0600            0.0000           0.4500       PFind                   None            0.00    0.00    None            
 17.3600         5.1040           0.0000          0.0000            15.00         0.22          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 17.8600         4.9623           0.0000          0.0000           289.17         4.20          0.0200            0.0000          34.7000       PFind                   None            0.00    0.00    None            
 18.8400         4.7063           0.0000          0.0000           370.00         5.37          0.0600            0.0000          51.8000       PFind                   None            0.00    0.00    None            
 19.2800         4.5999           0.0000          0.0000            28.33         0.41          0.1600            0.0000           0.5667       PFind                   None            0.00    0.00    None            
 19.4600         4.5577           0.0000          0.0000            21.67         0.31          0.1400            0.0000           2.1667       PFind                   None            0.00    0.00    None            
 19.7800         4.4847           0.0000          0.0000            25.83         0.38          0.0600            0.0000           0.5167       PFind                   None            0.00    0.00    None            
 19.8400         4.4713           0.0000          0.0000            30.83         0.45          0.1200            0.0000           1.8500       PFind                   None            0.00    0.00    None            
 20.0800         4.4184           0.0000          0.0000            21.67         0.31          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 20.2000         4.3924           0.0000          0.0000            20.83         0.30          0.0200            0.0000           0.4167       PFind                   None            0.00    0.00    None            
 20.3800         4.3540           0.0000          0.0000            22.50         0.33          0.0200            0.0000           0.4500       PFind                   None            0.00    0.00    None            
 20.9400         4.2388           0.0000          0.0000            73.33         1.07          0.0000            0.0000           8.8000       PFind                   None            0.00    0.00    None            
 21.0800         4.2110           0.0000          0.0000            36.67         0.53          0.0000            0.0000           2.9333       PFind                   None            0.00    0.00    None            
 21.3200         4.1641           0.0000          0.0000            27.50         0.40          0.0600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 21.7000         4.0920           0.0000          0.0000            19.17         0.28          0.0800            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 21.9000         4.0551           0.0000          0.0000            20.00         0.29          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 22.1400         4.0117           0.0000          0.0000            62.50         0.91          0.0400            0.0000           3.7500       PFind                   None            0.00    0.00    None            
 22.3800         3.9692           0.0000          0.0000            15.00         0.22          0.0200            0.0000           1.2000       PFind                   None            0.00    0.00    None            
 22.7600         3.9038           0.0000          0.0000            15.83         0.23          0.0600            0.0000           0.6333       PFind                   None            0.00    0.00    None            
 23.1400         3.8406           0.0000          0.0000            20.83         0.30          0.1200            0.0000           1.2500       PFind                   None            0.00    0.00    None            
 23.5800         3.7699           0.0000          0.0000            63.33         0.92          0.1400            0.0000           5.0667       PFind                   None            0.00    0.00    None            
 24.6800         3.6043           0.0000          0.0000           675.00         9.80          0.1600            0.0000         108.0000       PFind                   None            0.00    0.00    None            
 25.2000         3.5311           0.0000          0.0000           541.67         7.87          0.0800            0.0000          86.6667       PFind                   None            0.00    0.00    None            
 25.6800         3.4662           0.0000          0.0000            44.17         0.64          0.0000            0.0000           4.4167       PFind                   None            0.00    0.00    None            
 25.9200         3.4346           0.0000          0.0000            16.67         0.24          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 26.1400         3.4062           0.0000          0.0000            23.33         0.34          0.0800            0.0000           1.4000       PFind                   None            0.00    0.00    None            
 26.9400         3.3068           0.0000          0.0000           472.50         6.86          0.1600            0.0000          75.6000       PFind                   None            0.00    0.00    None            
 27.4000         3.2524           0.0000          0.0000            24.17         0.35          0.0800            0.0000           0.9667       PFind                   None            0.00    0.00    None            
 27.6000         3.2292           0.0000          0.0000            54.17         0.79          0.0200            0.0000           4.3333       PFind                   None            0.00    0.00    None            
 27.9800         3.1862           0.0000          0.0000           169.17         2.46          0.1000            0.0000          27.0667       PFind                   None            0.00    0.00    None            
 28.6600         3.1122           0.0000          0.0000           136.67         1.98          0.1200            0.0000          19.1333       PFind                   None            0.00    0.00    None            
 29.1400         3.0620           0.0000          0.0000            16.67         0.24          0.0200            0.0000           0.3333       PFind                   None            0.00    0.00    None            
 29.7400         3.0016           0.0000          0.0000            18.33         0.27          0.0400            0.0000           0.3667       PFind                   None            0.00    0.00    None            
 29.9200         2.9839           0.0000          0.0000            29.17         0.42          0.0600            0.0000           1.7500       PFind                   None            0.00    0.00    None            
 30.3800         2.9398           0.0000          0.0000            25.83         0.38          0.0200            0.0000           1.0333       PFind                   None            0.00    0.00    None            
 30.5200         2.9266           0.0000          0.0000            27.50         0.40          0.0000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 30.8800         2.8933           0.0000          0.0000            29.17         0.42          0.0400            0.0000           2.3333       PFind                   None            0.00    0.00    None            
 31.3200         2.8537           0.0000          0.0000            35.00         0.51          0.0200            0.0000           5.6000       PFind                   None            0.00    0.00    None            
 31.6200         2.8273           0.0000          0.0000            85.83         1.25          0.1000            0.0000          12.0167       PFind                   None            0.00    0.00    None            
 31.9400         2.7997           0.0000          0.0000            25.83         0.38          0.0200            0.0000           2.5833       PFind                   None            0.00    0.00    None            
 32.0400         2.7911           0.0000          0.0000            36.67         0.53          0.0400            0.0000           0.7333       PFind                   None            0.00    0.00    None            
 32.1200         2.7844           0.0000          0.0000            35.83         0.52          0.0200            0.0000           2.8667       PFind                   None            0.00    0.00    None            
 32.3400         2.7659           0.0000          0.0000            60.83         0.88          0.0000            0.0000           8.5167       PFind                   None            0.00    0.00    None            
 32.8000         2.7282           0.0000          0.0000            17.50         0.25          0.1200            0.0000           0.3500       PFind                   None            0.00    0.00    None            
