
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\GEO\GG_14_SFT.pk

File Created:
	February 25, 2021 - 10:24 AM

Specimen Id:
	GG_14_SFT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 3 deg.
Stop Angle: 65 deg.
Num Points: 3101
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  4.6600        18.9468           0.0000          0.0000            54.17         3.34          0.1600            0.0000           2.1667       PFind                   None            0.00    0.00    None            
  4.7800        18.4714           0.0000          0.0000            43.33         2.67          0.0400            0.0000           0.8667       PFind                   None            0.00    0.00    None            
  4.9000        18.0193           0.0000          0.0000            35.83         2.21          0.1200            0.0000           5.0167       PFind                   None            0.00    0.00    None            
  5.0800        17.3812           0.0000          0.0000            46.67         2.88          0.0600            0.0000           2.8000       PFind                   None            0.00    0.00    None            
  5.3200        16.5976           0.0000          0.0000            43.33         2.67          0.0800            0.0000           5.2000       PFind                   None            0.00    0.00    None            
  5.4800        16.1134           0.0000          0.0000            58.33         3.60          0.1600            0.0000           3.5000       PFind                   None            0.00    0.00    None            
  5.7400        15.3841           0.0000          0.0000            36.67         2.26          0.0600            0.0000           2.2000       PFind                   None            0.00    0.00    None            
  6.0400        14.6206           0.0000          0.0000            57.50         3.54          0.1000            0.0000           9.2000       PFind                   None            0.00    0.00    None            
  6.2200        14.1979           0.0000          0.0000            93.33         5.75          0.1600            0.0000          13.0667       PFind                   None            0.00    0.00    None            
  6.4800        13.6288           0.0000          0.0000            65.00         4.01          0.1200            0.0000           7.8000       PFind                   None            0.00    0.00    None            
  6.6800        13.2212           0.0000          0.0000            47.50         2.93          0.1400            0.0000           3.8000       PFind                   None            0.00    0.00    None            
  6.7400        13.1037           0.0000          0.0000            46.67         2.88          0.1400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  6.8400        12.9123           0.0000          0.0000            35.83         2.21          0.1400            0.0000           3.5833       PFind                   None            0.00    0.00    None            
  7.0200        12.5816           0.0000          0.0000            49.17         3.03          0.0800            0.0000           0.9833       PFind                   None            0.00    0.00    None            
  7.1600        12.3359           0.0000          0.0000            40.83         2.52          0.1000            0.0000           4.0833       PFind                   None            0.00    0.00    None            
  7.4000        11.9364           0.0000          0.0000            32.50         2.00          0.1600            0.0000           1.3000       PFind                   None            0.00    0.00    None            
  8.1600        10.8263           0.0000          0.0000            33.33         2.05          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
