
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\GEO\GG_22_SFT.pk

File Created:
	February 25, 2021 - 10:30 AM

Specimen Id:
	GG 22 SFT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 3 deg.
Stop Angle: 65 deg.
Num Points: 3101
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
 19.5200         4.5439           0.0000          0.0000            25.00         2.12          0.0400            0.0000           0.5000       PFind                   None            0.00    0.00    None            
 20.5600         4.3163           0.0000          0.0000            25.00         2.12          0.1000            0.0000           1.5000       PFind                   None            0.00    0.00    None            
 29.4200         3.0335           0.0000          0.0000            25.00         2.12          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 41.0400         2.1974           0.0000          0.0000            25.00         2.12          0.1600            0.0000           1.0000       PFind                   None            0.00    0.00    None            
 41.4400         2.1772           0.0000          0.0000            25.00         2.12          0.1000            0.0000           0.5000       PFind                   None            0.00    0.00    None            
 41.6000         2.1692           0.0000          0.0000            25.00         2.12          0.1600            0.0000           1.5000       PFind                   None            0.00    0.00    None            
 58.9200         1.5662           0.0000          0.0000            25.00         2.12          0.0600            0.0000           2.0000       PFind                   None            0.00    0.00    None            
 13.2000         6.7018           0.0000          0.0000            25.00         2.12          0.1400            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 13.8000         6.4117           0.0000          0.0000            26.67         2.26          0.1200            0.0000           2.6667       PFind                   None            0.00    0.00    None            
 34.1200         2.6256           0.0000          0.0000            26.67         2.26          0.1000            0.0000           2.6667       PFind                   None            0.00    0.00    None            
 40.1200         2.2457           0.0000          0.0000            26.67         2.26          0.0200            0.0000           1.6000       PFind                   None            0.00    0.00    None            
 48.7000         1.8682           0.0000          0.0000            26.67         2.26          0.0800            0.0000           1.0667       PFind                   None            0.00    0.00    None            
 58.7800         1.5696           0.0000          0.0000            26.67         2.26          0.0200            0.0000           1.0667       PFind                   None            0.00    0.00    None            
 62.9600         1.4751           0.0000          0.0000            26.67         2.26          0.0800            0.0000           2.6667       PFind                   None            0.00    0.00    None            
  8.0600        10.9604           0.0000          0.0000            27.50         2.33          0.0400            0.0000           2.7500       PFind                   None            0.00    0.00    None            
 52.8600         1.7306           0.0000          0.0000            27.50         2.33          0.1200            0.0000           0.5500       PFind                   None            0.00    0.00    None            
 15.2000         5.8241           0.0000          0.0000            28.33         2.40          0.1200            0.0000           2.2667       PFind                   None            0.00    0.00    None            
  7.9800        11.0701           0.0000          0.0000            28.33         2.40          0.1200            0.0000           1.1333       PFind                   None            0.00    0.00    None            
 39.1000         2.3019           0.0000          0.0000            28.33         2.40          0.0800            0.0000           0.5667       PFind                   None            0.00    0.00    None            
 63.9800         1.4540           0.0000          0.0000            28.33         2.40          0.1400            0.0000           1.1333       PFind                   None            0.00    0.00    None            
 44.3400         2.0413           0.0000          0.0000            29.17         2.47          0.0200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 47.4200         1.9156           0.0000          0.0000            29.17         2.47          0.0200            0.0000           2.9167       PFind                   None            0.00    0.00    None            
 52.4200         1.7440           0.0000          0.0000            29.17         2.47          0.0800            0.0000           2.3333       PFind                   None            0.00    0.00    None            
 16.0000         5.5347           0.0000          0.0000            30.00         2.54          0.1000            0.0000           1.2000       PFind                   None            0.00    0.00    None            
 26.1200         3.4088           0.0000          0.0000            30.00         2.54          0.1600            0.0000           0.0000       PFind                   None            0.00    0.00    None            
 52.3400         1.7465           0.0000          0.0000            30.00         2.54          0.0400            0.0000           3.0000       PFind                   None            0.00    0.00    None            
 11.2400         7.8656           0.0000          0.0000            30.83         2.61          0.1200            0.0000           0.6167       PFind                   None            0.00    0.00    None            
 13.4200         6.5924           0.0000          0.0000            30.83         2.61          0.0600            0.0000           0.6167       PFind                   None            0.00    0.00    None            
 22.5000         3.9483           0.0000          0.0000            30.83         2.61          0.1600            0.0000           3.0833       PFind                   None            0.00    0.00    None            
 52.7000         1.7354           0.0000          0.0000            30.83         2.61          0.0400            0.0000           0.6167       PFind                   None            0.00    0.00    None            
  7.2600        12.1662           0.0000          0.0000            31.67         2.69          0.0400            0.0000           5.0667       PFind                   None            0.00    0.00    None            
 10.3000         8.5812           0.0000          0.0000            31.67         2.69          0.0800            0.0000           1.9000       PFind                   None            0.00    0.00    None            
 48.5000         1.8754           0.0000          0.0000            31.67         2.69          0.1000            0.0000           2.5333       PFind                   None            0.00    0.00    None            
 59.5400         1.5514           0.0000          0.0000            31.67         2.69          0.1400            0.0000           0.6333       PFind                   None            0.00    0.00    None            
 60.7800         1.5226           0.0000          0.0000            31.67         2.69          0.1600            0.0000           3.8000       PFind                   None            0.00    0.00    None            
 43.7000         2.0697           0.0000          0.0000            31.67         2.69          0.1000            0.0000           2.5333       PFind                   None            0.00    0.00    None            
 43.0800         2.0980           0.0000          0.0000            32.50         2.76          0.1600            0.0000           2.6000       PFind                   None            0.00    0.00    None            
 47.2800         1.9210           0.0000          0.0000            32.50         2.76          0.0000            0.0000           4.5500       PFind                   None            0.00    0.00    None            
 49.3600         1.8448           0.0000          0.0000            32.50         2.76          0.0800            0.0000           1.3000       PFind                   None            0.00    0.00    None            
 55.5000         1.6543           0.0000          0.0000            32.50         2.76          0.0800            0.0000           3.9000       PFind                   None            0.00    0.00    None            
  7.7600        11.3834           0.0000          0.0000            32.50         2.76          0.1600            0.0000           0.6500       PFind                   None            0.00    0.00    None            
  8.2000        10.7735           0.0000          0.0000            33.33         2.83          0.1200            0.0000           2.6667       PFind                   None            0.00    0.00    None            
 37.1800         2.4162           0.0000          0.0000            33.33         2.83          0.0600            0.0000           2.0000       PFind                   None            0.00    0.00    None            
 61.0600         1.5163           0.0000          0.0000            33.33         2.83          0.1200            0.0000           5.3333       PFind                   None            0.00    0.00    None            
 36.1000         2.4860           0.0000          0.0000            34.17         2.90          0.0600            0.0000           2.0500       PFind                   None            0.00    0.00    None            
