
Filename:
	C:\Program Files\Thermo Electron\WinXRD\Datafiles\FIEN2\GEO\GG_3_SFT.pk

File Created:
	February 25, 2021 - 10:15 AM

Specimen Id:
	GG3 SFT

Specimen Name:
	

Specimen Description:
	

Comment:
Scan Type: 2Theta Scan
Start Angle: 3 deg.
Stop Angle: 65 deg.
Num Points: 3101
Step Size: 0.02 deg.
Scan Rate: 1.000000
Scan Mode: Continuous
Wavelength: 1.540562
\Kalpha1: 1.540562	\Kalpha2: 1.544390	\Kbeta: 1.392218

Optics:
		Detector:
			 Type: Fixed Slits
		Tube: 
			 Type: Fixed Slits


Datas:
Peaks:

Position        Dspace          ESD(P)          Corr.Fact       Intensity       Rel.Int.        FWHM(L)         ESD(L)          Area            Source                  Curve           Strain  CSize   CSize_Source    
[deg]           [A]             [deg]           [deg]           [CPS]           [CPS]           [deg]           [deg]           [deg]           [--]                    [--]            [--]    [--]    [--]            
  4.9000        18.0193           0.0000          0.0000            50.83         2.50          0.1200            0.0000           2.0333       PFind                   None            0.00    0.00    None            
  5.0400        17.5191           0.0000          0.0000            53.33         2.63          0.1000            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.1000        17.3131           0.0000          0.0000            60.83         2.99          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.3600        16.4739           0.0000          0.0000            35.83         1.76          0.0400            0.0000           1.4333       PFind                   None            0.00    0.00    None            
  5.4600        16.1724           0.0000          0.0000            49.17         2.42          0.1200            0.0000           2.9500       PFind                   None            0.00    0.00    None            
  5.6600        15.6013           0.0000          0.0000            50.00         2.46          0.1200            0.0000           0.0000       PFind                   None            0.00    0.00    None            
  5.7800        15.2777           0.0000          0.0000            65.83         3.24          0.1200            0.0000           1.3167       PFind                   None            0.00    0.00    None            
  6.0200        14.6692           0.0000          0.0000            64.17         3.16          0.1400            0.0000          10.2667       PFind                   None            0.00    0.00    None            
  6.2600        14.1073           0.0000          0.0000           145.83         7.18          0.1000            0.0000          20.4167       PFind                   None            0.00    0.00    None            
  6.4600        13.6710           0.0000          0.0000            48.33         2.38          0.1600            0.0000           3.8667       PFind                   None            0.00    0.00    None            
