##NAMES=Antigorite
##RRUFFID=R070228
##IDEAL CHEMISTRY=Mg_3_Si_2_O_5_(OH)_4_
##LOCALITY=Wood's Chrome Mine (Wood's Mine), Texas, Lancaster County, Pennsylvania, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Compact massive, light to dark green associated with chromite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R070228
5.000000, 0.0000000E+00
5.010000, 6.1501000E-02
5.020000, 17.10952
5.030000, 13.98228
5.040000, 17.76131
5.050000, 25.57462
5.060000, 0.4395180
5.070000, 19.42342
5.080000, 12.48568
5.090000, 18.36219
5.100000, 11.23789
5.110000, 25.18758
5.120000, 6.423836
5.130000, 28.28292
5.140000, 10.20892
5.150000, 4.159695
5.160000, 21.04887
5.170000, 23.19500
5.180000, 28.08758
5.190000, 35.98832
5.200000, 15.89634
5.210000, 30.81130
5.220000, 4.732796
5.230000, 0.3391650
5.240000, 6.594654
5.250000, 12.57593
5.260000, 7.520638
5.270000, 4.539246
5.280000, 5.520599
5.290000, 11.50204
5.300000, 3.483765
5.310000, 9.472733
5.320000, 23.45628
5.330000, 0.5597690
5.340000, 22.42460
5.350000, 22.40936
5.360000, 18.39507
5.370000, 19.38164
5.380000, 17.36846
5.390000, 24.35554
5.400000, 8.350830
5.410000, 10.34592
5.420000, 7.342117
5.430000, 12.33965
5.440000, 22.35059
5.450000, 15.36034
5.460000, 9.369148
5.470000, 12.37892
5.480000, 13.38955
5.490000, 2.417282
5.500000, 18.42580
5.510000, 18.45002
5.520000, 25.53144
5.530000, 1.560181
5.540000, 10.42089
5.550000, 11.40973
5.560000, 20.39872
5.570000, 14.39228
5.580000, 12.38507
5.590000, 15.37779
5.600000, 12.37952
5.610000, 11.41142
5.620000, 4.408161
5.630000, 19.40405
5.640000, 16.40173
5.650000, 14.40193
5.660000, 24.40208
5.670000, 10.40220
5.680000, 5.402168
5.690000, 7.402218
5.700000, 17.40237
5.710000, 5.424503
5.720000, 18.42404
5.730000, 14.44474
5.740000, 6.444412
5.750000, 7.444328
5.760000, 16.44450
5.770000, 20.44448
5.780000, 15.44480
5.790000, 18.75550
5.800000, 6.752567
5.810000, 4.753380
5.820000, 18.75117
5.830000, 14.74935
5.840000, 15.85011
5.850000, 15.86143
5.860000, 15.85928
5.870000, 12.45865
5.880000, 5.450123
5.890000, 25.44198
5.900000, 34.43424
5.910000, 8.432255
5.920000, 15.42516
5.930000, 7.418396
5.940000, 18.57621
5.950000, 24.56840
5.960000, 19.56092
5.970000, 7.553783
5.980000, 2.546982
5.990000, 23.54050
6.000000, 8.546951
6.010000, 2.540939
6.020000, 4.537361
6.030000, 0.4661980
6.040000, 21.52857
6.050000, 11.52356
6.060000, 1.572727
6.070000, 9.567730
6.080000, 6.437054
6.090000, 11.55835
6.100000, 12.55392
6.110000, 15.55613
6.120000, 10.55352
6.130000, 3.551060
6.140000, 10.76132
6.150000, 10.75386
6.160000, 10.75061
6.170000, 11.74752
6.180000, 5.744602
6.190000, 8.741856
6.200000, 2.844067
6.210000, 1.8798999E-02
6.220000, 12.04155
6.230000, 23.04400
6.240000, 10.04778
6.250000, 17.05269
6.260000, 12.95657
6.270000, 15.96271
6.280000, 17.28500
6.290000, 20.29195
6.300000, 8.299622
6.310000, 4.307713
6.320000, 6.308071
6.330000, 15.31607
6.340000, 9.324554
6.350000, 11.31977
6.360000, 14.32925
6.370000, 8.338547
6.380000, 13.34843
6.390000, 11.35888
6.400000, 21.36985
6.410000, 6.381317
6.420000, 0.3863490
6.430000, 4.361023
6.440000, 7.375324
6.450000, 2.389832
6.460000, 1.404663
6.470000, 16.41417
6.480000, 10.42826
6.490000, 5.445065
6.500000, 7.453228
6.510000, 9.470352
6.520000, 6.487637
6.530000, 8.468781
6.540000, 13.48639
6.550000, 13.50415
6.560000, 6.522099
6.570000, 3.459805
6.580000, 12.55753
6.590000, 4.575005
6.600000, 9.592587
6.610000, 8.610271
6.620000, 2.628052
6.630000, 8.645916
6.640000, 11.66380
6.650000, 14.68174
6.660000, 13.69971
6.670000, 1.281990
6.680000, 11.73600
6.690000, 0.7492980
6.700000, 19.76727
6.710000, 17.78522
6.720000, 12.80286
6.730000, 17.80853
6.740000, 7.177460
6.750000, 14.83479
6.760000, 5.847183
6.770000, 6.859680
6.780000, 14.87228
6.790000, 5.888996
6.800000, 9.901783
6.810000, 14.91449
6.820000, 1.925842
6.830000, 30.93872
6.840000, 5.951687
6.850000, 5.964729
6.860000, 5.977859
6.870000, 8.9379996E-03
6.880000, 1.995739
6.890000, 17.01702
6.900000, 8.029861
6.910000, 15.04269
6.920000, 18.05560
6.930000, 22.06850
6.940000, 13.08148
6.950000, 16.09455
6.960000, 16.10771
6.970000, 11.12096
6.980000, 12.13431
6.990000, 20.14641
7.000000, 0.1586230
7.010000, 4.170872
7.020000, 8.183231
7.030000, 6.195698
7.040000, 2.207794
7.050000, 12.22021
7.060000, 2.232758
7.070000, 18.24283
7.080000, 17.25303
7.090000, 14.26337
7.100000, 12.27384
7.110000, 0.7155880
7.120000, 1.294937
7.130000, 22.31284
7.140000, 13.32282
7.150000, 8.332947
7.160000, 13.34321
7.170000, 3.353630
7.180000, 22.35669
7.190000, 13.36737
7.200000, 13.37810
7.210000, 3.577614
7.220000, 1.588581
7.230000, 7.566887
7.240000, 9.578068
7.250000, 13.58937
7.260000, 13.59003
