Position,Dspace,ESD(P),Corr.Fact,Intensity,Rel.Int.,FWHM(L),ESD(L),FWHM(R),ESD(R),Area
[deg],[A],[deg],[deg],[CPS],[CPS],[deg],[deg],[deg],[deg],[deg]
2.6400,33.4377,0.0000,0.0000,60.00,0.82,0.1600,0.0000,0.0000,0.0000,9.6000
2.9000,30.4404,0.0000,0.0000,85.00,1.16,0.0000,0.0000,0.0000,0.0000,6.8000
3.3400,26.4312,0.0000,0.0000,73.33,1.00,0.0800,0.0000,0.0000,0.0000,4.4000
3.5600,24.7983,0.0000,0.0000,72.50,0.99,0.1600,0.0000,0.0000,0.0000,5.8000
3.6400,24.2534,0.0000,0.0000,53.33,0.73,0.1400,0.0000,0.0000,0.0000,8.5333
3.8200,23.1110,0.0000,0.0000,58.33,0.79,0.1400,0.0000,0.0000,0.0000,2.3333
3.9600,22.2943,0.0000,0.0000,70.00,0.95,0.1000,0.0000,0.0000,0.0000,4.2000
4.2200,20.9212,0.0000,0.0000,53.33,0.73,0.1600,0.0000,0.0000,0.0000,8.5333
4.4200,19.9750,0.0000,0.0000,61.67,0.84,0.1000,0.0000,0.0000,0.0000,3.7000
4.8000,18.3945,0.0000,0.0000,36.67,0.50,0.0400,0.0000,0.0000,0.0000,2.9333
4.9600,17.8015,0.0000,0.0000,43.33,0.59,0.1000,0.0000,0.0000,0.0000,4.3333
5.1200,17.2455,0.0000,0.0000,45.00,0.61,0.0800,0.0000,0.0000,0.0000,5.4000
5.2600,16.7868,0.0000,0.0000,56.67,0.77,0.1000,0.0000,0.0000,0.0000,4.5333
5.4000,16.3519,0.0000,0.0000,45.00,0.61,0.0800,0.0000,0.0000,0.0000,4.5000
5.6600,15.6013,0.0000,0.0000,51.67,0.70,0.1600,0.0000,0.0000,0.0000,1.0333
5.7200,15.4378,0.0000,0.0000,43.33,0.59,0.1400,0.0000,0.0000,0.0000,4.3333
6.0600,14.5724,0.0000,0.0000,41.67,0.57,0.1600,0.0000,0.0000,0.0000,2.5000
6.2400,14.1525,0.0000,0.0000,35.00,0.48,0.1200,0.0000,0.0000,0.0000,2.1000
6.4000,13.7990,0.0000,0.0000,46.67,0.63,0.0800,0.0000,0.0000,0.0000,1.8667
6.5000,13.5869,0.0000,0.0000,40.83,0.56,0.0200,0.0000,0.0000,0.0000,0.8167
6.6400,13.3008,0.0000,0.0000,37.50,0.51,0.0800,0.0000,0.0000,0.0000,1.5000
6.9600,12.6899,0.0000,0.0000,35.00,0.48,0.1600,0.0000,0.0000,0.0000,0.7000
7.0400,12.5459,0.0000,0.0000,37.50,0.51,0.0400,0.0000,0.0000,0.0000,1.5000
7.9000,11.1820,0.0000,0.0000,35.00,0.48,0.1600,0.0000,0.0000,0.0000,0.0000
8.3600,10.5677,0.0000,0.0000,46.67,0.63,0.0400,0.0000,0.0000,0.0000,0.0000
8.8000,10.0403,0.0000,0.0000,1224.17,16.65,0.0800,0.0000,0.0000,0.0000,73.4500
9.1000,9.7099,0.0000,0.0000,40.00,0.54,0.0800,0.0000,0.0000,0.0000,5.6000
9.8200,8.9996,0.0000,0.0000,39.17,0.53,0.0600,0.0000,0.0000,0.0000,0.7833
10.2400,8.6314,0.0000,0.0000,34.17,0.46,0.0800,0.0000,0.0000,0.0000,2.7333
10.2800,8.5979,0.0000,0.0000,35.00,0.48,0.1400,0.0000,0.0000,0.0000,0.0000
10.8400,8.1549,0.0000,0.0000,37.50,0.51,0.0800,0.0000,0.0000,0.0000,1.5000
12.4200,7.1208,0.0000,0.0000,58.33,0.79,0.0600,0.0000,0.0000,0.0000,5.8333
13.6000,6.5055,0.0000,0.0000,90.83,1.24,0.0400,0.0000,0.0000,0.0000,9.0833
13.7800,6.4210,0.0000,0.0000,467.50,6.36,0.0800,0.0000,0.0000,0.0000,18.7000
14.9800,5.9092,0.0000,0.0000,44.17,0.60,0.0600,0.0000,0.0000,0.0000,0.8833
16.7600,5.2854,0.0000,0.0000,35.83,0.49,0.1000,0.0000,0.0000,0.0000,0.0000
17.7400,4.9956,0.0000,0.0000,282.50,3.84,0.1000,0.0000,0.0000,0.0000,28.2500
19.7400,4.4937,0.0000,0.0000,69.17,0.94,0.1000,0.0000,0.0000,0.0000,8.3000
20.7800,4.2711,0.0000,0.0000,1319.17,17.95,0.0600,0.0000,0.0000,0.0000,79.1500
21.9600,4.0442,0.0000,0.0000,587.50,7.99,0.0800,0.0000,0.0000,0.0000,47.0000
22.4400,3.9588,0.0000,0.0000,38.33,0.52,0.1000,0.0000,0.0000,0.0000,3.0667
22.8000,3.8971,0.0000,0.0000,37.50,0.51,0.1200,0.0000,0.0000,0.0000,6.0000
22.9800,3.8669,0.0000,0.0000,160.00,2.18,0.0000,0.0000,0.0000,0.0000,12.8000
23.4600,3.7889,0.0000,0.0000,599.17,8.15,0.0600,0.0000,0.0000,0.0000,59.9167
24.2200,3.6717,0.0000,0.0000,328.33,4.47,0.0200,0.0000,0.0000,0.0000,32.8333
24.5200,3.6274,0.0000,0.0000,49.17,0.67,0.0600,0.0000,0.0000,0.0000,4.9167
25.1000,3.5449,0.0000,0.0000,41.67,0.57,0.1000,0.0000,0.0000,0.0000,3.3333
25.3400,3.5119,0.0000,0.0000,159.17,2.17,0.0600,0.0000,0.0000,0.0000,22.2833
25.5600,3.4822,0.0000,0.0000,225.83,3.07,0.0400,0.0000,0.0000,0.0000,22.5833
26.5600,3.3533,0.0000,0.0000,7350.83,100.00,0.1600,0.0000,0.0000,0.0000,588.0667
26.7600,3.3287,0.0000,0.0000,1002.50,13.64,0.1600,0.0000,0.0000,0.0000,160.4000
27.4400,3.2477,0.0000,0.0000,656.67,8.93,0.0600,0.0000,0.0000,0.0000,65.6667
27.8400,3.2019,0.0000,0.0000,4592.50,62.48,0.0800,0.0000,0.0000,0.0000,459.2500
28.2200,3.1597,0.0000,0.0000,234.17,3.19,0.0200,0.0000,0.0000,0.0000,37.4667
28.5000,3.1293,0.0000,0.0000,34.17,0.46,0.1000,0.0000,0.0000,0.0000,0.6833
29.4400,3.0315,0.0000,0.0000,51.67,0.70,0.1000,0.0000,0.0000,0.0000,8.2667
29.7600,2.9996,0.0000,0.0000,153.33,2.09,0.1400,0.0000,0.0000,0.0000,24.5333
30.1200,2.9646,0.0000,0.0000,118.33,1.61,0.1000,0.0000,0.0000,0.0000,16.5667
30.4400,2.9341,0.0000,0.0000,254.17,3.46,0.0400,0.0000,0.0000,0.0000,15.2500
30.7400,2.9062,0.0000,0.0000,84.17,1.14,0.1000,0.0000,0.0000,0.0000,11.7833
31.1200,2.8715,0.0000,0.0000,140.00,1.90,0.0800,0.0000,0.0000,0.0000,14.0000
31.9600,2.7980,0.0000,0.0000,64.17,0.87,0.1600,0.0000,0.0000,0.0000,8.9833
32.1600,2.7810,0.0000,0.0000,60.00,0.82,0.1600,0.0000,0.0000,0.0000,7.2000
33.8800,2.6437,0.0000,0.0000,62.50,0.85,0.1000,0.0000,0.0000,0.0000,5.0000
34.4400,2.6019,0.0000,0.0000,46.67,0.63,0.1600,0.0000,0.0000,0.0000,7.4667
34.9000,2.5687,0.0000,0.0000,142.50,1.94,0.0200,0.0000,0.0000,0.0000,22.8000
35.6400,2.5170,0.0000,0.0000,55.00,0.75,0.1600,0.0000,0.0000,0.0000,7.7000
35.9600,2.4954,0.0000,0.0000,55.00,0.75,0.0800,0.0000,0.0000,0.0000,8.8000
36.4600,2.4623,0.0000,0.0000,553.33,7.53,0.1000,0.0000,0.0000,0.0000,33.2000
37.2400,2.4125,0.0000,0.0000,71.67,0.97,0.0800,0.0000,0.0000,0.0000,7.1667
37.3600,2.4050,0.0000,0.0000,64.17,0.87,0.0800,0.0000,0.0000,0.0000,10.2667
37.5800,2.3914,0.0000,0.0000,85.00,1.16,0.0200,0.0000,0.0000,0.0000,13.6000
38.7400,2.3225,0.0000,0.0000,134.17,1.83,0.0000,0.0000,0.0000,0.0000,13.4167
39.4000,2.2851,0.0000,0.0000,605.83,8.24,0.1600,0.0000,0.0000,0.0000,36.3500
40.2200,2.2403,0.0000,0.0000,215.83,2.94,0.0200,0.0000,0.0000,0.0000,8.6333
41.1400,2.1923,0.0000,0.0000,35.00,0.48,0.0800,0.0000,0.0000,0.0000,5.6000
41.5000,2.1741,0.0000,0.0000,46.67,0.63,0.0400,0.0000,0.0000,0.0000,1.8667
41.6200,2.1682,0.0000,0.0000,60.83,0.83,0.0200,0.0000,0.0000,0.0000,4.8667
42.3800,2.1310,0.0000,0.0000,446.67,6.08,0.1000,0.0000,0.0000,0.0000,35.7333
43.4600,2.0805,0.0000,0.0000,36.67,0.50,0.1200,0.0000,0.0000,0.0000,2.9333
44.1600,2.0492,0.0000,0.0000,77.50,1.05,0.1200,0.0000,0.0000,0.0000,3.1000
44.9000,2.0171,0.0000,0.0000,37.50,0.51,0.0800,0.0000,0.0000,0.0000,2.2500
45.4400,1.9944,0.0000,0.0000,209.17,2.85,0.0000,0.0000,0.0000,0.0000,29.2833
45.7200,1.9828,0.0000,0.0000,265.00,3.61,0.0600,0.0000,0.0000,0.0000,26.5000
47.0400,1.9302,0.0000,0.0000,50.83,0.69,0.1600,0.0000,0.0000,0.0000,6.1000
48.0600,1.8916,0.0000,0.0000,68.33,0.93,0.1400,0.0000,0.0000,0.0000,6.8333
48.1400,1.8886,0.0000,0.0000,55.00,0.75,0.1200,0.0000,0.0000,0.0000,8.8000
48.9400,1.8596,0.0000,0.0000,51.67,0.70,0.0600,0.0000,0.0000,0.0000,1.0333
49.1200,1.8532,0.0000,0.0000,65.00,0.88,0.1000,0.0000,0.0000,0.0000,5.2000
49.6400,1.8350,0.0000,0.0000,39.17,0.53,0.1600,0.0000,0.0000,0.0000,0.7833
49.7600,1.8309,0.0000,0.0000,38.33,0.52,0.1600,0.0000,0.0000,0.0000,6.1333
50.0800,1.8199,0.0000,0.0000,994.17,13.52,0.0400,0.0000,0.0000,0.0000,59.6500
50.5200,1.8051,0.0000,0.0000,120.83,1.64,0.1000,0.0000,0.0000,0.0000,19.3333
51.0600,1.7873,0.0000,0.0000,55.83,0.76,0.1400,0.0000,0.0000,0.0000,5.5833
52.0600,1.7553,0.0000,0.0000,42.50,0.58,0.1200,0.0000,0.0000,0.0000,3.4000
52.2000,1.7509,0.0000,0.0000,51.67,0.70,0.1600,0.0000,0.0000,0.0000,6.2000
53.2000,1.7203,0.0000,0.0000,59.17,0.80,0.1400,0.0000,0.0000,0.0000,4.7333
54.2600,1.6892,0.0000,0.0000,36.67,0.50,0.1000,0.0000,0.0000,0.0000,1.4667
54.8000,1.6738,0.0000,0.0000,214.17,2.91,0.0400,0.0000,0.0000,0.0000,17.1333
55.2600,1.6609,0.0000,0.0000,123.33,1.68,0.0400,0.0000,0.0000,0.0000,12.3333
