Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	FWHM(R)	ESD(R)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]	[deg]	[deg]
2.6400	33.4377	0.0000	0.0000	90.00	1.30	0.0600	0.0000	0.0000	0.0000	5.4000
2.8400	31.0834	0.0000	0.0000	73.33	1.06	0.0800	0.0000	0.0000	0.0000	10.2667
2.9600	29.8235	0.0000	0.0000	65.83	0.95	0.0000	0.0000	0.0000	0.0000	3.9500
3.1600	27.9364	0.0000	0.0000	60.83	0.88	0.0800	0.0000	0.0000	0.0000	6.0833
3.2800	26.9146	0.0000	0.0000	69.17	1.00	0.0000	0.0000	0.0000	0.0000	4.1500
3.4000	25.9649	0.0000	0.0000	63.33	0.92	0.0200	0.0000	0.0000	0.0000	10.1333
3.7000	23.8603	0.0000	0.0000	55.83	0.81	0.1600	0.0000	0.0000	0.0000	3.3500
3.9800	22.1823	0.0000	0.0000	51.67	0.75	0.1600	0.0000	0.0000	0.0000	0.0000
4.0200	21.9616	0.0000	0.0000	63.33	0.92	0.1400	0.0000	0.0000	0.0000	0.0000
4.2400	20.8226	0.0000	0.0000	48.33	0.70	0.1400	0.0000	0.0000	0.0000	1.9333
4.3400	20.3430	0.0000	0.0000	51.67	0.75	0.1400	0.0000	0.0000	0.0000	1.0333
4.5800	19.2776	0.0000	0.0000	55.00	0.79	0.1200	0.0000	0.0000	0.0000	2.2000
4.7200	18.7061	0.0000	0.0000	46.67	0.67	0.0400	0.0000	0.0000	0.0000	6.5333
4.8800	18.0931	0.0000	0.0000	52.50	0.76	0.1000	0.0000	0.0000	0.0000	0.0000
4.9800	17.7300	0.0000	0.0000	31.67	0.46	0.1400	0.0000	0.0000	0.0000	2.5333
5.1600	17.1119	0.0000	0.0000	51.67	0.75	0.1200	0.0000	0.0000	0.0000	1.0333
5.4400	16.2318	0.0000	0.0000	45.00	0.65	0.1600	0.0000	0.0000	0.0000	1.8000
5.6400	15.6566	0.0000	0.0000	40.83	0.59	0.0000	0.0000	0.0000	0.0000	1.6333
5.9000	14.9672	0.0000	0.0000	38.33	0.55	0.1400	0.0000	0.0000	0.0000	0.0000
6.3200	13.9735	0.0000	0.0000	45.00	0.65	0.1600	0.0000	0.0000	0.0000	3.6000
6.4200	13.7561	0.0000	0.0000	32.50	0.47	0.1000	0.0000	0.0000	0.0000	3.2500
6.6000	13.3813	0.0000	0.0000	35.00	0.51	0.0800	0.0000	0.0000	0.0000	1.4000
6.7800	13.0264	0.0000	0.0000	29.17	0.42	0.1400	0.0000	0.0000	0.0000	1.1667
6.9000	12.8002	0.0000	0.0000	34.17	0.49	0.1000	0.0000	0.0000	0.0000	0.6833
7.0400	12.5459	0.0000	0.0000	29.17	0.42	0.0800	0.0000	0.0000	0.0000	0.0000
7.1400	12.3704	0.0000	0.0000	34.17	0.49	0.0200	0.0000	0.0000	0.0000	1.3667
7.6000	11.6227	0.0000	0.0000	39.17	0.57	0.0400	0.0000	0.0000	0.0000	0.7833
7.9000	11.1820	0.0000	0.0000	30.83	0.45	0.1000	0.0000	0.0000	0.0000	1.2333
8.0000	11.0424	0.0000	0.0000	29.17	0.42	0.1600	0.0000	0.0000	0.0000	2.3333
8.3000	10.6440	0.0000	0.0000	33.33	0.48	0.1400	0.0000	0.0000	0.0000	0.6667
8.9000	9.9277	0.0000	0.0000	961.67	13.90	0.1600	0.0000	0.0000	0.0000	96.1667
9.4400	9.3610	0.0000	0.0000	35.00	0.51	0.1600	0.0000	0.0000	0.0000	1.4000
9.8400	8.9813	0.0000	0.0000	30.00	0.43	0.0800	0.0000	0.0000	0.0000	0.6000
10.0600	8.7854	0.0000	0.0000	34.17	0.49	0.1600	0.0000	0.0000	0.0000	0.0000
10.2400	8.6314	0.0000	0.0000	30.83	0.45	0.1000	0.0000	0.0000	0.0000	1.2333
10.6400	8.3078	0.0000	0.0000	31.67	0.46	0.0600	0.0000	0.0000	0.0000	0.6333
11.0800	7.9788	0.0000	0.0000	55.00	0.79	0.0600	0.0000	0.0000	0.0000	3.3000
11.5400	7.6618	0.0000	0.0000	35.00	0.51	0.1400	0.0000	0.0000	0.0000	2.1000
12.0000	7.3691	0.0000	0.0000	33.33	0.48	0.1400	0.0000	0.0000	0.0000	0.6667
12.5200	7.0642	0.0000	0.0000	40.00	0.58	0.0000	0.0000	0.0000	0.0000	4.0000
13.3400	6.6317	0.0000	0.0000	30.83	0.45	0.0000	0.0000	0.0000	0.0000	0.6167
13.4800	6.5632	0.0000	0.0000	32.50	0.47	0.0600	0.0000	0.0000	0.0000	5.2000
13.7000	6.4583	0.0000	0.0000	112.50	1.63	0.0400	0.0000	0.0000	0.0000	9.0000
13.9000	6.3658	0.0000	0.0000	140.00	2.02	0.0400	0.0000	0.0000	0.0000	11.2000
14.2800	6.1972	0.0000	0.0000	32.50	0.47	0.1000	0.0000	0.0000	0.0000	0.0000
14.8400	5.9646	0.0000	0.0000	32.50	0.47	0.0400	0.0000	0.0000	0.0000	0.0000
15.0400	5.8857	0.0000	0.0000	42.50	0.61	0.0600	0.0000	0.0000	0.0000	5.1000
15.3400	5.7713	0.0000	0.0000	34.17	0.49	0.1600	0.0000	0.0000	0.0000	0.6833
16.8200	5.2667	0.0000	0.0000	29.17	0.42	0.0600	0.0000	0.0000	0.0000	0.0000
17.8400	4.9678	0.0000	0.0000	254.17	3.67	0.0400	0.0000	0.0000	0.0000	20.3333
19.8400	4.4713	0.0000	0.0000	66.67	0.96	0.0200	0.0000	0.0000	0.0000	9.3333
20.6400	4.2997	0.0000	0.0000	32.50	0.47	0.1400	0.0000	0.0000	0.0000	0.6500
20.8800	4.2509	0.0000	0.0000	1058.33	15.29	0.1000	0.0000	0.0000	0.0000	84.6667
22.0800	4.0225	0.0000	0.0000	468.33	6.77	0.0000	0.0000	0.0000	0.0000	46.8333
22.5600	3.9380	0.0000	0.0000	94.17	1.36	0.0400	0.0000	0.0000	0.0000	11.3000
23.0600	3.8537	0.0000	0.0000	120.00	1.73	0.1000	0.0000	0.0000	0.0000	9.6000
23.5800	3.7699	0.0000	0.0000	365.00	5.27	0.0000	0.0000	0.0000	0.0000	51.1000
24.3000	3.6598	0.0000	0.0000	255.00	3.68	0.0400	0.0000	0.0000	0.0000	40.8000
24.5800	3.6187	0.0000	0.0000	41.67	0.60	0.1600	0.0000	0.0000	0.0000	2.5000
25.6800	3.4662	0.0000	0.0000	280.83	4.06	0.0800	0.0000	0.0000	0.0000	33.7000
26.6600	3.3409	0.0000	0.0000	6920.00	100.00	0.0600	0.0000	0.0000	0.0000	692.0000
27.5200	3.2384	0.0000	0.0000	2610.00	37.72	0.1400	0.0000	0.0000	0.0000	313.2000
27.9600	3.1885	0.0000	0.0000	1315.00	19.00	0.0600	0.0000	0.0000	0.0000	184.1000
29.8600	2.9898	0.0000	0.0000	195.83	2.83	0.0400	0.0000	0.0000	0.0000	31.3333
30.1200	2.9646	0.0000	0.0000	133.33	1.93	0.0800	0.0000	0.0000	0.0000	21.3333
