Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	FWHM(R)	ESD(R)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]	[deg]	[deg]
2.6400	33.4377	0.0000	0.0000	86.67	4.67	0.1600	0.0000	0.0000	0.0000	6.9333
3.0600	28.8491	0.0000	0.0000	70.83	3.82	0.0200	0.0000	0.0000	0.0000	5.6667
3.2400	27.2467	0.0000	0.0000	71.67	3.87	0.1600	0.0000	0.0000	0.0000	2.8667
3.3600	26.2739	0.0000	0.0000	61.67	3.33	0.1000	0.0000	0.0000	0.0000	4.9333
3.5400	24.9383	0.0000	0.0000	64.17	3.46	0.0600	0.0000	0.0000	0.0000	1.2833
3.6200	24.3874	0.0000	0.0000	70.00	3.78	0.1000	0.0000	0.0000	0.0000	1.4000
3.9400	22.4074	0.0000	0.0000	57.50	3.10	0.1600	0.0000	0.0000	0.0000	6.9000
4.0600	21.7454	0.0000	0.0000	41.67	2.25	0.0600	0.0000	0.0000	0.0000	0.0000
4.2200	20.9212	0.0000	0.0000	50.83	2.74	0.1200	0.0000	0.0000	0.0000	7.1167
4.3400	20.3430	0.0000	0.0000	45.00	2.43	0.1600	0.0000	0.0000	0.0000	4.5000
4.4800	19.7076	0.0000	0.0000	40.00	2.16	0.1200	0.0000	0.0000	0.0000	6.4000
4.7600	18.5490	0.0000	0.0000	49.17	2.65	0.0800	0.0000	0.0000	0.0000	0.9833
5.0400	17.5191	0.0000	0.0000	46.67	2.52	0.1600	0.0000	0.0000	0.0000	1.8667
5.6200	15.7123	0.0000	0.0000	41.67	2.25	0.0800	0.0000	0.0000	0.0000	2.5000
5.8600	15.0693	0.0000	0.0000	41.67	2.25	0.1600	0.0000	0.0000	0.0000	5.8333
6.0400	14.6206	0.0000	0.0000	41.67	2.25	0.1000	0.0000	0.0000	0.0000	3.3333
6.1000	14.4770	0.0000	0.0000	48.33	2.61	0.1000	0.0000	0.0000	0.0000	4.8333
6.3400	13.9295	0.0000	0.0000	41.67	2.25	0.1600	0.0000	0.0000	0.0000	3.3333
6.4200	13.7561	0.0000	0.0000	46.67	2.52	0.0600	0.0000	0.0000	0.0000	4.6667
6.5800	13.4219	0.0000	0.0000	43.33	2.34	0.1600	0.0000	0.0000	0.0000	3.4667
6.8800	12.8373	0.0000	0.0000	42.50	2.29	0.1400	0.0000	0.0000	0.0000	0.0000
7.6400	11.5619	0.0000	0.0000	40.00	2.16	0.1600	0.0000	0.0000	0.0000	2.4000
8.6800	10.1788	0.0000	0.0000	68.33	3.69	0.1200	0.0000	0.0000	0.0000	6.8333
8.9000	9.9277	0.0955	0.0000	24.00	1.29	0.0804	0.7979	0.0804	0.0000	15.7294
9.1000	9.7099	0.0000	0.0000	198.33	10.70	0.0400	0.0000	0.0000	0.0000	15.8667
9.7200	9.0919	0.0000	0.0000	161.67	8.72	0.1000	0.0000	0.0000	0.0000	9.7000
9.9600	8.8734	0.0000	0.0000	40.00	2.16	0.1600	0.0000	0.0000	0.0000	1.6000
10.4200	8.4827	0.0000	0.0000	1203.33	64.90	0.0800	0.0000	0.0000	0.0000	96.2667
10.9600	8.0659	0.0000	0.0000	60.00	3.24	0.1200	0.0000	0.0000	0.0000	6.0000
12.4200	7.1208	0.0000	0.0000	81.67	4.40	0.0600	0.0000	0.0000	0.0000	6.5333
13.7600	6.4302	0.0000	0.0000	112.50	6.07	0.1000	0.0000	0.0000	0.0000	9.0000
13.9800	6.3295	0.0000	0.0000	59.17	3.19	0.1600	0.0000	0.0000	0.0000	3.5500
14.9000	5.9407	0.0000	0.0000	40.00	2.16	0.1200	0.0000	0.0000	0.0000	0.0000
15.7600	5.6184	0.0000	0.0000	53.33	2.88	0.1600	0.0000	0.0000	0.0000	2.1333
17.3800	5.0982	0.0000	0.0000	62.50	3.37	0.1200	0.0000	0.0000	0.0000	10.0000
18.0400	4.9132	0.0000	0.0000	60.83	3.28	0.1600	0.0000	0.0000	0.0000	4.8667
18.3400	4.8335	0.0000	0.0000	149.17	8.04	0.0800	0.0000	0.0000	0.0000	11.9333
18.7200	4.7362	0.0000	0.0000	39.17	2.11	0.0600	0.0000	0.0000	0.0000	3.1333
19.6000	4.5255	0.0000	0.0000	109.17	5.89	0.0800	0.0000	0.0000	0.0000	10.9167
19.8400	4.4713	0.0000	0.0000	42.50	2.29	0.1200	0.0000	0.0000	0.0000	3.4000
21.0000	4.2268	0.0000	0.0000	60.83	3.28	0.0800	0.0000	0.0000	0.0000	6.0833
21.9800	4.0405	0.0000	0.0000	225.00	12.13	0.0200	0.0000	0.0000	0.0000	22.5000
22.8400	3.8903	0.0000	0.0000	40.00	2.16	0.0600	0.0000	0.0000	0.0000	6.4000
22.9800	3.8669	0.0000	0.0000	46.67	2.52	0.1600	0.0000	0.0000	0.0000	4.6667
23.4600	3.7889	0.0000	0.0000	188.33	10.16	0.0600	0.0000	0.0000	0.0000	11.3000
24.2200	3.6717	0.0000	0.0000	169.17	9.12	0.0800	0.0000	0.0000	0.0000	23.6833
25.0800	3.5477	0.0000	0.0000	70.00	3.78	0.0800	0.0000	0.0000	0.0000	5.6000
25.3000	3.5173	0.0000	0.0000	66.67	3.60	0.1200	0.0000	0.0000	0.0000	6.6667
25.4800	3.4929	0.0000	0.0000	81.67	4.40	0.1000	0.0000	0.0000	0.0000	4.9000
26.2200	3.3960	0.0000	0.0000	234.17	12.63	0.1600	0.0000	0.0000	0.0000	32.7833
26.5600	3.3533	0.0000	0.0000	50.00	2.70	0.1200	0.0000	0.0000	0.0000	6.0000
26.6155	3.3464	0.0058	0.0000	44.00	2.37	0.0572	0.0185	0.0572	0.0000	4.1027
27.2000	3.2758	0.0000	0.0000	184.17	9.93	0.1400	0.0000	0.0000	0.0000	29.4667
27.3600	3.2570	0.0000	0.0000	756.67	40.81	0.0800	0.0000	0.0000	0.0000	15.1333
27.8000	3.2065	0.0000	0.0000	1854.17	100.00	0.0800	0.0000	0.0000	0.0000	148.3333
28.2200	3.1597	0.0000	0.0000	255.00	13.75	0.1400	0.0000	0.0000	0.0000	25.5000
28.4600	3.1336	0.0000	0.0000	1025.00	55.28	0.0400	0.0000	0.0000	0.0000	102.5000
29.7600	2.9996	0.0000	0.0000	130.00	7.01	0.1000	0.0000	0.0000	0.0000	15.6000
30.2800	2.9493	0.0000	0.0000	362.50	19.55	0.0200	0.0000	0.0000	0.0000	43.5000
30.8000	2.9006	0.0000	0.0000	252.50	13.62	0.1000	0.0000	0.0000	0.0000	30.3000
31.1600	2.8679	0.0000	0.0000	52.50	2.83	0.1200	0.0000	0.0000	0.0000	1.0500
31.8200	2.8099	0.0000	0.0000	174.17	9.39	0.0800	0.0000	0.0000	0.0000	27.8667
32.1000	2.7861	0.0000	0.0000	130.00	7.01	0.0600	0.0000	0.0000	0.0000	7.8000
32.6800	2.7379	0.0000	0.0000	98.33	5.30	0.0800	0.0000	0.0000	0.0000	13.7667
33.0000	2.7121	0.0000	0.0000	291.67	15.73	0.1200	0.0000	0.0000	0.0000	35.0000
33.4000	2.6805	0.0000	0.0000	72.50	3.91	0.1200	0.0000	0.0000	0.0000	10.1500
33.7800	2.6512	0.0000	0.0000	125.00	6.74	0.0800	0.0000	0.0000	0.0000	12.5000
34.4800	2.5990	0.0000	0.0000	257.50	13.89	0.0000	0.0000	0.0000	0.0000	25.7500
34.9400	2.5658	0.0000	0.0000	119.17	6.43	0.0600	0.0000	0.0000	0.0000	9.5333
35.0200	2.5602	0.0000	0.0000	65.83	3.55	0.1600	0.0000	0.0000	0.0000	10.5333
35.2200	2.5461	0.0000	0.0000	89.17	4.81	0.1000	0.0000	0.0000	0.0000	14.2667
35.4000	2.5335	0.0000	0.0000	118.33	6.38	0.0400	0.0000	0.0000	0.0000	18.9333
36.6600	2.4493	0.0000	0.0000	80.83	4.36	0.0800	0.0000	0.0000	0.0000	9.7000
37.4800	2.3976	0.0000	0.0000	90.83	4.90	0.0800	0.0000	0.0000	0.0000	14.5333
38.4200	2.3411	0.0000	0.0000	77.50	4.18	0.1000	0.0000	0.0000	0.0000	12.4000
38.7600	2.3213	0.0000	0.0000	66.67	3.60	0.1200	0.0000	0.0000	0.0000	10.6667
39.2800	2.2918	0.0000	0.0000	62.50	3.37	0.1400	0.0000	0.0000	0.0000	10.0000
39.3800	2.2862	0.0000	0.0000	98.33	5.30	0.1600	0.0000	0.0000	0.0000	11.8000
41.7000	2.1642	0.0000	0.0000	88.33	4.76	0.1000	0.0000	0.0000	0.0000	14.1333
42.2400	2.1378	0.0000	0.0000	47.50	2.56	0.0800	0.0000	0.0000	0.0000	5.7000
42.3600	2.1320	0.0000	0.0000	44.17	2.38	0.0000	0.0000	0.0000	0.0000	7.0667
42.7400	2.1139	0.0000	0.0000	135.83	7.33	0.0000	0.0000	0.0000	0.0000	13.5833
44.2000	2.0474	0.0000	0.0000	48.33	2.61	0.0600	0.0000	0.0000	0.0000	5.8000
44.8600	2.0188	0.0000	0.0000	110.83	5.98	0.0800	0.0000	0.0000	0.0000	17.7333
45.2400	2.0027	0.0000	0.0000	55.00	2.97	0.1600	0.0000	0.0000	0.0000	6.6000
45.3400	1.9985	0.0000	0.0000	50.00	2.70	0.1600	0.0000	0.0000	0.0000	8.0000
47.1200	1.9271	0.0000	0.0000	105.83	5.71	0.0600	0.0000	0.0000	0.0000	16.9333
48.0800	1.8908	0.0000	0.0000	103.33	5.57	0.0400	0.0000	0.0000	0.0000	8.2667
48.3600	1.8805	0.0000	0.0000	69.17	3.73	0.1000	0.0000	0.0000	0.0000	8.3000
48.6400	1.8704	0.0000	0.0000	115.00	6.20	0.0800	0.0000	0.0000	0.0000	18.4000
