Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	FWHM(R)	ESD(R)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]	[deg]	[deg]
2.7200	32.4544	0.0000	0.0000	79.17	0.81	0.0200	0.0000	0.0000	0.0000	6.3333
2.8800	30.6517	0.0000	0.0000	112.50	1.15	0.0600	0.0000	0.0000	0.0000	2.2500
3.0600	28.8491	0.0000	0.0000	67.50	0.69	0.0000	0.0000	0.0000	0.0000	8.1000
3.2800	26.9146	0.0000	0.0000	64.17	0.66	0.0800	0.0000	0.0000	0.0000	10.2667
3.3800	26.1185	0.0000	0.0000	65.83	0.67	0.0000	0.0000	0.0000	0.0000	6.5833
3.6200	24.3874	0.0000	0.0000	64.17	0.66	0.1200	0.0000	0.0000	0.0000	6.4167
3.9000	22.6371	0.0000	0.0000	50.83	0.52	0.1200	0.0000	0.0000	0.0000	3.0500
3.9800	22.1823	0.0000	0.0000	85.83	0.88	0.0600	0.0000	0.0000	0.0000	0.0000
4.1000	21.5333	0.0000	0.0000	58.33	0.60	0.0800	0.0000	0.0000	0.0000	2.3333
4.2000	21.0208	0.0000	0.0000	50.00	0.51	0.0800	0.0000	0.0000	0.0000	0.0000
4.3600	20.2498	0.0000	0.0000	48.33	0.50	0.1400	0.0000	0.0000	0.0000	4.8333
4.5400	19.4473	0.0000	0.0000	65.00	0.67	0.0600	0.0000	0.0000	0.0000	0.0000
4.6000	19.1938	0.0000	0.0000	60.83	0.62	0.1400	0.0000	0.0000	0.0000	1.2167
4.7000	18.7856	0.0000	0.0000	48.33	0.50	0.0200	0.0000	0.0000	0.0000	0.9667
5.1200	17.2455	0.0000	0.0000	40.00	0.41	0.1000	0.0000	0.0000	0.0000	6.4000
5.2800	16.7233	0.0000	0.0000	44.17	0.45	0.1600	0.0000	0.0000	0.0000	0.0000
5.3400	16.5355	0.0000	0.0000	45.00	0.46	0.1200	0.0000	0.0000	0.0000	3.6000
5.5200	15.9967	0.0000	0.0000	47.50	0.49	0.0200	0.0000	0.0000	0.0000	0.0000
5.7600	15.3307	0.0000	0.0000	40.83	0.42	0.1600	0.0000	0.0000	0.0000	4.0833
5.9000	14.9672	0.0000	0.0000	34.17	0.35	0.0800	0.0000	0.0000	0.0000	2.0500
6.1200	14.4297	0.0000	0.0000	44.17	0.45	0.0600	0.0000	0.0000	0.0000	3.5333
6.3600	13.8857	0.0000	0.0000	39.17	0.40	0.0600	0.0000	0.0000	0.0000	0.0000
6.4200	13.7561	0.0000	0.0000	36.67	0.38	0.0600	0.0000	0.0000	0.0000	0.0000
6.8200	12.9501	0.0000	0.0000	42.50	0.44	0.1600	0.0000	0.0000	0.0000	3.4000
7.1800	12.3016	0.0000	0.0000	46.67	0.48	0.1200	0.0000	0.0000	0.0000	0.9333
7.4000	11.9364	0.0000	0.0000	36.67	0.38	0.0600	0.0000	0.0000	0.0000	0.0000
7.5800	11.6533	0.0000	0.0000	38.33	0.39	0.1600	0.0000	0.0000	0.0000	2.3000
7.9200	11.1538	0.0000	0.0000	38.33	0.39	0.1000	0.0000	0.0000	0.0000	2.3000
8.7600	10.0860	0.0000	0.0000	3909.17	40.06	0.1200	0.0000	0.0000	0.0000	312.7333
9.2200	9.5838	0.0000	0.0000	56.67	0.58	0.1200	0.0000	0.0000	0.0000	5.6667
9.3000	9.5016	0.0000	0.0000	51.67	0.53	0.1000	0.0000	0.0000	0.0000	5.1667
9.5600	9.2437	0.0000	0.0000	45.00	0.46	0.1400	0.0000	0.0000	0.0000	2.7000
9.6600	9.1483	0.0000	0.0000	40.00	0.41	0.0600	0.0000	0.0000	0.0000	0.8000
9.7800	9.0363	0.0000	0.0000	33.33	0.34	0.0800	0.0000	0.0000	0.0000	4.0000
9.9600	8.8734	0.0000	0.0000	38.33	0.39	0.0600	0.0000	0.0000	0.0000	0.7667
10.7200	8.2459	0.0000	0.0000	40.83	0.42	0.1400	0.0000	0.0000	0.0000	2.4500
10.9800	8.0513	0.0000	0.0000	41.67	0.43	0.0600	0.0000	0.0000	0.0000	0.0000
11.4200	7.7420	0.0000	0.0000	39.17	0.40	0.1200	0.0000	0.0000	0.0000	0.0000
12.3600	7.1553	0.0000	0.0000	64.17	0.66	0.0800	0.0000	0.0000	0.0000	3.8500
17.7200	5.0012	0.0000	0.0000	1861.67	19.08	0.1000	0.0000	0.0000	0.0000	186.1667
18.7000	4.7412	0.0000	0.0000	47.50	0.49	0.0200	0.0000	0.0000	0.0000	3.8000
19.7800	4.4847	0.0000	0.0000	95.83	0.98	0.0800	0.0000	0.0000	0.0000	11.5000
20.7400	4.2792	0.0000	0.0000	1299.17	13.31	0.1000	0.0000	0.0000	0.0000	103.9333
21.5400	4.1221	0.0000	0.0000	37.50	0.38	0.1600	0.0000	0.0000	0.0000	0.0000
22.8000	3.8971	0.0000	0.0000	70.83	0.73	0.0600	0.0000	0.0000	0.0000	11.3333
23.7400	3.7448	0.0000	0.0000	74.17	0.76	0.1200	0.0000	0.0000	0.0000	10.3833
23.9200	3.7171	0.0000	0.0000	44.17	0.45	0.1200	0.0000	0.0000	0.0000	2.6500
24.1400	3.6837	0.0000	0.0000	42.50	0.44	0.1600	0.0000	0.0000	0.0000	2.5500
25.0400	3.5533	0.0000	0.0000	33.33	0.34	0.0600	0.0000	0.0000	0.0000	2.6667
25.3800	3.5064	0.0000	0.0000	155.83	1.60	0.0000	0.0000	0.0000	0.0000	18.7000
26.5200	3.3582	0.0000	0.0000	9759.17	100.00	0.0800	0.0000	0.0000	0.0000	975.9167
26.7800	3.3262	0.0000	0.0000	4640.83	47.55	0.0200	0.0000	0.0000	0.0000	556.9000
27.5000	3.2407	0.0094	0.0000	45.00	0.46	0.0385	0.0233	0.0385	0.0000	3.0749
27.7400	3.2133	0.0000	0.0000	184.17	1.89	0.0600	0.0000	0.0000	0.0000	25.7833
28.2000	3.1619	0.0000	0.0000	60.83	0.62	0.1600	0.0000	0.0000	0.0000	4.8667
28.4000	3.1401	0.0000	0.0000	46.67	0.48	0.1400	0.0000	0.0000	0.0000	6.5333
28.6000	3.1186	0.0000	0.0000	46.67	0.48	0.0600	0.0000	0.0000	0.0000	0.9333
29.4253	3.0329	0.0075	0.0000	20.00	0.20	0.0400	0.0283	0.0400	0.0000	1.5019
29.7800	2.9976	0.0000	0.0000	244.17	2.50	0.0000	0.0000	0.0000	0.0000	34.1833
30.3600	2.9417	0.0000	0.0000	33.33	0.34	0.1600	0.0000	0.0000	0.0000	0.6667
30.5200	2.9266	0.0000	0.0000	34.17	0.35	0.1000	0.0000	0.0000	0.0000	0.6833
31.1600	2.8679	0.0000	0.0000	173.33	1.78	0.0800	0.0000	0.0000	0.0000	27.7333
31.9800	2.7962	0.0000	0.0000	130.83	1.34	0.0200	0.0000	0.0000	0.0000	20.9333
32.9400	2.7169	0.0000	0.0000	38.33	0.39	0.0400	0.0000	0.0000	0.0000	2.3000
34.1400	2.6241	0.0000	0.0000	90.00	0.92	0.1000	0.0000	0.0000	0.0000	12.6000
34.5000	2.5975	0.0000	0.0000	64.17	0.66	0.1000	0.0000	0.0000	0.0000	7.7000
34.8600	2.5715	0.0000	0.0000	190.00	1.95	0.1000	0.0000	0.0000	0.0000	26.6000
35.4200	2.5322	0.0000	0.0000	140.83	1.44	0.0800	0.0000	0.0000	0.0000	16.9000
36.0200	2.4913	0.0000	0.0000	327.50	3.36	0.0200	0.0000	0.0000	0.0000	39.3000
36.4400	2.4636	0.0000	0.0000	850.00	8.71	0.0000	0.0000	0.0000	0.0000	51.0000
36.7000	2.4467	0.0000	0.0000	50.00	0.51	0.1400	0.0000	0.0000	0.0000	8.0000
36.8800	2.4352	0.0000	0.0000	48.33	0.50	0.1400	0.0000	0.0000	0.0000	4.8333
37.4200	2.4013	0.0000	0.0000	46.67	0.48	0.1600	0.0000	0.0000	0.0000	7.4667
37.6400	2.3878	0.0000	0.0000	70.83	0.73	0.0200	0.0000	0.0000	0.0000	11.3333
39.3400	2.2884	0.0000	0.0000	445.00	4.56	0.1000	0.0000	0.0000	0.0000	26.7000
40.1600	2.2435	0.0000	0.0000	237.50	2.43	0.0800	0.0000	0.0000	0.0000	14.2500
41.4600	2.1762	0.0000	0.0000	59.17	0.61	0.0600	0.0000	0.0000	0.0000	8.2833
41.8800	2.1553	0.0000	0.0000	41.67	0.43	0.0600	0.0000	0.0000	0.0000	6.6667
42.3400	2.1329	0.0000	0.0000	340.00	3.48	0.0200	0.0000	0.0000	0.0000	20.4000
44.7200	2.0248	0.0000	0.0000	209.17	2.14	0.0000	0.0000	0.0000	0.0000	20.9167
45.5000	1.9919	0.0000	0.0000	1993.33	20.43	0.1600	0.0000	0.0000	0.0000	239.2000
50.0400	1.8213	0.0000	0.0000	1037.50	10.63	0.0600	0.0000	0.0000	0.0000	62.2500
54.7600	1.6749	0.0000	0.0000	530.00	5.43	0.0000	0.0000	0.0000	0.0000	21.2000
54.9200	1.6704	0.0000	0.0000	275.00	2.82	0.1600	0.0000	0.0000	0.0000	16.5000
55.2000	1.6626	0.0000	0.0000	115.00	1.18	0.0600	0.0000	0.0000	0.0000	11.5000
55.4800	1.6549	0.0000	0.0000	58.33	0.60	0.0600	0.0000	0.0000	0.0000	9.3333
55.7200	1.6483	0.0000	0.0000	120.83	1.24	0.0000	0.0000	0.0000	0.0000	19.3333
57.2600	1.6076	0.0000	0.0000	35.00	0.36	0.0800	0.0000	0.0000	0.0000	2.1000
59.8600	1.5438	0.0000	0.0000	607.50	6.22	0.0400	0.0000	0.0000	0.0000	36.4500
60.0200	1.5401	0.0000	0.0000	342.50	3.51	0.0000	0.0000	0.0000	0.0000	27.4000
60.7400	1.5236	0.0000	0.0000	46.67	0.48	0.1600	0.0000	0.0000	0.0000	4.6667
60.9800	1.5181	0.0000	0.0000	43.33	0.44	0.1000	0.0000	0.0000	0.0000	3.4667
61.5000	1.5065	0.0000	0.0000	62.50	0.64	0.0000	0.0000	0.0000	0.0000	10.0000
63.9200	1.4552	0.0000	0.0000	152.50	1.56	0.0000	0.0000	0.0000	0.0000	9.1500
64.1000	1.4516	0.0000	0.0000	94.17	0.96	0.1000	0.0000	0.0000	0.0000	7.5333
