Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]
2.8400	31.0834	0.0000	0.0000	78.33	1.02	0.0600	0.0000	7.8333
3.0000	29.4259	0.0000	0.0000	80.00	1.04	0.1000	0.0000	8.0000
3.2800	26.9146	0.0000	0.0000	54.17	0.70	0.1000	0.0000	5.4167
3.4800	25.3682	0.0000	0.0000	47.50	0.62	0.1200	0.0000	4.7500
3.6400	24.2534	0.0000	0.0000	62.50	0.81	0.0200	0.0000	3.7500
3.9000	22.6371	0.0000	0.0000	52.50	0.68	0.1600	0.0000	0.0000
3.9800	22.1823	0.0000	0.0000	52.50	0.68	0.0000	0.0000	5.2500
4.1400	21.3253	0.0000	0.0000	55.83	0.73	0.1000	0.0000	4.4667
4.2800	20.6281	0.0000	0.0000	52.50	0.68	0.1200	0.0000	2.1000
4.5000	19.6201	0.0000	0.0000	46.67	0.61	0.1600	0.0000	2.8000
4.6800	18.8659	0.0000	0.0000	54.17	0.70	0.1200	0.0000	4.3333
4.9800	17.7300	0.0000	0.0000	47.50	0.62	0.0400	0.0000	4.7500
5.1400	17.1785	0.0000	0.0000	40.83	0.53	0.0400	0.0000	4.0833
5.2800	16.7233	0.0000	0.0000	39.17	0.51	0.0800	0.0000	0.7833
5.4600	16.1724	0.0000	0.0000	45.83	0.60	0.1000	0.0000	3.6667
5.5000	16.0548	0.0000	0.0000	54.17	0.70	0.0800	0.0000	0.0000
5.7200	15.4378	0.0000	0.0000	40.83	0.53	0.0600	0.0000	0.0000
5.9200	14.9167	0.0000	0.0000	36.67	0.48	0.0800	0.0000	3.6667
6.1200	14.4297	0.0000	0.0000	48.33	0.63	0.1600	0.0000	4.8333
6.2800	14.0624	0.0000	0.0000	70.83	0.92	0.0000	0.0000	5.6667
6.4200	13.7561	0.0000	0.0000	30.83	0.40	0.0000	0.0000	0.0000
6.6000	13.3813	0.0000	0.0000	40.83	0.53	0.0600	0.0000	1.6333
7.0000	12.6175	0.0000	0.0000	39.17	0.51	0.0800	0.0000	0.0000
7.5200	11.7462	0.0000	0.0000	43.33	0.56	0.0600	0.0000	0.8667
7.7200	11.4423	0.0000	0.0000	32.50	0.42	0.0800	0.0000	1.9500
