Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	FWHM(R)	ESD(R)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]	[deg]	[deg]
2.7000	32.6948	0.0000	0.0000	100.00	4.72	0.0600	0.0000	0.0000	0.0000	4.0000
2.8000	31.5273	0.0000	0.0000	89.17	4.21	0.0800	0.0000	0.0000	0.0000	0.0000
3.0600	28.8491	0.0000	0.0000	50.00	2.36	0.0600	0.0000	0.0000	0.0000	4.0000
3.2200	27.4159	0.0000	0.0000	49.17	2.32	0.0400	0.0000	0.0000	0.0000	4.9167
3.3800	26.1185	0.0000	0.0000	73.33	3.46	0.1600	0.0000	0.0000	0.0000	1.4667
3.5200	25.0800	0.0000	0.0000	53.33	2.52	0.1200	0.0000	0.0000	0.0000	2.1333
3.7000	23.8603	0.0000	0.0000	44.17	2.09	0.1000	0.0000	0.0000	0.0000	3.5333
3.7800	23.3555	0.0000	0.0000	53.33	2.52	0.0800	0.0000	0.0000	0.0000	2.1333
4.0000	22.0714	0.0000	0.0000	50.83	2.40	0.1200	0.0000	0.0000	0.0000	4.0667
4.1800	21.1214	0.0000	0.0000	49.17	2.32	0.0800	0.0000	0.0000	0.0000	0.0000
4.2600	20.7249	0.0000	0.0000	45.83	2.16	0.1200	0.0000	0.0000	0.0000	4.5833
4.5600	19.3621	0.0000	0.0000	47.50	2.24	0.1600	0.0000	0.0000	0.0000	3.8000
4.7800	18.4714	0.0000	0.0000	47.50	2.24	0.1200	0.0000	0.0000	0.0000	1.9000
4.9400	17.8735	0.0000	0.0000	41.67	1.97	0.1200	0.0000	0.0000	0.0000	5.0000
5.1200	17.2455	0.0000	0.0000	38.33	1.81	0.0600	0.0000	0.0000	0.0000	4.6000
5.4200	16.2916	0.0000	0.0000	47.50	2.24	0.0400	0.0000	0.0000	0.0000	0.0000
5.4800	16.1134	0.0000	0.0000	39.17	1.85	0.0200	0.0000	0.0000	0.0000	3.1333
5.7400	15.3841	0.0000	0.0000	46.67	2.20	0.1600	0.0000	0.0000	0.0000	2.8000
6.1600	14.3361	0.0000	0.0000	222.50	10.51	0.1200	0.0000	0.0000	0.0000	13.3500
6.6600	13.2609	0.0000	0.0000	43.33	2.05	0.1000	0.0000	0.0000	0.0000	0.0000
6.9200	12.7632	0.0000	0.0000	40.00	1.89	0.0200	0.0000	0.0000	0.0000	0.8000
7.3800	11.9687	0.0000	0.0000	35.00	1.65	0.1000	0.0000	0.0000	0.0000	0.7000
7.6000	11.6227	0.0000	0.0000	39.17	1.85	0.0000	0.0000	0.0000	0.0000	1.5667
8.8200	10.0176	0.0000	0.0000	225.00	10.63	0.0400	0.0000	0.0000	0.0000	18.0000
9.1000	9.7099	0.0000	0.0000	130.83	6.18	0.1000	0.0000	0.0000	0.0000	7.8500
9.4200	9.3808	0.0000	0.0000	55.00	2.60	0.1200	0.0000	0.0000	0.0000	5.5000
9.7200	9.0919	0.0000	0.0000	80.83	3.82	0.1000	0.0000	0.0000	0.0000	8.0833
9.9400	8.8912	0.0000	0.0000	39.17	1.85	0.0400	0.0000	0.0000	0.0000	0.0000
