,,,,,,,,,
Filename:,,,,,,,,,
,C:\Program,Files\Thermo,Electron\WinXRD\Datafiles\HERMAN\GEO\GS_01_RT.pk,,,,,,
,,,,,,,,,
File,Created:,,,,,,,,
,July,13,2018,-,12:38,PM,,,
,,,,,,,,,
Specimen,Id:,,,,,,,,
,GS-01,RT,,,,,,,
,,,,,,,,,
Specimen,Name:,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Specimen,Description:,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Comment:,,,,,,,,,
Scan,Type:,2Theta,Scan,,,,,,
Start,Angle:,1,deg.,,,,,,
Stop,Angle:,65,deg.,,,,,,
Num,Points:,3201,,,,,,,
Step,Size:,0.02,deg.,,,,,,
Scan,Rate:,1.000000,,,,,,,
Scan,Mode:,Continuous,,,,,,,
Wavelength:,1.540562,,,,,,,,
\Kalpha1:,1.540562,\Kalpha2:,1.544390,\Kbeta:,1.392218,,,,
,,,,,,,,,
Optics:,,,,,,,,,
,Detector:,,,,,,,,
,Type:,Fixed,Slits,,,,,,
,Tube:,,,,,,,,
,Type:,Fixed,Slits,,,,,,
,,,,,,,,,
,,,,,,,,,
Datas:,,,,,,,,,
Peaks:,,,,,,,,,
,,,,,,,,,
Position,Dspace,ESD(P),Corr.Fact,Intensity,Rel.Int.,FWHM(L),ESD(L),Area,Source
[deg],[A],[deg],[deg],[CPS],[CPS],[deg],[deg],[deg],[--]
,2.7200,32.4544,0.0000,0.0000,84.17,1.04,0.0600,0.0000,5.0500
,2.8600,30.8660,0.0000,0.0000,70.00,0.86,0.0400,0.0000,8.4000
,3.1400,28.1142,0.0000,0.0000,83.33,1.03,0.0400,0.0000,6.6667
,3.3000,26.7515,0.0000,0.0000,54.17,0.67,0.0400,0.0000,4.3333
,3.4600,25.5148,0.0000,0.0000,67.50,0.83,0.1200,0.0000,6.7500
,3.5800,24.6598,0.0000,0.0000,75.83,0.93,0.0400,0.0000,4.5500
,3.7600,23.4797,0.0000,0.0000,60.00,0.74,0.1000,0.0000,3.6000
,3.8600,22.8716,0.0000,0.0000,47.50,0.59,0.0800,0.0000,3.8000
,4.1400,21.3253,0.0000,0.0000,64.17,0.79,0.1000,0.0000,6.4167
,4.3200,20.4372,0.0000,0.0000,55.83,0.69,0.1000,0.0000,5.5833
,4.4400,19.8851,0.0000,0.0000,59.17,0.73,0.0800,0.0000,1.1833
,4.5000,19.6201,0.0000,0.0000,43.33,0.53,0.1600,0.0000,6.9333
,4.7000,18.7856,0.0000,0.0000,53.33,0.66,0.1000,0.0000,3.2000
,4.8000,18.3945,0.0000,0.0000,45.00,0.55,0.1200,0.0000,3.6000
,5.0200,17.5888,0.0000,0.0000,35.83,0.44,0.1600,0.0000,2.8667
,5.0800,17.3812,0.0000,0.0000,49.17,0.61,0.1000,0.0000,2.9500
,5.2200,16.9154,0.0000,0.0000,40.83,0.50,0.1600,0.0000,1.6333
,5.5000,16.0548,0.0000,0.0000,39.17,0.48,0.0400,0.0000,2.3500
,5.6600,15.6013,0.0000,0.0000,42.50,0.52,0.0800,0.0000,3.4000
