,,,,,,,,,,,
Filename:,,,,,,,,,,,
,C:\Program,Files\Thermo,Electron\WinXRD\Datafiles\HERMAN\GEO\GS_06_RT.pk,,,,,,,,
,,,,,,,,,,,
File,Created:,,,,,,,,,,
,July,13,2018,-,02:17,PM,,,,,
,,,,,,,,,,,
Specimen,Id:,,,,,,,,,,
,GS-06,RT,,,,,,,,,
,,,,,,,,,,,
Specimen,Name:,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Specimen,Description:,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Comment:,,,,,,,,,,,
Scan,Type:,2Theta,Scan,,,,,,,,
Start,Angle:,1,deg.,,,,,,,,
Stop,Angle:,65,deg.,,,,,,,,
Num,Points:,3201,,,,,,,,,
Step,Size:,0.02,deg.,,,,,,,,
Scan,Rate:,1.000000,,,,,,,,,
Scan,Mode:,Continuous,,,,,,,,,
Wavelength:,1.540562,,,,,,,,,,
\Kalpha1:,1.540562,\Kalpha2:,1.544390,\Kbeta:,1.392218,,,,,,
,,,,,,,,,,,
Optics:,,,,,,,,,,,
,Detector:,,,,,,,,,,
,Type:,Fixed,Slits,,,,,,,,
,Tube:,,,,,,,,,,
,Type:,Fixed,Slits,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Datas:,,,,,,,,,,,
Peaks:,,,,,,,,,,,
,,,,,,,,,,,
Position,Dspace,ESD(P),Corr.Fact,Intensity,Rel.Int.,FWHM(L),ESD(L),FWHM(R),ESD(R),Area,Source
[deg],[A],[deg],[deg],[CPS],[CPS],[deg],[deg],[deg],[deg],[deg],[--]
,2.7000,32.6948,0.0000,0.0000,82.50,2.73,0.0400,0.0000,0.0000,0.0000,6.6000
,2.8200,31.3038,0.0000,0.0000,60.00,1.99,0.1200,0.0000,0.0000,0.0000,9.6000
,3.0800,28.6618,0.0000,0.0000,82.50,2.73,0.0400,0.0000,0.0000,0.0000,3.3000
,3.1600,27.9364,0.0000,0.0000,65.83,2.18,0.0200,0.0000,0.0000,0.0000,6.5833
,3.3400,26.4312,0.0000,0.0000,68.33,2.26,0.1200,0.0000,0.0000,0.0000,10.9333
,3.4200,25.8131,0.0000,0.0000,65.83,2.18,0.0400,0.0000,0.0000,0.0000,10.5333
,3.5800,24.6598,0.0000,0.0000,68.33,2.26,0.1600,0.0000,0.0000,0.0000,2.7333
,3.8600,22.8716,0.0000,0.0000,77.50,2.57,0.0600,0.0000,0.0000,0.0000,0.0000
,4.1200,21.4288,0.0000,0.0000,58.33,1.93,0.1200,0.0000,0.0000,0.0000,0.0000
,4.2200,20.9212,0.0000,0.0000,55.00,1.82,0.0600,0.0000,0.0000,0.0000,7.7000
,4.4000,20.0658,0.0000,0.0000,60.83,2.01,0.1600,0.0000,0.0000,0.0000,3.6500
,4.6600,18.9468,0.0000,0.0000,60.00,1.99,0.1000,0.0000,0.0000,0.0000,1.2000
,4.8600,18.1675,0.0000,0.0000,54.17,1.79,0.1400,0.0000,0.0000,0.0000,1.0833
,5.0600,17.4499,0.0000,0.0000,50.00,1.66,0.0800,0.0000,0.0000,0.0000,4.0000
