Name,Load,Date ,Time,Date time,Full name
1_2_AUG,107.2,24.07.2018,19:00,24.07.2018 19:00,1_2_AUG_PF_FILTER.txt
2_1_AUG,231.3,25.07.2018,19:00,25.07.2018 19:00,2_1_AUG_PF_RT.txt
2_2_AUG,16,25.07.2018,19:00,25.07.2018 19:00,2_2_AUG_PF_FILTER.txt
4_1_AUG,156.3,27.07.2018,19:00,27.07.2018 19:00,4_1_AUG_PF_RT.txt
5_2_AUG,109,28.07.2018,19:00,28.07.2018 19:00,5_2_AUG_PF_FILTER.txt
7_2_AUG,38.4,30.07.2018,19:00,30.07.2018 19:00,7_2_AUG_PF_FILTER.txt
9_1_AUG,1282.1,01.08.2018,19:00,01.08.2018 19:00,9_1_AUG_PF_RT.txt
9_2_AUG,55.9,01.08.2018,19:00,01.08.2018 19:00,9_2_AUG_PF_RT.txt
10_1_AUG,547.4,02.08.2018,19:00,02.08.2018 19:00,10_1_AUG_PF_RT.txt
10_2_AUG,116.5,02.08.2018,19:00,02.08.2018 19:00,10_2_AUG_PF_RT.txt
11_AUG,328.5,03.08.2018,19:00,03.08.2018 19:00,11_AUG_PF_RT.txt
12_1_AUG,1.6,04.08.2018,19:00,04.08.2018 19:00,12_1_AUG_PF_FILTER.txt
12_2_AUG,269.6,04.08.2018,19:00,04.08.2018 19:00,12_2_AUG_PF_RT.txt
13_2_AUG,281.7,05.08.2018,19:00,05.08.2018 19:00,13_2_AUG_PF_RT.txt
14_1_AUG,260.6,06.08.2018,19:00,06.08.2018 19:00,14_1_AUG_PF_RT.txt
15_1_AUG,98.5,07.08.2018,19:00,07.08.2018 19:00,15_1_AUG_PF_FILTER.txt
18_2_AUG,111.6,10.08.2018,19:00,10.08.2018 19:00,18_2_AUG_PF_FILTER.txt
19_1_AUG,157.4,11.08.2018,19:00,11.08.2018 19:00,19_1_AUG_PF_FILTER.txt
21_1_AUG,64.8,13.08.2018,19:00,13.08.2018 19:00,21_1_AUG_PF_FILTER.txt
21_2_AUG,0.9,13.08.2018,19:00,13.08.2018 19:00,21_2_AUG_PF_FILTER.txt
22_2_AUG,136,14.08.2018,19:00,14.08.2018 19:00,22_2_AUG_PF_FILTER.txt
23_1_AUG,0.4,15.08.2018,19:00,15.08.2018 19:00,23_1_AUG_PF_RT.txt
28_7_11_26_1,94.3,27.08.2018,11:26,27.08.2018 11:26,28_7_11_26_1_PF_FILTER.txt
28_7_11_26_2,160,27.08.2018,11:26,27.08.2018 11:26,28_7_11_26_2_PF_FILTER.txt
