,2018-07-24 19:00:00,2018-07-25 19:00:00,2018-07-25 19:00:00,2018-07-25 19:00:00,2018-07-25 19:00:00,2018-07-27 19:00:00,2018-07-28 19:00:00,2018-07-30 19:00:00,2018-08-01 19:00:00,2018-08-01 19:00:00,2018-08-01 19:00:00,2018-08-01 19:00:00,2018-08-02 19:00:00,2018-08-02 19:00:00,2018-08-02 19:00:00,2018-08-02 19:00:00,2018-08-03 19:00:00,2018-08-04 19:00:00,2018-08-04 19:00:00,2018-08-04 19:00:00,2018-08-04 19:00:00,2018-08-05 19:00:00,2018-08-06 19:00:00,2018-08-07 19:00:00,2018-08-10 19:00:00,2018-08-11 19:00:00,2018-08-13 19:00:00,2018-08-13 19:00:00,2018-08-13 19:00:00,2018-08-13 19:00:00,2018-08-14 19:00:00,2018-08-15 19:00:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 12:08:00,2018-08-27 14:24:00,2018-08-27 14:24:00,2018-08-27 14:24:00,2018-08-27 14:24:00,2018-08-27 14:55:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-28 19:00:00,2018-08-29 19:00:00,2018-09-05 19:00:00,2018-09-07 19:00:00,2018-09-10 19:00:00,2018-09-11 19:00:00,2018-09-12 19:00:00,2018-09-13 19:00:00,2018-09-17 19:00:00,2018-09-25 09:55:00,2018-09-25 09:55:00,2018-09-25 09:55:00,2018-09-25 09:55:00,2018-09-25 11:30:00,2018-09-25 11:30:00,2018-09-25 11:30:00,2018-09-25 11:30:00,2018-09-25 14:20:00,2019-06-05 19:00:00,2019-06-06 19:00:00,2019-06-07 19:00:00,2019-06-08 19:00:00,2019-06-08 19:00:00,2019-06-08 19:00:00,2019-06-08 19:00:00,2019-06-09 19:00:00,2019-06-10 19:00:00,2019-06-13 19:00:00,2019-06-17 19:00:00,2019-06-18 19:00:00,2019-06-21 19:00:00,2019-06-22 19:00:00,2019-06-24 19:00:00,2019-06-24 19:00:00,2019-06-24 19:00:00,2019-06-24 19:00:00,2019-06-25 19:00:00,2019-06-26 19:00:00,2019-06-27 14:30:00,2019-06-27 14:40:00,2019-06-27 19:00:00,2019-06-28 13:30:00,2019-06-28 13:30:00,2019-06-28 13:30:00,2019-06-28 13:30:00,2019-06-28 19:00:00,2019-06-30 19:00:00,2019-07-02 19:00:00,2019-07-06 19:00:00,2019-07-07 19:00:00,2019-07-10 19:00:00,2019-07-15 19:00:00,2019-07-16 19:00:00,2019-07-18 19:00:00,2019-07-20 19:00:00,2019-07-22 19:00:00,2019-07-23 12:00:00,2019-07-23 12:00:00,2019-07-23 12:00:00,2019-07-23 12:00:00,2019-07-23 13:00:00,2019-07-23 14:00:00,2019-07-23 19:00:00,2019-07-29 19:00:00,2019-07-31 19:00:00,2019-08-01 19:00:00,2019-08-03 19:00:00,2019-08-04 19:00:00,2019-08-05 19:00:00,2019-08-06 19:00:00,2019-08-08 19:00:00,2019-08-10 19:00:00,2019-08-11 19:00:00,2019-08-12 19:00:00,2019-08-15 19:00:00,2019-08-16 19:00:00,2019-08-18 19:00:00,2019-08-19 19:00:00,2019-08-20 19:00:00,2019-08-21 19:00:00,2019-08-22 19:00:00,2019-08-26 19:00:00,2019-08-27 19:00:00,2019-08-28 19:00:00,2019-08-29 19:00:00,2019-09-05 19:00:00,2020-06-12 13:55:00,2020-06-12 15:10:00,2020-06-18 14:10:00,2020-07-08 11:50:00,2020-07-08 14:30:00,2020-07-13 14:00:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-27 09:00:00,2020-08-27 12:00:00,2020-08-27 14:16:00,2020-08-27 15:30:00,2020-09-14 11:40:00,2020-09-14 13:00:00,2020-09-14 14:00:00,2020-09-14 15:00:00,2020-09-14 16:10:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00
Tremolite,186.75,183.8333,240.1667,183.8333,240.1667,256.1333,209.6667,183.9167,158.9167,44.96665,158.9167,44.96665,169.56664999999998,351.6,169.56664999999998,351.6,195.0,22.86665,136.85,22.86665,136.85,319.0667,375.0833,336.4,0.0,168.2667,218.5833,43.75,218.5833,43.75,47.958349999999996,159.0,97.2,162.75,300.3,97.2,162.75,300.3,97.2,162.75,300.3,315.4,169.25,220.1667,169.25,220.1667,144.1667,97.4667,181.0,0.0,97.4667,181.0,0.0,97.4667,181.0,0.0,150.6167,161.7,390.3,168.2,260.8,289.1667,356.6,240.4,297.7,324.2,160.1833,324.2,160.1833,152.5333,143.15,152.5333,143.15,353.3,250.71665000000002,221.5833,188.9,148.3333,218.6333,148.3333,218.6333,165.3333,122.375,193.6667,336.5833,494.9167,57.76665,128.41665,200.5833,461.825,200.5833,461.825,129.30835,210.88335,369.2,243.0,122.65,527.5,185.1,527.5,185.1,167.1333,49.7,340.6667,274.0,240.0,108.275,132.4,186.25,274.0,303.7333,340.25,9.9,110.20835,9.9,110.20835,272.0,268.6667,294.1667,146.54165,265.875,200.5833,61.0583,277.3333,135.6667,145.225,250.75,78.925,135.5583,47.458349999999996,51.566700000000004,180.8667,64.98335,47.56665,209.5833,111.375,12.11665,240.0,37.974999999999994,76.025,293.5833,150.6667,185.3,177.7333,164.4,0.0,160.1667,0.0,109.0667,123.0667,37.983349999999994,109.0667,123.0667,37.983349999999994,109.0667,123.0667,37.983349999999994,189.1667,214.8,203.1667,231.7,123.4167,333.0833,157.4167,0.5167,492.6667,195.7,184.0,186.5,170.5,111.5,70.75,195.7,184.0,186.5,170.5,111.5,70.75,195.7,184.0,186.5,170.5,111.5,70.75,195.7,184.0,186.5,170.5,111.5,70.75,195.7,184.0,186.5,170.5,111.5,70.75,195.7,184.0,186.5,170.5,111.5,70.75
Talc,9.11665,4.95,11.1,4.95,11.1,2.59165,10.0,5.7,27.0,0.0,27.0,0.0,7.824999999999999,8.2583,7.824999999999999,8.2583,7.2333,6.583349999999999,6.4666500000000005,6.583349999999999,6.4666500000000005,7.48335,5.875,1.5333,11.158349999999999,9.1,9.7,3.4666500000000005,9.7,3.4666500000000005,0.0,7.05,7.933350000000001,10.28335,17.94165,7.933350000000001,10.28335,17.94165,7.933350000000001,10.28335,17.94165,2.7,9.46665,10.166649999999999,9.46665,10.166649999999999,12.1333,10.8,15.41665,9.5833,10.8,15.41665,9.5833,10.8,15.41665,9.5833,8.16665,3.95,15.50835,14.425,12.266649999999998,6.3332999999999995,8.21665,16.6833,9.03335,6.09165,6.699999999999999,6.09165,6.699999999999999,14.99165,4.666650000000001,14.99165,4.666650000000001,15.2,7.75,16.5,6.4167,7.60835,23.924999999999997,7.60835,23.924999999999997,7.5,23.0,22.69165,5.9417,2.675,5.0,4.55835,8.63335,9.09165,8.63335,9.09165,4.7917,4.3,8.1583,4.0249999999999995,6.23335,5.31665,17.775,5.31665,17.775,6.6,2.2,14.68335,6.025,1.7666499999999998,7.041650000000001,2.375,9.3,8.03335,6.816649999999999,10.833300000000001,15.399999999999999,4.00835,15.399999999999999,4.00835,3.075,6.13335,4.7667,6.0833,5.43335,3.8333500000000003,2.5416499999999997,4.1,6.31665,5.91665,5.175000000000001,0.6333,5.84165,9.55,2.55,10.933300000000001,0.875,1.8,16.3083,3.93335,1.8,5.01665,5.475,5.74165,7.2,0.9249999999999999,12.83335,14.575,11.033349999999999,28.41665,8.925,20.65,12.96665,30.38335,21.01665,12.96665,30.38335,21.01665,12.96665,30.38335,21.01665,10.74165,10.4667,12.3917,10.1,5.541650000000001,10.53335,15.541699999999999,16.08335,3.21665,14.649999999999999,12.18335,9.2,14.466650000000001,18.06665,18.425,14.649999999999999,12.18335,9.2,14.466650000000001,18.06665,18.425,14.649999999999999,12.18335,9.2,14.466650000000001,18.06665,18.425,14.649999999999999,12.18335,9.2,14.466650000000001,18.06665,18.425,14.649999999999999,12.18335,9.2,14.466650000000001,18.06665,18.425,14.649999999999999,12.18335,9.2,14.466650000000001,18.06665,18.425
Quartz,186.75,183.8333,240.1667,183.8333,240.1667,256.1333,209.6667,183.9167,158.9167,83.0,158.9167,83.0,336.2,351.6,336.2,351.6,195.0,45.1,270.6667,45.1,270.6667,319.0667,375.0833,336.4,0.0,168.2667,218.5833,43.75,218.5833,43.75,49.9167,159.0,97.2,162.75,300.3,97.2,162.75,300.3,97.2,162.75,300.3,315.4,169.25,220.1667,169.25,220.1667,144.1667,97.4667,181.0,0.0,97.4667,181.0,0.0,97.4667,181.0,0.0,150.6167,161.7,390.3,168.2,260.8,289.1667,356.6,240.4,297.7,324.2,160.1833,324.2,160.1833,152.5333,143.15,152.5333,143.15,353.3,490.5833,221.5833,188.9,148.3333,218.6333,148.3333,218.6333,165.3333,220.25,193.6667,336.5833,494.9167,98.9333,253.5,200.5833,921.75,200.5833,921.75,252.75,397.5,369.2,243.0,232.0,527.5,185.1,527.5,185.1,167.1333,89.1333,340.6667,274.0,240.0,216.0833,132.4,186.25,274.0,303.7333,340.25,9.9,209.5,9.9,209.5,272.0,268.6667,294.1667,293.0833,531.75,200.5833,113.1333,277.3333,135.6667,276.25,250.75,143.15,268.5833,80.8,96.6667,180.8667,116.6667,84.9333,209.5833,222.75,16.1,240.0,72.6,151.4,293.5833,150.6667,185.3,177.7333,164.4,0.0,160.1667,0.0,109.0667,123.0667,75.6,109.0667,123.0667,75.6,109.0667,123.0667,75.6,189.1667,214.8,203.1667,231.7,123.4167,333.0833,157.4167,0.0,492.6667,195.7,184.0,186.5,170.5,111.5,141.5,195.7,184.0,186.5,170.5,111.5,141.5,195.7,184.0,186.5,170.5,111.5,141.5,195.7,184.0,186.5,170.5,111.5,141.5,195.7,184.0,186.5,170.5,111.5,141.5,195.7,184.0,186.5,170.5,111.5,141.5
Pyroxene,36.9333,40.2667,54.3,40.2667,54.3,33.95,51.1,59.4,57.8667,15.5,57.8667,15.5,124.3333,59.0333,124.3333,59.0333,102.5,13.0667,75.2,13.0667,75.2,80.9167,167.6667,82.6,23.4667,47.3667,55.1,6.6,55.1,6.6,33.6,101.2667,28.8,65.7333,70.9167,28.8,65.7333,70.9167,28.8,65.7333,70.9167,62.0667,100.2,36.4167,100.2,36.4167,41.0667,38.8,77.4667,11.2,38.8,77.4667,11.2,38.8,77.4667,11.2,63.3333,25.7333,280.0,63.2,98.9333,43.8667,72.6667,73.1,56.9333,43.1667,68.4,43.1667,68.4,53.25,68.1333,53.25,68.1333,746.0,73.15,68.0167,32.5333,71.0833,107.2,71.0833,107.2,61.8667,54.8,599.2667,65.5,110.6667,0.0,63.7,83.1,52.0,83.1,52.0,52.9667,28.25,74.6667,91.0,75.3,109.8,94.15,109.8,94.15,32.2,22.1,67.3,60.0833,36.1,138.0167,35.6,74.0833,42.1,91.7,81.8,66.0,44.4,66.0,44.4,59.2,45.0,114.4167,97.5,82.1333,48.5833,31.6,50.9833,64.7,47.3333,61.7333,0.0,104.6667,5.5833,10.15,56.8,24.0833,5.1667,80.1,53.9,25.6,60.4,22.4,56.4,44.2167,29.7333,88.2667,91.4667,73.85,14.4667,83.7333,11.3333,54.2667,61.2,27.0667,54.2667,61.2,27.0667,54.2667,61.2,27.0667,98.5833,74.9333,90.2667,128.6667,59.0333,64.1667,31.0333,11.6667,68.3333,80.9333,97.8667,84.4,87.6,61.3333,70.5833,80.9333,97.8667,84.4,87.6,61.3333,70.5833,80.9333,97.8667,84.4,87.6,61.3333,70.5833,80.9333,97.8667,84.4,87.6,61.3333,70.5833,80.9333,97.8667,84.4,87.6,61.3333,70.5833,80.9333,97.8667,84.4,87.6,61.3333,70.5833
Phlogopite,23.1,119.31665000000001,156.58335,119.31665000000001,156.58335,136.55,117.58335,117.425,115.425,122.89165,115.425,122.89165,195.7,351.6,195.7,351.6,139.20835,50.35,167.43335,50.35,167.43335,191.33335000000002,211.8083,176.14999999999998,0.0,99.19999999999999,218.5833,60.0,218.5833,60.0,154.44165,92.225,103.8667,30.45,187.875,103.8667,30.45,187.875,103.8667,30.45,187.875,168.28334999999998,111.325,142.68335,111.325,142.68335,5.2,107.725,151.69165,0.0,107.725,151.69165,0.0,107.725,151.69165,0.0,45.2667,89.71664999999999,0.0,109.80834999999999,0.0,289.1667,53.8,133.4,158.01665,26.1,103.61664999999999,26.1,103.61664999999999,130.3,143.15,130.3,143.15,0.0,30.1,145.0,74.89165,106.73330000000001,13.7333,106.73330000000001,13.7333,115.46665,159.35,126.38335,194.25830000000002,341.2917,177.66665,155.48335,133.425,493.375,133.425,493.375,154.275,400.05,222.23335,154.63335,132.56665,297.6,118.44999999999999,297.6,118.44999999999999,101.19999999999999,172.29165,202.0667,150.25,132.45835,142.9083,73.63335000000001,105.75,164.63335,170.86665,184.85,5.25,116.29165,5.25,116.29165,143.23335,148.9,178.25,180.075,297.79165,117.125,63.46665,156.5833,79.39999999999999,149.825,137.8,273.2333,154.725,102.26665,171.33335,112.23335,190.94165,133.45,129.49165,126.525,55.566700000000004,130.875,42.05,86.46665,178.19165,84.25,154.48335,152.26670000000001,0.0,4.3,0.0,0.0,0.0,127.0,127.7,0.0,127.0,127.7,0.0,127.0,127.7,131.23335,43.1667,129.375,145.725,0.0,0.8167,4.2,0.0,252.4667,5.5833,145.2,61.3667,0.0,87.21665,0.0,5.5833,145.2,61.3667,0.0,87.21665,0.0,5.5833,145.2,61.3667,0.0,87.21665,0.0,5.5833,145.2,61.3667,0.0,87.21665,0.0,5.5833,145.2,61.3667,0.0,87.21665,0.0,5.5833,145.2,61.3667,0.0,87.21665,0.0
Paragonite,6.48335,20.13335,228.875,20.13335,228.875,17.391650000000002,25.55,59.4,36.13335,59.51665,36.13335,59.51665,64.56665,19.08335,64.56665,19.08335,53.81665,11.33335,39.800000000000004,11.33335,39.800000000000004,43.041700000000006,86.2167,30.6667,12.7667,25.1167,20.625,5.84165,20.625,5.84165,43.6,22.56665,19.73335,8.6667,41.908350000000006,19.73335,8.6667,41.908350000000006,19.73335,8.6667,41.908350000000006,62.0667,15.525,19.90835,15.525,19.90835,14.649999999999999,25.06665,23.933300000000003,10.391649999999998,25.06665,23.933300000000003,10.391649999999998,25.06665,23.933300000000003,10.391649999999998,35.0,25.7333,87.48334999999999,13.38335,19.06665,23.91665,10.466650000000001,21.6,30.258300000000002,23.875,8.58335,23.875,8.58335,36.875,28.7,36.875,28.7,0.0,44.25835,37.90835,19.474999999999998,38.5,68.89165,38.5,68.89165,33.558350000000004,38.9,301.93335,36.88335,65.95835,53.95,34.275,46.349999999999994,52.0,46.349999999999994,52.0,29.73335,50.63335,38.900000000000006,46.4,41.066649999999996,59.441649999999996,16.81665,59.441649999999996,16.81665,19.400000000000002,45.0,37.38335,10.64165,19.38335,73.05834999999999,19.86665,40.64165,24.58335,47.7,43.191649999999996,38.33335,23.575,38.33335,23.575,31.033350000000002,25.4,61.5,51.79165,43.9833,25.125,18.1,28.325,34.525,27.5333,32.9083,61.64165,56.625,53.98335,48.949999999999996,31.06665,35.349999999999994,22.783299999999997,45.55,30.975,18.83335,32.05,13.11665,30.075,25.708350000000003,16.86665,26.25,11.4167,43.14165,43.5,42.99165,23.1,17.5,110.7333,27.0667,17.5,110.7333,27.0667,17.5,110.7333,27.0667,52.49165,11.24165,90.2667,68.3,16.33335,17.25,20.35,14.7,35.11665,32.14165,17.28335,15.8,43.4,10.600000000000001,38.816649999999996,32.14165,17.28335,15.8,43.4,10.600000000000001,38.816649999999996,32.14165,17.28335,15.8,43.4,10.600000000000001,38.816649999999996,32.14165,17.28335,15.8,43.4,10.600000000000001,38.816649999999996,32.14165,17.28335,15.8,43.4,10.600000000000001,38.816649999999996,32.14165,17.28335,15.8,43.4,10.600000000000001,38.816649999999996
Omphacite,8.75,5.5833,9.1,5.5833,9.1,7.3333,18.5833,0.0,13.8833,8.6,13.8833,8.6,14.2,7.9,14.2,7.9,10.5333,6.6,5.05,6.6,5.05,17.1667,10.7333,6.1833,0.0,17.0667,12.0,0.0,12.0,0.0,14.6667,10.3333,0.0,16.2667,7.5,0.0,16.2667,7.5,0.0,16.2667,7.5,3.7333,5.5,4.9333,5.5,4.9333,14.1167,4.3333,13.7,0.0,4.3333,13.7,0.0,4.3333,13.7,0.0,9.0,17.1667,9.6,15.4,34.8833,10.3833,15.6333,12.8,18.1333,9.9167,6.6667,9.9167,6.6667,7.7,7.0,7.7,7.0,10.4,2.95,12.8,15.4667,20.8333,22.0,20.8333,22.0,11.4,11.9,12.25,9.25,13.1667,15.8667,16.4,14.6667,13.0667,14.6667,13.0667,10.4167,10.9167,21.0667,15.6,6.4,84.8333,25.3333,84.8333,25.3333,15.1667,13.5333,15.1667,26.6,9.6833,13.4667,7.7,16.1333,16.2,26.8333,9.2167,150.5333,10.85,150.5333,10.85,10.1333,9.9,12.0,17.85,11.7833,25.9,5.7167,13.3,9.0667,13.0667,12.95,11.3,11.6,10.6,9.8,12.3667,12.3667,6.7667,12.4,10.15,6.3333,13.0667,1.7333,12.8,24.5333,8.9833,26.7167,20.4,22.1,0.0,28.5833,0.0,13.3333,10.2667,1.75,13.3333,10.2667,1.75,13.3333,10.2667,1.75,22.8,28.2667,31.2,39.0667,20.2667,18.0,0.0,0.0,9.0,22.6667,28.5333,24.4,23.5667,18.4,22.9333,22.6667,28.5333,24.4,23.5667,18.4,22.9333,22.6667,28.5333,24.4,23.5667,18.4,22.9333,22.6667,28.5333,24.4,23.5667,18.4,22.9333,22.6667,28.5333,24.4,23.5667,18.4,22.9333,22.6667,28.5333,24.4,23.5667,18.4,22.9333
Muscovite,104.925,119.31665000000001,156.58335,119.31665000000001,156.58335,136.55,117.58335,117.425,115.425,45.86665,115.425,45.86665,195.7,191.55,195.7,191.55,139.20835,55.0,167.43335,55.0,167.43335,191.33335000000002,211.8083,176.14999999999998,0.0,99.19999999999999,123.36665,51.875,123.36665,51.875,49.9167,92.225,100.53335,96.6,218.19165,100.53335,96.6,218.19165,100.53335,96.6,218.19165,168.28334999999998,111.325,142.68335,111.325,142.68335,78.63335,111.79169999999999,151.69165,0.0,111.79169999999999,151.69165,0.0,111.79169999999999,151.69165,0.0,97.9417,89.71664999999999,277.28335,109.80834999999999,161.10835,151.25,205.20000000000002,133.4,158.01665,175.15,133.7583,175.15,133.7583,132.66665,84.03335,132.66665,84.03335,184.81665,252.975,145.0,109.71665,106.73330000000001,167.0083,106.73330000000001,167.0083,115.46665,159.35,126.38335,194.25830000000002,341.2917,59.21665,155.48335,133.425,493.375,133.425,493.375,154.275,210.59165,222.23335,154.63335,132.56665,297.6,118.44999999999999,297.6,118.44999999999999,101.19999999999999,46.291650000000004,202.0667,150.25,132.45835,142.9083,73.63335000000001,105.75,164.63335,170.86665,184.85,7.575,116.29165,7.575,116.29165,143.23335,148.9,178.25,180.075,297.79165,117.125,63.46665,156.5833,79.39999999999999,149.825,137.8,76.11665,154.725,43.566649999999996,52.23335,112.23335,62.400000000000006,46.2333,129.49165,126.525,15.28335,130.875,42.05,86.46665,178.19165,84.25,154.48335,158.8,120.05000000000001,4.3,116.94999999999999,0.0,66.2,135.33335,101.65,66.2,135.33335,101.65,66.2,135.33335,101.65,131.23335,128.98335,129.375,145.725,71.9167,176.16665,80.80834999999999,1.7,252.4667,122.44999999999999,145.2,123.93335,119.9,87.21665,99.9,122.44999999999999,145.2,123.93335,119.9,87.21665,99.9,122.44999999999999,145.2,123.93335,119.9,87.21665,99.9,122.44999999999999,145.2,123.93335,119.9,87.21665,99.9,122.44999999999999,145.2,123.93335,119.9,87.21665,99.9,122.44999999999999,145.2,123.93335,119.9,87.21665,99.9
Microcline,8.8667,4.05,452.75,4.05,452.75,8.6333,12.5833,24.5,50.1667,110.3,50.1667,110.3,40.9,6.6667,40.9,6.6667,18.8,2.3,55.6667,2.3,55.6667,24.5,57.2,30.6667,0.0,9.2333,13.1,0.0,13.1,0.0,43.6,5.4,4.9333,8.6667,24.0,4.9333,8.6667,24.0,4.9333,8.6667,24.0,59.4167,14.0,16.7,14.0,16.7,16.2,11.6,17.2,0.0,11.6,17.2,0.0,11.6,17.2,0.0,30.6667,2.0167,10.7,18.5,29.7333,19.9167,18.6,21.6,42.3333,6.6667,9.3667,6.6667,9.3667,62.6667,28.7,62.6667,28.7,0.0,33.8667,20.2667,14.5833,10.2667,22.4,10.2667,22.4,7.1667,15.7,12.6667,56.6667,101.5,88.4,29.0,16.8,46.0,16.8,46.0,16.9,111.5,16.0,8.1667,26.5667,83.25,26.4,83.25,26.4,8.7,86.8,34.0667,16.5333,11.3167,59.5,30.5,22.2,7.1,22.6,30.2167,22.9333,7.6,22.9333,7.6,25.2,19.3,25.1,28.25,29.8333,19.1,40.3,13.8333,21.35,74.3333,25.1,116.7833,26.1667,98.4167,90.1,43.1667,68.1,38.0333,20.6667,11.1,35.8667,9.9,11.6667,8.95,13.0833,14.9167,26.25,11.4167,10.5833,81.4667,12.25,0.0,11.6667,110.7333,4.3333,11.6667,110.7333,4.3333,11.6667,110.7333,4.3333,10.1667,14.9,9.4,9.1,12.25,15.25,3.05,0.0,13.8,15.0833,25.5,29.0667,17.5,14.8,19.3333,15.0833,25.5,29.0667,17.5,14.8,19.3333,15.0833,25.5,29.0667,17.5,14.8,19.3333,15.0833,25.5,29.0667,17.5,14.8,19.3333,15.0833,25.5,29.0667,17.5,14.8,19.3333,15.0833,25.5,29.0667,17.5,14.8,19.3333
Magnesite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2333,0.0,3.2333,0.0,0.0,0.0,0.0,0.0,0.7167,0.5667,0.7167,0.5667,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3333,0.0,0.0,8.3333,0.0,0.0,8.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3333,2.2667,3.5,0.0,3.5,0.0,2.2667,10.0,2.9333,0.0,4.4,7.5,3.6,5.2667,0.0,5.2667,0.0,3.1333,3.5833,1.6333,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.8667,5.45,0.0,0.0,0.0,0.5167,0.0,0.7,14.6667,1.2,0.0,0.0,0.0,0.0,2.8,1.1333,7.7333,4.0,0.0,0.0,0.0,1.7,3.1333,0.0,0.0,1.2333,0.0,5.05,3.9167,6.25,4.0,2.25,0.0,3.5833,1.6,2.6333,2.6,3.7,0.0,1.5333,0.0,0.0,0.0,13.4667,0.0,10.8,0.5333,1.2,0.6667,0.5333,1.2,0.6667,0.5333,1.2,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,8.2833,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
